epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1714581077509,2024-05-01T19:31:17.509,0.000,-1.341,-0.976,-1.341
1714581077519,2024-05-01T19:31:17.519,0.010,-1.341,-0.610,-0.976
1714581077529,2024-05-01T19:31:17.529,0.020,-1.768,-0.427,-1.341
1714581077539,2024-05-01T19:31:17.539,0.030,-1.829,-0.122,-1.524
1714581077549,2024-05-01T19:31:17.549,0.040,-1.829,-0.549,-1.341
1714581077559,2024-05-01T19:31:17.559,0.050,-2.012,-1.037,-0.793
1714581077569,2024-05-01T19:31:17.569,0.060,-1.524,-0.671,-0.427
1714581077579,2024-05-01T19:31:17.579,0.070,-0.732,-0.061,-0.244
1714581077589,2024-05-01T19:31:17.589,0.080,-0.061,0.061,0.061
1714581077599,2024-05-01T19:31:17.599,0.090,0.305,0.427,0.061
1714581077609,2024-05-01T19:31:17.609,0.100,0.549,1.037,-0.305
1714581077619,2024-05-01T19:31:17.619,0.110,0.305,1.159,-0.244
1714581077629,2024-05-01T19:31:17.629,0.120,0.061,1.037,-0.122
1714581077639,2024-05-01T19:31:17.639,0.130,0.305,1.220,-0.244
1714581077649,2024-05-01T19:31:17.649,0.140,0.488,1.707,-0.305
1714581077659,2024-05-01T19:31:17.659,0.150,0.305,1.829,-0.061
1714581077669,2024-05-01T19:31:17.669,0.160,0.000,1.890,-0.122
1714581077679,2024-05-01T19:31:17.679,0.170,-0.305,2.317,-0.366
1714581077689,2024-05-01T19:31:17.689,0.180,-0.305,2.683,-0.427
1714581077699,2024-05-01T19:31:17.699,0.190,0.122,3.110,-0.427
1714581077709,2024-05-01T19:31:17.709,0.200,0.549,3.354,-0.061
1714581077719,2024-05-01T19:31:17.719,0.210,0.793,3.537,0.610
1714581077729,2024-05-01T19:31:17.729,0.220,1.768,5.488,0.305
1714581077739,2024-05-01T19:31:17.739,0.230,2.500,8.232,-0.549
1714581077749,2024-05-01T19:31:17.749,0.240,3.110,10.488,-0.732
1714581077759,2024-05-01T19:31:17.759,0.250,4.024,13.476,-0.427
1714581077769,2024-05-01T19:31:17.769,0.260,5.549,18.049,-0.244
1714581077779,2024-05-01T19:31:17.779,0.270,8.110,26.341,-0.793
1714581077789,2024-05-01T19:31:17.789,0.280,10.854,35.549,-2.317
1714581077799,2024-05-01T19:31:17.799,0.290,13.902,39.024,-3.780
1714581077809,2024-05-01T19:31:17.809,0.300,15.732,45.122,-2.805
1714581077819,2024-05-01T19:31:17.819,0.310,17.134,49.268,-2.134
1714581077829,2024-05-01T19:31:17.829,0.320,19.939,51.220,-2.561
1714581077839,2024-05-01T19:31:17.839,0.330,26.768,60.549,-3.293
1714581077849,2024-05-01T19:31:17.849,0.340,26.341,71.707,-6.646
1714581077859,2024-05-01T19:31:17.859,0.350,25.488,84.024,-10.000
1714581077869,2024-05-01T19:31:17.869,0.360,27.927,87.073,-12.439
1714581077879,2024-05-01T19:31:17.879,0.370,25.854,82.744,-10.549
1714581077889,2024-05-01T19:31:17.889,0.380,13.598,72.805,-5.061
1714581077899,2024-05-01T19:31:17.899,0.390,-29.573,28.598,-19.329
1714581077909,2024-05-01T19:31:17.909,0.400,-36.402,-4.878,-31.159
1714581077919,2024-05-01T19:31:17.919,0.410,-29.024,16.890,1.585
1714581077929,2024-05-01T19:31:17.929,0.420,-28.963,28.598,-2.866
1714581077939,2024-05-01T19:31:17.939,0.430,-20.061,43.293,-7.378
1714581077949,2024-05-01T19:31:17.949,0.440,-15.793,51.098,-4.695
1714581077959,2024-05-01T19:31:17.959,0.450,-15.732,49.878,0.915
1714581077969,2024-05-01T19:31:17.969,0.460,-16.768,52.134,6.951
1714581077979,2024-05-01T19:31:17.979,0.470,-32.866,57.988,5.305
1714581077989,2024-05-01T19:31:17.989,0.480,-29.512,62.866,5.854
1714581077999,2024-05-01T19:31:17.999,0.490,-14.329,59.329,0.061
1714581078009,2024-05-01T19:31:18.009,0.500,-18.415,52.500,-2.378
1714581078019,2024-05-01T19:31:18.019,0.510,-21.585,43.720,-3.659
1714581078029,2024-05-01T19:31:18.029,0.520,-14.451,29.512,-6.707
1714581078039,2024-05-01T19:31:18.039,0.530,-5.183,13.049,-5.122
1714581078049,2024-05-01T19:31:18.049,0.540,-3.354,1.159,-0.244
1714581078059,2024-05-01T19:31:18.059,0.550,0.427,-3.415,1.220
1714581078069,2024-05-01T19:31:18.069,0.560,2.195,-3.415,0.488
1714581078079,2024-05-01T19:31:18.079,0.570,-0.854,1.707,-0.610
1714581078089,2024-05-01T19:31:18.089,0.580,-2.805,9.634,-5.183
1714581078099,2024-05-01T19:31:18.099,0.590,-2.561,10.915,-8.232
1714581078109,2024-05-01T19:31:18.109,0.600,1.768,4.817,-8.415
1714581078119,2024-05-01T19:31:18.119,0.610,7.378,-1.890,-6.220
1714581078129,2024-05-01T19:31:18.129,0.620,10.061,33.293,-7.622
1714581078139,2024-05-01T19:31:18.139,0.630,-5.732,42.439,-0.061
1714581078149,2024-05-01T19:31:18.149,0.640,14.573,-15.000,-2.256
1714581078159,2024-05-01T19:31:18.159,0.650,33.659,-27.866,-0.854
1714581078169,2024-05-01T19:31:18.169,0.660,23.232,-14.451,1.220
1714581078179,2024-05-01T19:31:18.179,0.670,15.183,-1.402,-3.110
1714581078189,2024-05-01T19:31:18.189,0.680,12.988,7.012,-5.488
1714581078199,2024-05-01T19:31:18.199,0.690,8.415,12.866,-8.110
1714581078209,2024-05-01T19:31:18.209,0.700,5.793,14.878,-11.768
1714581078219,2024-05-01T19:31:18.219,0.710,8.476,9.085,-11.341
1714581078229,2024-05-01T19:31:18.229,0.720,11.402,-1.220,-8.415
1714581078239,2024-05-01T19:31:18.239,0.730,13.537,-8.841,-7.012
1714581078249,2024-05-01T19:31:18.249,0.740,13.476,-11.951,-7.195
1714581078259,2024-05-01T19:31:18.259,0.750,15.793,-13.659,-7.988
1714581078269,2024-05-01T19:31:18.269,0.760,18.841,-14.573,-8.171
1714581078279,2024-05-01T19:31:18.279,0.770,19.634,-14.512,-7.683
1714581078289,2024-05-01T19:31:18.289,0.780,-22.622,-2.500,-4.573
1714581078299,2024-05-01T19:31:18.299,0.790,-67.195,46.341,-2.561
1714581078309,2024-05-01T19:31:18.309,0.800,-48.110,53.537,-12.927
1714581078319,2024-05-01T19:31:18.319,0.810,-52.256,56.159,-15.183
1714581078329,2024-05-01T19:31:18.329,0.820,-54.817,53.963,-10.305
1714581078339,2024-05-01T19:31:18.339,0.830,-65.915,54.146,-8.841
1714581078349,2024-05-01T19:31:18.349,0.840,-72.744,58.780,-6.524
1714581078359,2024-05-01T19:31:18.359,0.850,-93.171,58.963,-10.915
1714581078369,2024-05-01T19:31:18.369,0.860,-110.183,57.988,2.866
1714581078379,2024-05-01T19:31:18.379,0.870,-83.780,61.463,-0.122
1714581078389,2024-05-01T19:31:18.389,0.880,-57.073,55.915,-15.183
1714581078399,2024-05-01T19:31:18.399,0.890,-49.329,52.256,-17.561
1714581078409,2024-05-01T19:31:18.409,0.900,-60.000,53.049,-19.878
1714581078419,2024-05-01T19:31:18.419,0.910,-63.537,59.634,-13.780
1714581078429,2024-05-01T19:31:18.429,0.920,-57.256,65.122,-11.280
1714581078439,2024-05-01T19:31:18.439,0.930,-46.768,64.085,-15.183
1714581078449,2024-05-01T19:31:18.449,0.940,-36.341,63.902,-20.061
1714581078459,2024-05-01T19:31:18.459,0.950,-35.732,70.488,-25.183
1714581078469,2024-05-01T19:31:18.469,0.960,-52.012,79.146,-24.756
1714581078479,2024-05-01T19:31:18.479,0.970,-40.793,95.305,-20.488
1714581078489,2024-05-01T19:31:18.489,0.980,-32.866,106.098,-28.963
1714581078499,2024-05-01T19:31:18.499,0.990,-45.976,107.805,-33.171
1714581078509,2024-05-01T19:31:18.509,1.000,-52.195,109.817,-34.451
1714581078519,2024-05-01T19:31:18.519,1.010,-60.000,108.049,-33.293
1714581078529,2024-05-01T19:31:18.529,1.020,-50.244,108.293,-39.207
1714581078539,2024-05-01T19:31:18.539,1.030,-43.720,104.085,-45.305
1714581078549,2024-05-01T19:31:18.549,1.040,-49.451,96.768,-44.146
1714581078559,2024-05-01T19:31:18.559,1.050,-30.000,87.134,-46.646
1714581078569,2024-05-01T19:31:18.569,1.060,-27.439,69.268,-46.524
1714581078579,2024-05-01T19:31:18.579,1.070,-42.622,56.037,-40.122
1714581078589,2024-05-01T19:31:18.589,1.080,-23.659,46.707,-40.793
1714581078599,2024-05-01T19:31:18.599,1.090,-7.012,35.793,-40.793
1714581078609,2024-05-01T19:31:18.609,1.100,-11.037,20.610,-39.878
1714581078619,2024-05-01T19:31:18.619,1.110,-12.317,11.829,-34.207
1714581078629,2024-05-01T19:31:18.629,1.120,-2.073,3.232,-34.878
1714581078639,2024-05-01T19:31:18.639,1.130,-9.939,-8.720,-42.683
1714581078649,2024-05-01T19:31:18.649,1.140,-27.073,-7.805,-50.183
1714581078659,2024-05-01T19:31:18.659,1.150,-21.768,4.024,-50.061
1714581078669,2024-05-01T19:31:18.669,1.160,-33.720,12.195,-52.744
1714581078679,2024-05-01T19:31:18.679,1.170,-52.500,32.805,-50.549
1714581078689,2024-05-01T19:31:18.689,1.180,-66.768,73.780,-48.659
