epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.71786E+12,2024-06-08T18.04.28.889,0,83.11,-13.841,-67.744
1.71786E+12,2024-06-08T18.04.28.898,0.009,81.22,-13.78,-66.951
1.71786E+12,2024-06-08T18.04.28.908,0.019,73.841,-13.476,-61.28
1.71786E+12,2024-06-08T18.04.28.918,0.029,67.317,-11.646,-55.61
1.71786E+12,2024-06-08T18.04.28.927,0.038,61.829,-7.5,-52.805
1.71786E+12,2024-06-08T18.04.28.937,0.048,54.634,-1.829,-49.268
1.71786E+12,2024-06-08T18.04.28.947,0.058,48.537,2.561,-44.268
1.71786E+12,2024-06-08T18.04.28.958,0.069,44.939,4.878,-38.78
1.71786E+12,2024-06-08T18.04.28.966,0.077,41.402,5.854,-34.146
1.71786E+12,2024-06-08T18.04.28.977,0.088,35.854,4.268,-28.963
1.71786E+12,2024-06-08T18.04.28.987,0.098,29.512,1.89,-23.11
1.71786E+12,2024-06-08T18.04.28.997,0.108,22.927,-0.488,-17.561
1.71786E+12,2024-06-08T18.04.29.006,0.117,16.037,-2.012,-12.378
1.71786E+12,2024-06-08T18.04.29.016,0.127,8.963,-4.329,-6.89
1.71786E+12,2024-06-08T18.04.29.027,0.138,2.012,-7.439,-1.585
1.71786E+12,2024-06-08T18.04.29.037,0.148,-4.085,-9.756,2.683
1.71786E+12,2024-06-08T18.04.29.046,0.157,-10.366,-9.207,5.793
1.71786E+12,2024-06-08T18.04.29.056,0.167,-19.634,-7.012,9.329
1.71786E+12,2024-06-08T18.04.29.066,0.177,-28.841,-5.061,13.537
1.71786E+12,2024-06-08T18.04.29.076,0.187,-35,-3.171,17.134
1.71786E+12,2024-06-08T18.04.29.085,0.196,-41.402,-0.488,19.634
1.71786E+12,2024-06-08T18.04.29.095,0.206,-49.146,2.988,22.378
1.71786E+12,2024-06-08T18.04.29.106,0.217,-53.963,7.622,24.817
1.71786E+12,2024-06-08T18.04.29.116,0.227,-54.695,12.378,25.671
1.71786E+12,2024-06-08T18.04.29.125,0.236,-55.915,15.244,26.463
1.71786E+12,2024-06-08T18.04.29.135,0.246,-56.585,16.89,27.988
1.71786E+12,2024-06-08T18.04.29.145,0.256,-57.561,16.951,28.598
1.71786E+12,2024-06-08T18.04.29.154,0.265,-59.695,12.927,30.488
1.71786E+12,2024-06-08T18.04.29.164,0.275,-59.695,7.622,34.817
1.71786E+12,2024-06-08T18.04.29.174,0.285,-61.159,2.561,37.988
1.71786E+12,2024-06-08T18.04.29.185,0.296,-66.951,-3.476,41.341
1.71786E+12,2024-06-08T18.04.29.194,0.305,-70.061,-7.744,46.829
1.71786E+12,2024-06-08T18.04.29.204,0.315,-73.11,-10.366,50.732
1.71786E+12,2024-06-08T18.04.29.214,0.325,-77.073,-11.646,55.549
1.71786E+12,2024-06-08T18.04.29.224,0.335,-78.598,-10.549,60.915
1.71786E+12,2024-06-08T18.04.29.233,0.344,-79.207,-7.439,65.549
1.71786E+12,2024-06-08T18.04.29.243,0.354,-82.256,-1.585,69.756
1.71786E+12,2024-06-08T18.04.29.254,0.365,-90.366,3.049,74.817
1.71786E+12,2024-06-08T18.04.29.264,0.375,-94.756,6.28,81.768
1.71786E+12,2024-06-08T18.04.29.273,0.384,-96.341,11.89,83.841
1.71786E+12,2024-06-08T18.04.29.283,0.394,-103.049,16.646,84.878
