epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1715008586206,2024-05-06T18.16.26.206,0.000,-55.850,29.032,-9.337
1715008586216,2024-05-06T18.16.26.216,0.010,-56.665,30.701,-9.600
1715008586225,2024-05-06T18.16.26.225,0.019,-62.630,37.458,-9.074
1715008586235,2024-05-06T18.16.26.235,0.029,-69.524,46.052,-10.335
1715008586246,2024-05-06T18.16.26.246,0.040,-79.314,57.713,-12.660
1715008586254,2024-05-06T18.16.26.254,0.048,-83.982,82.988,-15.415
1715008586265,2024-05-06T18.16.26.265,0.059,-74.108,114.398,-18.312
1715008586275,2024-05-06T18.16.26.275,0.069,-59.539,124.874,-21.932
1715008586285,2024-05-06T18.16.26.285,0.079,-60.934,124.874,-25.454
1715008586294,2024-05-06T18.16.26.294,0.088,-71.475,124.611,-28.319
1715008586304,2024-05-06T18.16.26.304,0.098,-71.349,124.874,-28.498
1715008586314,2024-05-06T18.16.26.314,0.108,-65.206,124.874,-26.734
1715008586325,2024-05-06T18.16.26.325,0.119,-58.693,124.870,-22.428
1715008586333,2024-05-06T18.16.26.333,0.127,-60.983,121.928,-17.119
1715008586344,2024-05-06T18.16.26.344,0.138,-71.631,113.106,-12.412
1715008586354,2024-05-06T18.16.26.354,0.148,-77.553,97.812,-4.249
1715008586364,2024-05-06T18.16.26.364,0.158,-77.428,74.809,7.771
1715008586373,2024-05-06T18.16.26.373,0.167,-67.043,58.982,16.787
1715008586383,2024-05-06T18.16.26.383,0.177,-66.353,59.108,18.632
1715008586393,2024-05-06T18.16.26.393,0.187,-74.097,57.252,19.825
1715008586404,2024-05-06T18.16.26.404,0.198,-79.558,45.522,22.641
1715008586413,2024-05-06T18.16.26.413,0.207,-94.855,28.624,23.925
1715008586423,2024-05-06T18.16.26.423,0.217,-117.252,10.793,25.568
1715008586433,2024-05-06T18.16.26.433,0.227,-124.874,-9.977,30.835
1715008586442,2024-05-06T18.16.26.442,0.236,-124.874,-30.492,42.683
1715008586452,2024-05-06T18.16.26.452,0.246,-124.691,-44.947,54.284
1715008586462,2024-05-06T18.16.26.462,0.256,-124.874,-58.136,61.040
1715008586473,2024-05-06T18.16.26.473,0.267,-124.874,-65.347,62.969
1715008586481,2024-05-06T18.16.26.481,0.275,-124.874,-68.544,65.606
1715008586492,2024-05-06T18.16.26.492,0.286,-124.874,-63.838,66.444
1715008586502,2024-05-06T18.16.26.502,0.296,-124.874,-61.982,62.995
1715008586512,2024-05-06T18.16.26.512,0.306,-124.874,-60.968,59.893
1715008586521,2024-05-06T18.16.26.521,0.315,-124.874,-55.800,57.866
1715008586531,2024-05-06T18.16.26.531,0.325,-124.874,-54.043,56.322
1715008586541,2024-05-06T18.16.26.541,0.335,-124.874,-50.716,54.512
1715008586552,2024-05-06T18.16.26.552,0.346,-124.874,-45.232,50.755
1715008586560,2024-05-06T18.16.26.560,0.354,-124.874,-37.024,47.466
1715008586571,2024-05-06T18.16.26.571,0.365,-124.874,-21.894,48.144
1715008586581,2024-05-06T18.16.26.581,0.375,-124.874,-11.993,47.950
1715008586591,2024-05-06T18.16.26.591,0.385,-124.874,-7.576,46.654
1715008586600,2024-05-06T18.16.26.600,0.394,-124.874,-1.338,43.643
1715008586610,2024-05-06T18.16.26.610,0.404,-124.874,6.456,41.010
1715008586621,2024-05-06T18.16.26.621,0.415,-124.874,15.560,43.784
1715008586631,2024-05-06T18.16.26.631,0.425,-124.874,23.011,46.444
1715008586640,2024-05-06T18.16.26.640,0.434,-124.874,22.622,48.918
1715008586650,2024-05-06T18.16.26.650,0.444,-124.874,20.739,51.917
1715008586660,2024-05-06T18.16.26.660,0.454,-124.874,24.794,54.855
1715008586670,2024-05-06T18.16.26.670,0.464,-124.874,30.846,59.085
1715008586679,2024-05-06T18.16.26.679,0.473,-124.874,37.645,62.405
1715008586689,2024-05-06T18.16.26.689,0.483,-124.874,48.971,65.610
1715008586700,2024-05-06T18.16.26.700,0.494,-124.874,62.012,74.192
1715008586708,2024-05-06T18.16.26.708,0.502,-124.874,71.067,87.027
1715008586719,2024-05-06T18.16.26.719,0.513,-124.874,78.194,96.684
1715008586729,2024-05-06T18.16.26.729,0.523,-124.874,78.727,101.399
