x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.442178591,0.415956433,0.472529181,0.45806084,0.619390029,0.514629882,0.271492087,1
0.435710667,0.412938293,0.461439939,0.451366454,0.620945297,0.509941967,0.263492597,1
0.428459673,0.411712615,0.450685363,0.443657323,0.623981192,0.505584116,0.257632541,1
0.420546403,0.412818414,0.440994069,0.435270862,0.628741533,0.501949489,0.254680477,1
0.412142787,0.416779526,0.43317166,0.426656423,0.635443182,0.499479369,0.255395496,1
0.403474284,0.424073885,0.428065663,0.418368689,0.644257491,0.498647144,0.260490773,1
0.394818364,0.435100766,0.426522342,0.411053293,0.655291042,0.499937682,0.270594951,1
0.386498385,0.450147786,0.429337036,0.405424489,0.668567028,0.5038227,0.286213154,1
0.378872461,0.469359755,0.437200371,0.402235152,0.684008694,0.510733103,0.307689661,1
0.372317352,0.492711665,0.450643395,0.402240012,0.701426088,0.521029652,0.335174383,1
0.367207918,0.519988141,0.469985263,0.406153586,0.72050717,0.534973628,0.368595366,1
0.363893372,0.550771496,0.495287447,0.414604865,0.740814073,0.55269938,0.407639394,1
0.362672174,0.58444023,0.52631856,0.428091362,0.761785066,0.574190769,0.451742548,1
0.363767966,0.620179201,0.562533672,0.446935507,0.782742638,0.599263452,0.500092175,1
0.367309292,0.657001962,0.603071415,0.471246697,0.802907939,0.62755472,0.551641186,1
0.373315783,0.693784857,0.646771252,0.500892289,0.821421777,0.658522233,0.605134937,1
0.381693098,0.72931149,0.692211893,0.535480635,0.837372166,0.691452427,0.659150236,1
0.392238014,0.762325285,0.737770132,0.574358643,0.849828331,0.725478717,0.712145183,1
0.404653936,0.791587055,0.781697469,0.616625504,0.857880733,0.75960893,0.762517829,1
0.418575701,0.815933963,0.822209987,0.661162989,0.860686301,0.792760754,0.808670902,1
0.433601151,0.834336097,0.857585433,0.706681345,0.857517335,0.823803418,0.849079316,1
0.449325659,0.845947003,0.886260525,0.751778328,0.847811696,0.851603432,0.882356798,1
0.46537505,0.850144934,0.906921299,0.795007608,0.831220916,0.875071949,0.907317851,1
0.481432241,0.846562268,0.918579864,0.834951758,0.807651983,0.893211233,0.923031435,1
0.497253614,0.835101302,0.920632023,0.870294587,0.777298004,0.905157806,0.928863124,1
0.512672603,0.815935633,0.912891765,0.899887622,0.740653017,0.910220079,0.924503238,1
0.527590098,0.789497383,0.895600262,0.922806164,0.698507094,0.907908656,0.909979238,1
0.54195365,0.756451632,0.869408828,0.938391357,0.651919664,0.897957931,0.885651761,1
0.555729459,0.717660374,0.835336985,0.946276043,0.602171503,0.880338087,0.852194674,1
0.568872242,0.674139062,0.794708512,0.946393468,0.550698461,0.85525716,0.810560596,1
0.581298024,0.627009108,0.749069992,0.938969218,0.499012286,0.823153328,0.761934204,1
0.592864046,0.577449669,0.700097763,0.924497815,0.448615368,0.784678148,0.707676373,1
0.603358562,0.52665156,0.649500363,0.903706334,0.400916828,0.740671913,0.649262658,1
0.612501796,0.475775513,0.598923976,0.877508118,0.357157075,0.692132607,0.588219799,1
0.619957743,0.425916198,0.549868068,0.846950097,0.318347031,0.640180157,0.526063869,1
0.625355177,0.378072751,0.503617108,0.813157446,0.28522657,0.586017666,0.464243314,1
0.628315133,0.333126011,0.461192295,0.777279209,0.258244774,0.530891276,0.404089596,1
0.628481709,0.291822263,0.423324887,0.740438149,0.237562337,0.476050154,0.346777474,1
0.62555314,0.254763075,0.390450383,0.703687488,0.223074423,0.422708,0.293296142,1
0.619310422,0.222400756,0.36272094,0.667976457,0.214450363,0.372007292,0.244431676,1
0.609641054,0.195038888,0.340032213,0.634125688,0.211185229,0.324987358,0.2007605,1
0.596555702,0.172837368,0.322060484,0.602812542,0.21265747,0.282557191,0.16265292,1
0.580196128,0.155821364,0.308306201,0.57456566,0.218186737,0.245473667,0.130285286,1
0.56083351,0.143893464,0.29814068,0.549767276,0.227086643,0.214325623,0.103658999,1
0.53885735,0.136848254,0.290853355,0.528661408,0.238708431,0.189523997,0.08262437,1
0.51475616,0.134388496,0.285697453,0.511365882,0.252473046,0.17129806,0.066907371,1
0.489092096,0.136142126,0.281932316,0.49788625,0.267890659,0.159697547,0.056137377,1
0.462472187,0.141679322,0.278860815,0.488130043,0.284567983,0.154600348,0.049874273,1
0.435518809,0.150529079,0.275860587,0.481920287,0.302204721,0.155725281,0.047633593,1
0.408841501,0.162194855,0.27240813,0.479007722,0.320581058,0.16264928,0.048908713,1
0.383011704,0.176169047,0.26809527,0.479081589,0.339538583,0.174828198,0.0531895,1
0.35854163,0.191946157,0.262637957,0.481779189,0.35895743,0.191620259,0.059977149,1
0.335868249,0.209034555,0.255877798,0.486694726,0.378732684,0.212311104,0.068795281,1
0.315343081,0.22696672,0.247777004,0.493388072,0.39875328,0.236139352,0.079197582,1
0.297227846,0.245307867,0.238407645,0.501394236,0.41888631,0.26232165,0.090772488,1
0.281695332,0.263662909,0.227936209,0.510234157,0.438968937,0.290076383,0.103145489,1
0.268834168,0.281681827,0.216604575,0.519427242,0.4588089,0.318645343,0.115979683,1
0.25865578,0.299063588,0.204708584,0.52850561,0.478193145,0.347312904,0.12897518,1
0.25110181,0.315558756,0.192575563,0.537029521,0.496902682,0.375422406,0.141867886,1
0.246050655,0.330970787,0.180542192,0.544603073,0.514730841,0.402389623,0.154428079,1
0.243322504,0.345155913,0.168934014,0.550888903,0.531501752,0.427713357,0.166459084,1
0.242683242,0.358021449,0.158047697,0.555620675,0.547086208,0.450983299,0.177796202,1
0.24384829,0.369522439,0.148136729,0.558612226,0.56141285,0.471885364,0.188305961,1
0.246487761,0.379656739,0.139400939,0.559762602,0.574473499,0.490204691,0.197885623,1
0.250234013,0.388458844,0.13197995,0.559056541,0.586322197,0.505826461,0.206462855,1
0.25469213,0.395992915,0.125950603,0.5565603,0.597068193,0.518734568,0.213995382,1
0.259453326,0.402345469,0.121328348,0.55241309,0.606863567,0.529008086,0.220470474,1
0.264110961,0.407618178,0.118072469,0.546814678,0.615886686,0.536815367,0.225904085,1
0.268278751,0.411921089,0.11609476,0.540010025,0.624323142,0.542405586,0.230339544,1
0.271610547,0.415366552,0.11527093,0.532272086,0.63234612,0.546097596,0.233845682,1
0.273820794,0.418064041,0.115453691,0.523884045,0.640098314,0.548266093,0.236514384,1
0.274704321,0.420116038,0.116486359,0.515122343,0.647677441,0.549325304,0.238457578,1
0.274153746,0.421615074,0.118215786,0.506241759,0.65512708,0.549710688,0.2398037,1
0.272172529,0.422641979,0.120503603,0.497463627,0.662434028,0.549859403,0.240693762,1
0.268881723,0.423265304,0.123235019,0.488967892,0.669532561,0.550190495,0.241277103,1
0.264518853,0.423541803,0.126324675,0.4808893,0.676315071,0.55108588,0.241706996,1
0.259428166,0.42351772,0.129719317,0.473317505,0.682647675,0.552873208,0.242136202,1
0.254042568,0.423230616,0.133397254,0.466300551,0.688388781,0.555811587,0.242712641,1
