x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.433220145,0.416051744,0.466252202,0.367648718,0.416777073,0.383992143,0.139523777,0
0.439569416,0.41274584,0.484650668,0.365329954,0.40864869,0.381370889,0.143760256,0
0.446150401,0.408885326,0.50436834,0.364431807,0.400373713,0.378016597,0.148780192,0
0.452829518,0.404442592,0.525101306,0.365146456,0.392062187,0.373898344,0.154555219,0
0.459458276,0.39940359,0.546501564,0.367627823,0.383821061,0.369008163,0.161028545,0
0.465878266,0.393772165,0.568189611,0.37198238,0.375748405,0.36336403,0.168118233,0
0.471927418,0.387573456,0.589769096,0.378261151,0.367927346,0.357011835,0.175721681,0
0.477447595,0.380856137,0.610842992,0.386453615,0.360420311,0.350025977,0.183720999,0
0.482293323,0.373693332,0.631030602,0.396484204,0.353264135,0.342508278,0.191988984,0
0.486341199,0.366182009,0.649984668,0.40821197,0.346466604,0.334585054,0.20039529,0
0.489499202,0.358440724,0.667407734,0.421433871,0.340004884,0.32640232,0.208812468,0
0.49171496,0.35060564,0.683066818,0.435891836,0.333826139,0.318119328,0.217121478,0
0.492982034,0.34282493,0.696805362,0.451283473,0.327850472,0.309900791,0.225216382,0
0.493343413,0.335251896,0.708551376,0.46727587,0.321976092,0.301908288,0.233007943,0
0.492891669,0.328037336,0.71832078,0.483521553,0.316086378,0.294291457,0.240425935,1
0.491765515,0.321321841,0.726215249,0.499675358,0.310058294,0.287179626,0.247420079,1
0.490142828,0.31522871,0.732414294,0.515410799,0.303771404,0.28067455,0.253959588,1
0.488230389,0.309858073,0.73716191,0.530434544,0.297116647,0.274844911,0.260031418,1
0.486250892,0.305282616,0.740748728,0.544497839,0.29000404,0.269723134,0.265637409,1
0.484427994,0.301545111,0.743491007,0.557404101,0.282368635,0.265304908,0.270790572,1
0.482970522,0.298657809,0.745708106,0.569012328,0.274174274,0.261551559,0.275510846,1
0.482057266,0.296603682,0.7477001,0.579236435,0.26541501,0.258395063,0.27982068,1
0.481824012,0.295339435,0.749727128,0.588040948,0.256114328,0.255745189,0.283740808,1
0.482354445,0.294800218,0.751991833,0.595433811,0.246322549,0.253497934,0.287286553,1
0.483676249,0.294905793,0.754626047,0.601457179,0.236112949,0.251544282,0.290464972,1
0.485763082,0.295567817,0.757682557,0.606177204,0.225577165,0.249778297,0.293273071,1
0.488542304,0.296697654,0.76113252,0.609673822,0.214820478,0.248103732,0.295697228,1
0.491907411,0.29821397,0.764868758,0.612031528,0.203957403,0.24643865,0.29771388,1
0.49573338,0.300049269,0.768714783,0.613332011,0.193107893,0.244717901,0.299291413,1
0.499892769,0.302154576,0.772438972,0.613649339,0.182394277,0.242893658,0.300393105,1
0.504270447,0.304501734,0.775772778,0.613048052,0.171938874,0.240934434,0.300980883,1
0.508775431,0.307083183,0.778431356,0.611584121,0.161862156,0.238823054,0.30101959,1
0.51334902,0.309909581,0.780134674,0.609308278,0.152281271,0.236553996,0.300481425,1
0.517969137,0.313005976,0.780627107,0.60627085,0.143308746,0.234130394,0.299350195,1
0.522651187,0.316407384,0.779693794,0.602527096,0.135051268,0.231560905,0.297625041,1
0.527445882,0.320154418,0.777172525,0.598142066,0.127608483,0.228856602,0.295323349,1
0.532434405,0.32428939,0.772960568,0.59319426,0.121071878,0.226028133,0.292482609,1
0.537721174,0.328852935,0.76701642,0.587777694,0.115523817,0.22308342,0.289161086,1
0.543424499,0.33388109,0.759356998,0.582002259,0.111036803,0.220026245,0.285437253,1
0.549665536,0.339402708,0.750051041,0.575992514,0.10767297,0.21685598,0.281408022,1
0.556556284,0.345437225,0.739209703,0.569885101,0.105483759,0.213568628,0.277185918,1
0.564187686,0.351992952,0.726975341,0.563824979,0.104509651,0.210159117,0.272895405,1
0.572619097,0.359066159,0.713509508,0.557960616,0.104779837,0.2066246,0.268668612,1
0.58187035,0.366641224,0.698981144,0.552438278,0.106311689,0.202968305,0.264640782,1
0.591917393,0.374691911,0.683555928,0.547395646,0.109110015,0.199203426,0.260945721,1
0.602691946,0.383183578,0.667387608,0.542955113,0.113166167,0.195356513,0.257711548,1
0.614085135,0.392075902,0.650611886,0.539217292,0.118457187,0.191469996,0.255056978,1
0.625954573,0.4013256,0.633343151,0.536255273,0.124945229,0.187603555,0.253088327,1
0.63813409,0.410888757,0.615674028,0.534110149,0.132577445,0.183834255,0.251897352,1
0.650445144,0.420722575,0.597677454,0.532788122,0.141286421,0.180255397,0.251559965,1
0.662709016,0.43078658,0.579410856,0.532259335,0.15099109,0.176974138,0.252135777,1
0.674758896,0.44104345,0.560921857,0.532458409,0.161598017,0.174107931,0.253668383,1
0.686451132,0.451459567,0.542254922,0.533286571,0.173002883,0.17177986,0.256186226,1
0.697674927,0.46200529,0.523458351,0.534615306,0.185092131,0.170113024,0.259703849,1
0.708359886,0.47265479,0.504591044,0.536291469,0.197744763,0.169224188,0.26422334,1
0.718480821,0.483385241,0.485728494,0.538143872,0.21083438,0.169217028,0.269735768,1
0.728059369,0.494175238,0.466967513,0.539991304,0.224231556,0.1701754,0.276222433,1
0.737162072,0.505002486,0.448429144,0.54165186,0.237806613,0.172157127,0.28365582,1
0.745894849,0.51584104,0.430259265,0.542953262,0.25143283,0.175188841,0.292000152,1
0.754394038,0.526658553,0.412626484,0.543743638,0.264990003,0.179262335,0.30121155,1
0.762814554,0.537414102,0.395717076,0.543901979,0.278368237,0.18433284,0.311237833,1
0.771315987,0.548057044,0.379726939,0.543347327,0.291471777,0.190319475,0.322018059,1
0.780047738,0.558527284,0.364850778,0.542045649,0.304222638,0.197108018,0.333481954,1
0.789134354,0.568757055,0.351269049,0.540013387,0.316563679,0.204556012,0.345549404,1
0.79866222,0.578674187,0.33913358,0.537316855,0.328460687,0.212500094,0.358130191,1
0.808668599,0.588206563,0.328553179,0.534067097,0.339902985,0.220765241,0.37112415,1
0.819133957,0.597287307,0.31958086,0.530410285,0.350902213,0.229175466,0.384421906,1
0.829978461,0.605860059,0.312204409,0.526514363,0.361489174,0.237565169,0.397906277,1
0.841063482,0.613883661,0.306341837,0.522553188,0.371709002,0.245790179,0.411454398,1
0.852198641,0.621335588,0.301842917,0.518689844,0.381615227,0.253737329,0.424940538,1
0.863154403,0.628213547,0.298497295,0.515061013,0.391263551,0.261331479,0.43823951,1
0.87367947,0.634534874,0.296048947,0.511764172,0.400706184,0.268539127,0.45123051,1
0.883521459,0.640333604,0.294215843,0.508849051,0.409987441,0.275368173,0.463801169,1
0.892448737,0.645655452,0.292713031,0.506314211,0.419140998,0.281863898,0.475851555,1
0.900270925,0.650551273,0.291276834,0.504108919,0.42818886,0.288101681,0.487297837,1
0.906855752,0.65506989,0.289687645,0.502139839,0.437141825,0.294177369,0.498075353,1
