x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.4985813,0.192330513,0.618418567,0.510714442,0.362348483,0.643489406,0.156511743,1
0.525609271,0.183436224,0.644597072,0.520403946,0.354644539,0.62389056,0.1731003,1
0.552049602,0.173935226,0.670744127,0.531779744,0.349170237,0.602555341,0.190693825,1
0.577230502,0.163863277,0.696388936,0.544821599,0.345946024,0.579744656,0.208991558,1
0.600513645,0.153275843,0.721075623,0.559458261,0.344864243,0.555753374,0.227647873,1
0.621325411,0.142249675,0.744380937,0.575568513,0.345694762,0.530896774,0.246285681,1
0.639183426,0.130882765,0.765930173,0.592984416,0.348097359,0.505495771,0.264511931,1
0.653717355,0.119292588,0.785410608,0.611496614,0.35164029,0.47986208,0.28193438,1
0.664683195,0.107612807,0.802581911,0.630861444,0.355824148,0.454284512,0.298178653,1
0.671970564,0.095988853,0.817283261,0.650809502,0.360109612,0.429017358,0.312904632,1
0.675602763,0.084572771,0.829437002,0.671055215,0.363947365,0.404271651,0.325821213,1
0.675729937,0.073517764,0.839048806,0.69130698,0.366808244,0.380209727,0.336698584,1
0.672616168,0.062972782,0.846204339,0.711277387,0.368211669,0.356943239,0.345377328,1
0.666621784,0.053077469,0.851062536,0.730693057,0.367750586,0.334534464,0.35177383,1
0.658182415,0.043957773,0.853845705,0.74930366,0.36511151,0.313000491,0.355881744,1
0.647786325,0.035722403,0.854826837,0.76688971,0.360088671,0.292319721,0.35776946,1
0.63595142,0.028460308,0.854314694,0.783268809,0.352591782,0.272440018,0.357573809,1
0.623203025,0.022239241,0.852637347,0.798300086,0.342647379,0.25328787,0.355490446,1
0.610053267,0.017105491,0.85012501,0.811886668,0.330394142,0.234777937,0.351761542,1
0.596982605,0.013084841,0.847093085,0.823976079,0.316072824,0.216822421,0.346661591,1
0.58442383,0.010184751,0.843826436,0.834558617,0.300011658,0.199339738,0.340482216,1
0.572748709,0.008397663,0.840565783,0.843663855,0.282608158,0.18226203,0.333516912,1
0.562257402,0.007705103,0.837497008,0.85135557,0.264308432,0.165541207,0.326046627,1
0.553170977,0.008082194,0.834743869,0.857725544,0.245585325,0.149153342,0.318327039,1
0.545627548,0.009502114,0.832364395,0.862886689,0.226916918,0.133101386,0.310578222,1
0.539682697,0.011940146,0.830350984,0.866966001,0.20876707,0.117416338,0.302977245,1
0.535314616,0.015377055,0.828634001,0.87009773,0.191569428,0.102157082,0.295654055,1
0.532433909,0.019801706,0.827088463,0.872417079,0.175715892,0.08740915,0.288690764,1
0.530897253,0.025212862,0.825543256,0.874054639,0.161549717,0.073282674,0.282124256,1
0.53052352,0.031620172,0.823792213,0.87513166,0.149362622,0.059909703,0.275951818,1
0.531110578,0.039044346,0.821606387,0.875756184,0.13939461,0.047440982,0.270139326,1
0.532451069,0.047516513,0.818746914,0.876020027,0.131834854,0.036042159,0.264631351,1
0.534345867,0.05707681,0.814978053,0.875996581,0.126822184,0.025889351,0.259362471,1
0.536614664,0.067772228,0.810080029,0.875739462,0.124444239,0.017163963,0.254268998,1
0.539103921,0.079653819,0.803861283,0.875282011,0.124735264,0.010046726,0.249300332,1
0.541693019,0.092773461,0.796169576,0.874637679,0.127673376,0.004711086,0.244429185,1
0.544299601,0.107180507,0.786901234,0.873801242,0.133178641,0.001316201,0.239660025,1
0.546884625,0.122918673,0.776007856,0.872750694,0.141113357,0.0,0.235035187,1
0.549456775,0.140023469,0.763500059,0.871449597,0.151285449,0.000872732,0.230638273,1
0.552075009,0.158520245,0.749448166,0.869849651,0.163455085,0.004011439,0.226594638,1
0.554847568,0.178422706,0.733980074,0.867893299,0.177343957,0.009455639,0.223068928,1
0.557926119,0.199731613,0.717276717,0.865516292,0.192646193,0.017204389,0.220259819,1
0.561494677,0.222433344,0.699565565,0.862650241,0.209039968,0.027214764,0.218392292,1
0.565754281,0.246498129,0.681112538,0.85922528,0.226199199,0.039401781,0.217707896,1
0.570905485,0.271877929,0.662212613,0.855172949,0.243805174,0.053639799,0.218453581,1
0.577131117,0.29850413,0.643179427,0.850429387,0.261558196,0.069765494,0.220869743,1
0.584581304,0.32628538,0.624334187,0.844938777,0.279189177,0.087582501,0.22517818,1
0.593361778,0.355105983,0.605994163,0.838656886,0.29647076,0.10686775,0.231570636,1
0.603525447,0.384825171,0.588461054,0.831554423,0.313227001,0.127379402,0.240198556,1
0.615066658,0.415277434,0.572009458,0.823619899,0.329340399,0.148866179,0.251164633,1
0.627917639,0.446274005,0.556875787,0.814861661,0.34475508,0.171077688,0.264516564,1
0.641947066,0.477605536,0.543248115,0.80530876,0.359475365,0.193775148,0.280243346,1
0.656961232,0.509046119,0.53125757,0.795010425,0.373559562,0.21674176,0.298274274,1
0.672708555,0.540358721,0.520971999,0.784033975,0.387109502,0.239791865,0.318480638,1
0.688888097,0.571301973,0.512392651,0.772461225,0.40025691,0.262778106,0.34068,1
0.705162324,0.601637942,0.505454545,0.76038362,0.413148084,0.28559597,0.364642753,1
0.721173787,0.631140263,0.500030952,0.747896546,0.425928488,0.308185331,0.39010057,1
0.736564761,0.659601847,0.495942006,0.735093399,0.438728766,0.330528886,0.416756247,1
0.750998349,0.686841443,0.492966951,0.722060006,0.451653352,0.352647598,0.444294388,1
0.76417922,0.712708468,0.490858957,0.708869963,0.464772399,0.374593499,0.472392337,1
0.775872033,0.737085821,0.489361193,0.695581269,0.478117194,0.396440435,0.500730798,1
