x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.501326333,0.448283684,0.664532672,0.619300696,0.318652134,0.547674069,0.369411043,0
0.496017477,0.447187048,0.664239638,0.618974514,0.319915052,0.549230663,0.367460414,0
0.49013283,0.445816859,0.663837706,0.618374053,0.321293912,0.551462896,0.365538178,0
0.483815989,0.4441435,0.663330863,0.617463724,0.322800873,0.554478827,0.363757804,0
0.477244722,0.442138477,0.662726668,0.616215753,0.324457494,0.558382628,0.362245157,1
0.470623941,0.439774916,0.662034598,0.614612126,0.326296617,0.563271061,0.361133523,1
0.464176228,0.437028061,0.661263672,0.612645953,0.328363502,0.569229922,0.360557621,1
0.458130389,0.433875745,0.660419464,0.610322001,0.330715821,0.576330555,0.360646872,1
0.452708857,0.43029878,0.659500697,0.60765623,0.333422216,0.584626533,0.36151824,1
0.448114941,0.42628115,0.658495692,0.604674224,0.336559216,0.594150611,0.363269023,1
0.444521119,0.421809941,0.657379017,0.601408498,0.340206512,0.604912048,0.365969986,1
0.442059557,0.416874915,0.656108681,0.597894772,0.344440821,0.616894429,0.369659219,1
0.440815848,0.411467691,0.654624225,0.594167379,0.349328796,0.630054147,0.374337112,1
0.440826564,0.405580563,0.652846038,0.590254063,0.354919619,0.644319713,0.37996277,1
0.442080677,0.399205059,0.65067621,0.586170474,0.36123799,0.659592117,0.386452139,1
0.444524369,0.392330482,0.648001205,0.581914752,0.368278154,0.675746393,0.393678053,1
0.448068156,0.384942769,0.644696556,0.577462634,0.375999411,0.692634504,0.401472288,1
0.452595002,0.377024117,0.640633668,0.57276361,0.384323293,0.710089474,0.409629648,1
0.457968019,0.368553894,0.635688653,0.567738697,0.393132362,0.727930533,0.417913969,1
0.464036694,0.359511262,0.629752949,0.562280411,0.402270457,0.745968845,0.426065877,1
0.470641035,0.349879759,0.622745223,0.556255504,0.411544279,0.764013245,0.43381198,1
0.477613596,0.339653771,0.614623741,0.549510914,0.420726352,0.781875347,0.440875162,1
0.484779938,0.328846416,0.605398121,0.541883164,0.429559689,0.799373455,0.446985539,1
0.491958744,0.317497978,0.595139144,0.533211166,0.437764693,0.816334893,0.451891618,1
0.498963129,0.305683823,0.583985253,0.523351977,0.445048944,0.832596636,0.455371175,1
0.505604531,0.293520706,0.572144407,0.51219855,0.451120403,0.848004423,0.457241369,1
0.51169967,0.281170619,0.559890288,0.499698063,0.455704089,0.86241074,0.457367644,1
0.517079824,0.268841675,0.54755237,0.485868965,0.458561554,0.875672197,0.45567101,1
0.521600597,0.256785907,0.535500119,0.470814712,0.459511548,0.887646815,0.452133354,1
0.525149972,0.24529416,0.52412246,0.454732176,0.458449495,0.898191692,0.44680052,1
0.527652868,0.234688484,0.513804402,0.437913148,0.455362945,0.907161438,0.43978297,1
0.529071492,0.225312577,0.504903287,0.420737978,0.45034033,0.914407587,0.431253941,1
0.529401989,0.217520897,0.497727306,0.403661308,0.44357113,0.919779107,0.42144509,1
0.528668927,0.211667047,0.492518649,0.387190878,0.435336778,0.9231239,0.410639732,1
0.526919749,0.208091898,0.489442857,0.371861262,0.425993186,0.924291092,0.399163837,1
0.524221393,0.207111739,0.48858479,0.358205071,0.415947129,0.923133802,0.387375057,1
0.520660652,0.209006556,0.489950399,0.346724354,0.405629727,0.919512089,0.375650118,1
0.516348612,0.214008481,0.493472606,0.33786472,0.395470477,0.913295765,0.364370992,1
0.511428062,0.222290576,0.49901933,0.331994125,0.385874849,0.904366856,0.353910334,1
0.50608149,0.233956393,0.506401931,0.329387416,0.377207434,0.89262155,0.34461671,1
0.500536624,0.249031086,0.515382967,0.330216888,0.36978139,0.877971639,0.33680022,1
0.49506641,0.267455054,0.525682745,0.334548326,0.363853773,0.86034556,0.330719126,1
0.489980948,0.289080944,0.536984778,0.342341581,0.359625602,0.839689391,0.326568139,1
0.485610065,0.313674546,0.548940729,0.353454533,0.357245123,0.815968217,0.324468971,1
0.482276684,0.340919698,0.561175705,0.367649471,0.356812793,0.789168411,0.324463761,1
0.480262686,0.370427005,0.573294881,0.38460118,0.358386616,0.759301251,0.326511848,1
0.479770184,0.40174603,0.584892302,0.403906375,0.361986605,0.726408169,0.330490278,1
0.480882047,0.434380538,0.595562498,0.425094419,0.367597263,0.690567635,0.336198267,1
0.483526209,0.467806296,0.604915224,0.447639472,0.375167226,0.651903397,0.343365606,1
0.487448768,0.501490787,0.612593204,0.470974351,0.384605784,0.610593525,0.351664821,1
0.492200874,0.53491403,0.618292202,0.494506399,0.395776787,0.566879473,0.360726626,1
0.497143391,0.567589433,0.621782064,0.517635588,0.408491278,0.521074326,0.370157983,1
0.501471232,0.599083445,0.622926845,0.539774899,0.422500727,0.473569335,0.379561887,1
0.504256576,0.629032614,0.62170185,0.560372677,0.437492823,0.424837973,0.388557802,1
0.50450776,0.657156758,0.618205489,0.578936312,0.453091403,0.375436782,0.39680159,1
0.501239007,0.683267132,0.612664229,0.595056054,0.468861481,0.326002454,0.40400373,1
0.493545423,0.707268895,0.605429408,0.60842737,0.484319639,0.277244727,0.409944689,1
0.480677543,0.729157569,0.596965218,0.61886991,0.498949461,0.229934832,0.41448642,1
0.462109949,0.749009673,0.587827728,0.626341093,0.512221236,0.184889468,0.417579222,1
0.437598876,0.766968101,0.578635482,0.63094254,0.523614803,0.142950458,0.419263439,1
0.407224416,0.783223172,0.570032886,0.632918046,0.532644118,0.104960522,0.41966584,1
0.371413992,0.797990536,0.56264856,0.632642466,0.5388819,0.071735812,0.418990844,1
0.330945173,0.811487383,0.557051598,0.630601631,0.541982643,0.044036146,0.417507115,1
0.286927314,0.823908453,0.553709401,0.627364221,0.541702326,0.022534065,0.415530348,1
0.240762565,0.835403388,0.552950915,0.623547317,0.537913515,0.007784141,0.413403294,1
0.194087625,0.84605687,0.554938786,0.61977806,0.530614952,0.000194158,0.411474243,1
0.148698415,0.855872896,0.559653127,0.616654393,0.519935364,0,0.410075256,1
0.106460769,0.864764486,0.56688841,0.614708127,0.506131632,0.007246169,0.40950139,1
0.069211066,0.872549988,0.576263653,0.614373393,0.489581748,0.021773762,0.409992071,1
0.038651574,0.878956894,0.587244892,0.615962971,0.470772982,0.04321739,0.411715593,1
0.016246294,0.883633676,0.599177962,0.619654069,0.450285516,0.071011974,0.414757499,1
0.003124442,0.886169606,0.611328996,0.625484006,0.428771676,0.104409586,0.419113346,1
0,0.886121849,0.622929655,0.633355198,0.406930961,0.142505689,0.42468613,1
0.007116046,0.883048371,0.63322388,0.643047965,0.385481324,0.18427336,0.431288388,1
0.024220962,0.87654435,0.641512988,0.654239182,0.365127584,0.228603381,0.438648815,1
0.050580213,0.866279099,0.647196128,0.666524712,0.346528353,0.274347702,0.446423015,1
0.08502291,0.852030141,0.649803595,0.679443777,0.330263392,0.320363578,0.454207901,1
0.126018149,0.833711198,0.649021121,0.692503809,0.316803778,0.365555807,0.461559093,1
0.171772825,0.811391389,0.644704031,0.705204733,0.306487414,0.40891484,0.468010573,1
0.220340902,0.785303914,0.636880904,0.717061924,0.299502244,0.449549002,0.473095776,1
0.269734101,0.755843532,0.625747113,0.727627167,0.295878827,0.486709613,0.476369212,1
0.318025445,0.72355328,0.611649167,0.736507025,0.29549299,0.51980835,0.477427659,1
0.363439491,0.689101729,0.595061203,0.743377967,0.298078161,0.548426693,0.475929967,1
0.40442567,0.653252701,0.576555351,0.747997722,0.303246029,0.572317737,0.471614496,1
