x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.679854474,0.292367519,0.707564902,0.705722996,0.376303189,0.367449789,0.461114185,1
0.678694055,0.291481801,0.707804588,0.707921608,0.379355057,0.368433312,0.463168353,1
0.677212798,0.290169874,0.707708669,0.710200334,0.383444737,0.370170849,0.46508951,1
0.675416991,0.288352901,0.707177604,0.712424124,0.388600779,0.372811166,0.466781133,1
0.673321569,0.285949953,0.706112078,0.714423594,0.394805905,0.37649955,0.468141411,1
0.670949067,0.282880997,0.704418823,0.715996898,0.401992046,0.381372221,0.469067016,1
0.66832807,0.279070504,0.702017123,0.716913685,0.410037183,0.38755043,0.469457189,1
0.665491398,0.27445159,0.698845657,0.716921257,0.418764466,0.395134478,0.469217927,1
0.662474374,0.268970494,0.6948692,0.715752982,0.427944155,0.404197896,0.468265998,1
0.659313463,0.262591138,0.690084604,0.71313888,0.43729895,0.414782063,0.466532521,1
0.656045543,0.255299466,0.684525432,0.708818144,0.446513182,0.426891533,0.463965854,1
0.652707821,0.247107232,0.678264591,0.702553183,0.455246081,0.440490357,0.460533587,1
0.649338276,0.238054948,0.671414398,0.694144517,0.463148943,0.455499655,0.456223484,1
0.645976237,0.228213775,0.664123642,0.683445645,0.469885473,0.471796658,0.451043289,1
0.642662564,0.217686217,0.656571502,0.670376817,0.475153995,0.489215411,0.445019421,1
0.63943876,0.206605601,0.648958465,0.654936516,0.478709647,0.507549248,0.43819464,1
0.636344295,0.195134361,0.641494843,0.637209474,0.480384275,0.526555062,0.430624902,1
0.63341158,0.183461184,0.63438777,0.61737023,0.480101572,0.545959329,0.422375651,1
0.630658431,0.171797067,0.62782789,0.595681542,0.477885205,0.565465717,0.413517892,1
0.628078504,0.160370352,0.621977025,0.572487453,0.473858269,0.584763994,0.4041244,1
0.62563096,0.149420767,0.616958081,0.548201334,0.468233442,0.603539892,0.394266427,1
0.623231229,0.139192544,0.612848134,0.523289825,0.461294458,0.62148547,0.384011228,1
0.620745025,0.129926716,0.609675185,0.498254078,0.453370859,0.638309491,0.373420649,1
0.617987612,0.121852818,0.607418529,0.473610033,0.44480907,0.653747224,0.362550951,1
0.614729708,0.115180309,0.60601226,0.449869499,0.435943498,0.667569117,0.351453889,1
0.610710487,0.110090223,0.605351235,0.427523592,0.427071323,0.679587695,0.340178968,1
0.605656994,0.106727644,0.60529881,0.407029562,0.41843396,0.689662182,0.328776655,1
0.599308288,0.10519567,0.60569581,0.388801453,0.410206946,0.697700392,0.317302249,1
0.591441934,0.105551498,0.606370277,0.373204398,0.40249864,0.703657656,0.305819996,1
0.581900273,0.1078051,0.607147604,0.360551845,0.395356799,0.707532798,0.294407037,1
0.57061402,0.111920772,0.60786059,0.351104679,0.388781181,0.709361417,0.283156753,1
0.557621117,0.11782157,0.608358905,0.345071075,0.382739815,0.709207014,0.272181124,1
0.543079171,0.125396396,0.608517419,0.342605936,0.377186508,0.707150713,0.261611806,1
0.527270186,0.134509274,0.60824286,0.343809021,0.372077329,0.703280454,0.25159973,1
0.51059675,0.145010095,0.607478374,0.348721187,0.367384183,0.697680547,0.242313164,1
0.493569405,0.156745974,0.606205679,0.357318649,0.363104061,0.690422448,0.233934321,1
0.476785606,0.169572242,0.604444644,0.369505722,0.359263035,0.681557505,0.226654695,1
0.460901279,0.183362175,0.602250305,0.385107,0.355914603,0.671112245,0.220669444,1
0.446596453,0.198014751,0.599707523,0.403860415,0.353132418,0.659086627,0.216171185,1
0.434536849,0.213460028,0.596923813,0.425412829,0.350997977,0.645455393,0.213343616,1
0.425333788,0.229661998,0.594021204,0.449319905,0.349584543,0.630172453,0.212355375,1
0.419505169,0.246619039,0.591128181,0.475051724,0.348939323,0.613177989,0.213354495,1
0.417440521,0.264362217,0.588372775,0.502005144,0.349066668,0.594407855,0.216463745,1
0.419372898,0.282951798,0.585877627,0.529523101,0.349915383,0.573804742,0.221777044,1
0.425359823,0.302472336,0.583757436,0.556920153,0.351372899,0.551330569,0.229357031,1
