elapsed (s),x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
29.004,0.052,-0.938,0.327,0.732,1.402,-4.024
29.023,0.009,-0.943,0.323,0.793,-4.146,-2.5
29.083,0.053,-0.936,0.326,0.244,5.854,2.439
29.102,0.083,-0.945,0.326,-0.732,11.829,0.671
29.152,0.044,-0.959,0.306,-0.976,19.817,-4.573
29.231,0.113,-0.923,0.337,-0.976,-4.512,-16.951
29.25,0.145,-0.941,0.371,0.0,-8.171,-24.817
29.31,0.348,-0.964,0.439,11.524,-18.72,-62.683
29.379,0.554,-1.094,0.421,25.488,-103.293,-165.427
29.458,0.679,-0.986,0.464,17.927,-72.5,-201.463
29.477,0.674,-0.975,0.437,16.402,-114.39,-209.268
29.527,0.916,-0.874,0.229,3.354,-164.268,-222.866
29.606,1.064,-0.589,-0.125,-60.976,-274.451,-225.854
29.685,1.044,-0.34,-0.37,-139.024,-219.39,-212.805
29.754,0.901,-0.085,-0.584,-192.5,-252.256,-178.049
29.833,0.629,0.157,-0.66,-209.268,-167.5,-118.841
29.902,0.342,0.328,-0.503,-203.841,-39.878,-79.512
29.981,0.072,0.543,0.24,-123.232,51.829,-40.671
30.06,0.065,0.748,-0.012,1.402,6.463,-9.817
30.129,0.135,0.906,-0.366,24.634,-3.963,2.561
30.208,0.274,0.917,-0.238,15.305,-11.707,6.829
30.258,0.214,0.886,-0.247,27.927,-1.28,11.89
30.277,0.151,0.826,-0.116,39.512,-7.622,17.988
30.356,0.071,0.747,-0.414,105.366,-7.622,54.512
30.435,0.201,0.533,-0.551,160.244,97.805,82.5
30.485,0.614,0.267,-0.122,180.427,121.89,118.598
30.504,0.779,0.261,-0.378,192.134,209.756,119.695
30.583,1.304,0.011,-0.422,157.622,343.354,191.037
30.633,1.029,-0.27,-0.727,68.537,293.78,226.646
30.652,0.735,-0.408,-0.317,56.829,237.561,228.659
30.712,0.827,-0.492,-0.113,1.89,119.268,232.805
30.731,0.864,-0.749,0.031,3.11,55.61,232.988
30.81,0.669,-0.791,0.232,-33.232,258.476,233.354
30.86,0.421,-1.218,0.424,-46.585,106.768,223.354
30.879,0.769,-1.242,0.396,-35.793,113.354,209.146
30.939,0.295,-1.115,0.55,-52.5,97.012,161.707
30.958,0.362,-1.148,0.585,-50.671,58.476,138.354
31.008,0.599,-0.949,0.529,-25.915,34.512,62.988
31.027,0.439,-0.882,0.559,-21.098,36.159,43.902
31.087,0.304,-0.92,0.483,-5.671,32.317,35.427
31.106,0.381,-0.942,0.547,-5.122,44.573,31.037
31.166,0.142,-0.956,0.38,2.256,37.195,5.183
31.185,0.148,-0.917,0.363,6.463,18.354,-2.561
31.235,0.077,-0.939,0.323,14.39,-37.622,-6.707
31.254,0.107,-0.965,0.343,10.183,-32.439,-3.598
31.314,0.079,-0.929,0.332,7.378,-0.915,-17.561
31.333,0.019,-0.96,0.338,4.512,5.671,-15.915
31.383,0.055,-0.975,0.336,6.524,-4.146,-6.402
31.462,-0.062,-0.942,0.337,1.524,-0.671,-5.549
31.481,-0.026,-0.94,0.303,1.28,-5.976,0.732
31.541,0.022,-0.947,0.34,1.646,-9.268,2.744
31.56,0.099,-0.939,0.343,1.646,1.402,0.122
31.61,-0.005,-0.955,0.318,-0.122,-2.073,2.988
31.629,0.039,-0.936,0.362,-3.598,-2.073,6.585
31.689,0.1,-0.935,0.383,-4.451,5.61,7.317
31.708,0.093,-0.93,0.394,-2.683,11.28,2.195
31.758,0.008,-0.952,0.34,0.427,-19.512,1.402
31.837,0.053,-0.938,0.374,-2.195,5.488,2.012
31.856,0.046,-0.932,0.349,-2.683,7.744,1.89
31.916,0.051,-0.945,0.348,-1.28,-8.963,2.378
31.935,0.068,-0.939,0.364,-0.427,-2.195,1.037
31.985,0.023,-0.946,0.335,1.28,-3.232,-1.646
65.036,1.213,-0.892,-0.674,-203.171,-219.695,-215.854
65.086,1.025,-0.718,-0.829,-247.5,-186.768,-189.695
65.105,0.848,-0.653,-0.916,-262.439,-183.902,-174.39
65.165,0.779,-0.417,-0.81,-286.159,-86.768,-132.134
65.184,0.655,-0.351,-0.605,-280.793,-32.073,-121.402
65.253,0.196,-0.081,-0.603,-244.39,-68.293,-86.037
65.313,0.372,0.19,-0.334,-185.61,-54.817,-57.805
65.33200000000001,0.374,0.32,-0.242,-164.146,-27.073,-56.707
65.392,0.329,0.615,-0.141,-100.305,-20.732,-49.939
65.411,0.328,0.658,-0.114,-82.012,-4.451,-41.28
65.461,0.188,0.769,-0.053,-39.756,10.671,-21.159
65.48,0.188,0.814,-0.121,-26.829,13.841,-14.817
65.54,0.052,0.895,-0.19,3.354,8.293,0.976
65.559,0.122,0.896,-0.282,8.659,1.28,4.085
65.619,0.17,0.891,-0.373,12.744,-10.549,3.902
65.688,0.326,0.888,-0.41,8.415,2.439,2.805
65.70700000000001,0.304,0.87,-0.387,9.329,4.695,1.829
65.767,0.31,0.856,-0.293,14.207,8.78,3.354
65.786,0.287,0.846,-0.324,20.183,18.902,6.524
65.836,0.243,0.844,-0.29,27.988,1.524,14.878
65.855,0.294,0.787,-0.174,38.902,20.122,17.195
65.915,0.135,0.815,-0.309,56.646,9.329,26.89
