epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1718717748787,2024-06-18T16.35.48.787,0.000,-0.556,-0.829,0.121
1718717748796,2024-06-18T16.35.48.796,0.009,-0.566,-0.832,0.119
1718717748806,2024-06-18T16.35.48.806,0.019,-0.570,-0.833,0.114
1718717748816,2024-06-18T16.35.48.816,0.029,-0.570,-0.840,0.109
1718717748827,2024-06-18T16.35.48.827,0.040,-0.560,-0.839,0.111
1718717748835,2024-06-18T16.35.48.835,0.048,-0.550,-0.836,0.114
1718717748846,2024-06-18T16.35.48.846,0.059,-0.542,-0.833,0.113
1718717748856,2024-06-18T16.35.48.856,0.069,-0.541,-0.833,0.109
1718717748866,2024-06-18T16.35.48.866,0.079,-0.536,-0.835,0.110
1718717748875,2024-06-18T16.35.48.875,0.088,-0.530,-0.837,0.114
1718717748885,2024-06-18T16.35.48.885,0.098,-0.522,-0.840,0.111
1718717748895,2024-06-18T16.35.48.895,0.108,-0.518,-0.841,0.113
1718717748906,2024-06-18T16.35.48.906,0.119,-0.519,-0.840,0.109
1718717748914,2024-06-18T16.35.48.914,0.127,-0.516,-0.840,0.104
1718717748925,2024-06-18T16.35.48.925,0.138,-0.516,-0.837,0.106
1718717748935,2024-06-18T16.35.48.935,0.148,-0.516,-0.833,0.107
1718717748944,2024-06-18T16.35.48.944,0.157,-0.515,-0.833,0.109
1718717748954,2024-06-18T16.35.48.954,0.167,-0.511,-0.836,0.106
1718717748964,2024-06-18T16.35.48.964,0.177,-0.512,-0.837,0.108
1718717748975,2024-06-18T16.35.48.975,0.188,-0.518,-0.835,0.109
1718717748983,2024-06-18T16.35.48.983,0.196,-0.516,-0.840,0.104
1718717748994,2024-06-18T16.35.48.994,0.207,-0.514,-0.839,0.103
1718717749004,2024-06-18T16.35.49.004,0.217,-0.515,-0.837,0.104
1718717749014,2024-06-18T16.35.49.014,0.227,-0.518,-0.837,0.100
1718717749023,2024-06-18T16.35.49.023,0.236,-0.526,-0.840,0.100
1718717749033,2024-06-18T16.35.49.033,0.246,-0.528,-0.838,0.101
1718717749043,2024-06-18T16.35.49.043,0.256,-0.526,-0.836,0.104
1718717749054,2024-06-18T16.35.49.054,0.267,-0.521,-0.833,0.109
1718717749062,2024-06-18T16.35.49.062,0.275,-0.516,-0.830,0.114
1718717749073,2024-06-18T16.35.49.073,0.286,-0.511,-0.831,0.119
1718717749083,2024-06-18T16.35.49.083,0.296,-0.507,-0.829,0.123
1718717749093,2024-06-18T16.35.49.093,0.306,-0.507,-0.826,0.129
1718717749102,2024-06-18T16.35.49.102,0.315,-0.508,-0.826,0.130
1718717749112,2024-06-18T16.35.49.112,0.325,-0.514,-0.830,0.131
1718717749123,2024-06-18T16.35.49.123,0.336,-0.520,-0.838,0.132
1718717749133,2024-06-18T16.35.49.133,0.346,-0.522,-0.841,0.141
1718717749142,2024-06-18T16.35.49.142,0.355,-0.521,-0.845,0.147
1718717749152,2024-06-18T16.35.49.152,0.365,-0.518,-0.846,0.148
1718717749162,2024-06-18T16.35.49.162,0.375,-0.513,-0.846,0.155
1718717749171,2024-06-18T16.35.49.171,0.384,-0.506,-0.842,0.156
1718717749181,2024-06-18T16.35.49.181,0.394,-0.502,-0.840,0.152
1718717749191,2024-06-18T16.35.49.191,0.404,-0.508,-0.846,0.146
1718717749202,2024-06-18T16.35.49.202,0.415,-0.518,-0.849,0.140
1718717749210,2024-06-18T16.35.49.210,0.423,-0.520,-0.846,0.128
1718717749221,2024-06-18T16.35.49.221,0.434,-0.521,-0.843,0.121
1718717749231,2024-06-18T16.35.49.231,0.444,-0.521,-0.843,0.120
1718717749241,2024-06-18T16.35.49.241,0.454,-0.528,-0.843,0.113
1718717749250,2024-06-18T16.35.49.250,0.463,-0.538,-0.833,0.109
1718717749260,2024-06-18T16.35.49.260,0.473,-0.540,-0.831,0.107
1718717749270,2024-06-18T16.35.49.270,0.483,-0.544,-0.826,0.103
1718717749281,2024-06-18T16.35.49.281,0.494,-0.542,-0.824,0.101
1718717749289,2024-06-18T16.35.49.289,0.502,-0.536,-0.818,0.103
1718717749300,2024-06-18T16.35.49.300,0.513,-0.533,-0.816,0.100
1718717749310,2024-06-18T16.35.49.310,0.523,-0.539,-0.814,0.099
1718717749320,2024-06-18T16.35.49.320,0.533,-0.542,-0.808,0.095
1718717749329,2024-06-18T16.35.49.329,0.542,-0.543,-0.804,0.097
