epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1718901487399,2024-06-20T19.38.07.399,0.000,38.415,-39.085,-30.610
1718901487410,2024-06-20T19.38.07.410,0.011,39.634,-40.427,-31.037
1718901487418,2024-06-20T19.38.07.418,0.019,42.500,-41.037,-33.232
1718901487429,2024-06-20T19.38.07.429,0.030,42.744,-27.500,-35.427
1718901487439,2024-06-20T19.38.07.439,0.040,40.549,-1.646,-35.732
1718901487449,2024-06-20T19.38.07.449,0.050,37.683,26.037,-37.134
1718901487458,2024-06-20T19.38.07.458,0.059,37.561,50.793,-39.634
1718901487468,2024-06-20T19.38.07.468,0.069,39.268,64.573,-40.793
1718901487478,2024-06-20T19.38.07.478,0.079,41.402,63.780,-40.549
1718901487489,2024-06-20T19.38.07.489,0.090,45.305,52.073,-39.024
1718901487498,2024-06-20T19.38.07.498,0.099,47.988,34.207,-37.256
1718901487508,2024-06-20T19.38.07.508,0.109,48.780,17.927,-36.524
1718901487518,2024-06-20T19.38.07.518,0.119,47.683,9.085,-35.183
1718901487528,2024-06-20T19.38.07.528,0.129,43.598,7.744,-33.841
1718901487537,2024-06-20T19.38.07.537,0.138,40.000,9.512,-33.232
1718901487547,2024-06-20T19.38.07.547,0.148,38.720,11.463,-32.866
1718901487558,2024-06-20T19.38.07.558,0.159,35.915,10.122,-32.622
1718901487568,2024-06-20T19.38.07.568,0.169,31.220,2.744,-32.927
1718901487577,2024-06-20T19.38.07.577,0.178,27.988,-9.085,-33.293
1718901487587,2024-06-20T19.38.07.587,0.188,26.037,-22.012,-33.537
1718901487597,2024-06-20T19.38.07.597,0.198,25.366,-31.341,-34.695
1718901487607,2024-06-20T19.38.07.607,0.208,25.366,-37.927,-35.549
1718901487616,2024-06-20T19.38.07.616,0.217,22.195,-43.110,-37.622
1718901487626,2024-06-20T19.38.07.626,0.227,19.878,-45.488,-39.207
1718901487637,2024-06-20T19.38.07.637,0.238,18.415,-45.610,-38.902
1718901487647,2024-06-20T19.38.07.647,0.248,17.195,-44.329,-36.768
1718901487656,2024-06-20T19.38.07.656,0.257,16.280,-43.476,-33.232
1718901487666,2024-06-20T19.38.07.666,0.267,14.146,-43.110,-30.122
1718901487676,2024-06-20T19.38.07.676,0.277,13.293,-42.500,-26.768
1718901487685,2024-06-20T19.38.07.685,0.286,12.439,-40.366,-23.110
1718901487695,2024-06-20T19.38.07.695,0.296,12.256,-35.244,-20.000
1718901487706,2024-06-20T19.38.07.706,0.307,12.195,-27.927,-18.171
1718901487716,2024-06-20T19.38.07.716,0.317,12.256,-19.512,-16.890
1718901487725,2024-06-20T19.38.07.725,0.326,12.378,-11.829,-15.671
1718901487735,2024-06-20T19.38.07.735,0.336,13.293,-5.305,-14.207
1718901487745,2024-06-20T19.38.07.745,0.346,13.841,-0.854,-12.439
1718901487755,2024-06-20T19.38.07.755,0.356,12.927,-0.183,-11.341
1718901487764,2024-06-20T19.38.07.764,0.365,12.195,-2.195,-10.732
1718901487774,2024-06-20T19.38.07.774,0.375,11.402,-5.671,-10.183
1718901487785,2024-06-20T19.38.07.785,0.386,10.610,-8.659,-9.085
1718901487795,2024-06-20T19.38.07.795,0.396,9.329,-8.902,-8.110
1718901487804,2024-06-20T19.38.07.804,0.405,6.890,-8.780,-7.439
1718901487814,2024-06-20T19.38.07.814,0.415,5.488,-9.268,-6.220
1718901487824,2024-06-20T19.38.07.824,0.425,3.841,-8.902,-5.061
1718901487834,2024-06-20T19.38.07.834,0.435,2.256,-7.744,-3.963
1718901487843,2024-06-20T19.38.07.843,0.444,1.220,-7.622,-2.805
1718901487853,2024-06-20T19.38.07.853,0.454,-1.280,-8.841,-2.073
1718901487864,2024-06-20T19.38.07.864,0.465,-3.476,-10.061,-0.610
1718901487874,2024-06-20T19.38.07.874,0.475,-4.451,-9.756,1.707
1718901487883,2024-06-20T19.38.07.883,0.484,-5.061,-7.744,4.390
1718901487893,2024-06-20T19.38.07.893,0.494,-6.585,-5.976,5.915
1718901487903,2024-06-20T19.38.07.903,0.504,-8.720,-5.854,5.183
1718901487914,2024-06-20T19.38.07.914,0.515,-9.085,-7.683,4.329
1718901487922,2024-06-20T19.38.07.922,0.523,-7.988,-8.537,4.573
1718901487933,2024-06-20T19.38.07.933,0.534,-7.439,-8.110,4.573
1718901487943,2024-06-20T19.38.07.943,0.544,-6.829,-6.463,4.024
1718901487953,2024-06-20T19.38.07.953,0.554,-5.427,-4.268,3.537
1718901487962,2024-06-20T19.38.07.962,0.563,-4.146,-2.439,2.439
1718901487972,2024-06-20T19.38.07.972,0.573,-2.561,-0.976,0.793
1718901487982,2024-06-20T19.38.07.982,0.583,-0.671,1.159,0.061
1718901487991,2024-06-20T19.38.07.991,0.592,0.793,4.634,0.610
1718901488001,2024-06-20T19.38.08.001,0.602,0.854,7.378,1.220
1718901488012,2024-06-20T19.38.08.012,0.613,0.305,8.415,1.951
1718901488022,2024-06-20T19.38.08.022,0.623,0.000,7.378,2.500
1718901488031,2024-06-20T19.38.08.031,0.632,-0.305,4.512,2.317
1718901488041,2024-06-20T19.38.08.041,0.642,-0.732,0.915,1.585
1718901488051,2024-06-20T19.38.08.051,0.652,-1.829,-1.951,0.610
1718901488062,2024-06-20T19.38.08.062,0.663,-3.171,-3.415,0.488
1718901488070,2024-06-20T19.38.08.070,0.671,-3.537,-2.378,1.585
1718901488081,2024-06-20T19.38.08.081,0.682,-2.378,-0.549,3.598
1718901488091,2024-06-20T19.38.08.091,0.692,-0.793,1.341,4.756
1718901488101,2024-06-20T19.38.08.101,0.702,0.549,3.841,4.573
1718901488110,2024-06-20T19.38.08.110,0.711,1.280,6.707,3.780
1718901488120,2024-06-20T19.38.08.120,0.721,2.012,8.841,3.354
1718901488130,2024-06-20T19.38.08.130,0.731,2.317,9.512,3.476
1718901488141,2024-06-20T19.38.08.141,0.742,2.134,8.841,3.354
1718901488149,2024-06-20T19.38.08.149,0.750,0.671,6.220,2.866
1718901488160,2024-06-20T19.38.08.160,0.761,-0.915,3.171,2.317
1718901488170,2024-06-20T19.38.08.170,0.771,-1.890,0.244,2.012
1718901488179,2024-06-20T19.38.08.179,0.780,-3.232,-2.134,1.646
1718901488189,2024-06-20T19.38.08.189,0.790,-3.841,-4.146,1.768
1718901488199,2024-06-20T19.38.08.199,0.800,-4.390,-5.061,2.317
1718901488209,2024-06-20T19.38.08.209,0.810,-4.634,-5.427,2.866
1718901488218,2024-06-20T19.38.08.218,0.819,-4.573,-6.159,2.988
1718901488228,2024-06-20T19.38.08.228,0.829,-3.659,-5.854,2.744
1718901488239,2024-06-20T19.38.08.239,0.840,-2.805,-4.146,2.012
1718901488249,2024-06-20T19.38.08.249,0.850,-1.707,-1.280,1.402
1718901488258,2024-06-20T19.38.08.258,0.859,-0.671,1.829,1.280
1718901488268,2024-06-20T19.38.08.268,0.869,0.061,4.207,0.671
1718901488278,2024-06-20T19.38.08.278,0.879,0.671,5.000,-0.244
1718901488289,2024-06-20T19.38.08.289,0.890,1.098,4.085,-1.220
1718901488297,2024-06-20T19.38.08.297,0.898,1.280,2.195,-1.768
1718901488308,2024-06-20T19.38.08.308,0.909,1.280,1.037,-1.524
1718901488318,2024-06-20T19.38.08.318,0.919,0.549,0.915,-0.793
1718901488328,2024-06-20T19.38.08.328,0.929,-0.732,0.549,-0.061
1718901488337,2024-06-20T19.38.08.337,0.938,-2.378,-0.244,0.427
1718901488347,2024-06-20T19.38.08.347,0.948,-3.659,-0.915,0.671
1718901488357,2024-06-20T19.38.08.357,0.958,-4.146,-1.829,0.915
1718901488368,2024-06-20T19.38.08.368,0.969,-4.329,-2.256,0.610
1718901488376,2024-06-20T19.38.08.376,0.977,-4.207,-2.561,-0.366
1718901488387,2024-06-20T19.38.08.387,0.988,-3.598,-3.476,-1.402
1718901488397,2024-06-20T19.38.08.397,0.998,-2.988,-3.780,-2.195
1718901488407,2024-06-20T19.38.08.407,1.008,-2.561,-3.476,-2.561
1718901488416,2024-06-20T19.38.08.416,1.017,-1.890,-2.866,-2.500
1718901488426,2024-06-20T19.38.08.426,1.027,-2.134,-2.317,-3.171
1718901488437,2024-06-20T19.38.08.437,1.038,-2.378,-2.195,-4.451
1718901488445,2024-06-20T19.38.08.445,1.046,-1.524,-1.890,-5.427
1718901488456,2024-06-20T19.38.08.456,1.057,-1.037,-1.159,-6.280
1718901488466,2024-06-20T19.38.08.466,1.067,-0.610,-1.098,-6.829
1718901488476,2024-06-20T19.38.08.476,1.077,-0.244,-1.524,-7.195
1718901488485,2024-06-20T19.38.08.485,1.086,0.366,-2.439,-7.561
1718901488495,2024-06-20T19.38.08.495,1.096,0.793,-3.293,-7.683
1718901488505,2024-06-20T19.38.08.505,1.106,1.037,-3.232,-7.134
1718901488516,2024-06-20T19.38.08.516,1.117,1.524,-2.073,-6.037
1718901488524,2024-06-20T19.38.08.524,1.125,1.098,0.305,-4.329
1718901488535,2024-06-20T19.38.08.535,1.136,0.427,2.378,-2.988
1718901488545,2024-06-20T19.38.08.545,1.146,0.244,3.232,-2.256
1718901488555,2024-06-20T19.38.08.555,1.156,1.098,3.110,-1.890
1718901488564,2024-06-20T19.38.08.564,1.165,1.768,2.561,-1.524
1718901488574,2024-06-20T19.38.08.574,1.175,1.707,2.012,-1.037
