x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
-0.029,0.416,-0.207,68.415,-24.634,8.049
-0.002,0.478,-0.188,66.28,-24.085,8.049
0.026,0.506,-0.178,54.573,-20.732,8.659
0.024,0.519,-0.181,40.427,-18.415,9.329
0.021,0.531,-0.152,28.963,-18.232,9.817
0.038,0.567,-0.114,18.049,-17.805,9.268
0.053,0.603,-0.091,6.28,-17.988,7.134
0.076,0.613,-0.086,-4.939,-18.902,5.793
0.093,0.609,-0.073,-14.939,-19.329,5.244
0.099,0.596,-0.042,-24.695,-18.902,4.512
0.102,0.579,0.017,-33.902,-17.195,3.72
0.096,0.556,0.1,-41.829,-16.159,2.988
0.072,0.543,0.162,-49.939,-16.89,1.585
0.067,0.524,0.213,-56.22,-16.768,1.037
0.079,0.513,0.265,-61.463,-15.915,1.768
0.065,0.524,0.315,-67.805,-16.22,1.646
0.049,0.517,0.345,-73.78,-16.951,0.366
0.056,0.481,0.369,-78.72,-15.732,0.732
0.069,0.428,0.406,-81.829,-11.341,2.744
0.064,0.375,0.438,-84.085,-5.732,4.451
0.036,0.334,0.47,-85.61,-1.829,5.427
0.011,0.301,0.493,-85.61,0.793,6.341
0.011,0.291,0.509,-85.915,3.659,7.744
0.019,0.288,0.515,-87.683,7.622,9.451
0.023,0.283,0.525,-90.671,13.049,11.037
0.033,0.279,0.556,-94.085,19.451,12.256
0.017,0.247,0.562,-96.463,26.463,13.171
0.014,0.196,0.539,-99.085,33.293,14.39
0.012,0.136,0.529,-101.646,40.244,17.683
-0.023,0.095,0.576,-101.768,46.829,21.463
-0.08,0.087,0.564,-105.061,50.854,21.951
-0.093,0.074,0.565,-109.695,52.134,22.622
-0.112,0.05,0.634,-111.768,52.317,25.244
-0.154,0.063,0.663,-116.707,49.024,24.512
-0.185,0.055,0.67,-122.073,42.866,22.012
-0.211,0.002,0.676,-124.39,36.89,21.098
-0.196,-0.062,0.652,-125.732,34.756,21.28
-0.125,-0.113,0.649,-130.61,35.549,23.963
-0.1,-0.155,0.766,-133.293,38.476,30.061
-0.128,-0.161,0.847,-134.329,41.524,33.598
-0.146,-0.157,0.84,-135.488,43.537,32.744
-0.15,-0.19,0.815,-134.329,46.463,31.402
-0.14,-0.222,0.779,-132.012,52.073,29.329
-0.105,-0.239,0.774,-132.073,60.122,27.073
-0.118,-0.253,0.785,-136.402,65.671,25.671
-0.162,-0.29,0.847,-140.061,63.72,24.878
-0.232,-0.328,0.927,-139.695,54.939,23.841
-0.286,-0.34,0.92,-138.72,43.78,21.829
-0.28,-0.369,0.908,-136.341,40.183,20.732
-0.227,-0.426,0.895,-135.061,46.585,21.341
-0.188,-0.45,0.875,-141.037,57.317,22.378
-0.18,-0.5,0.961,-145.793,66.585,25.488
-0.231,-0.546,1.024,-145.671,69.451,27.683
-0.306,-0.557,1.012,-144.817,64.268,26.463
-0.357,-0.557,0.966,-143.659,56.28,23.476
-0.362,-0.57,0.91,-139.39,53.537,20.732
-0.315,-0.581,0.854,-134.573,59.756,18.11
-0.265,-0.585,0.787,-135.0,72.256,17.683
-0.259,-0.594,0.77,-143.049,83.598,19.329
-0.291,-0.647,0.854,-152.5,84.695,19.268
-0.367,-0.697,0.965,-156.402,73.476,16.524
-0.457,-0.708,1.015,-155.488,54.512,13.354
-0.494,-0.679,0.981,-154.817,36.037,9.329
-0.479,-0.671,0.916,-153.598,26.768,6.037
-0.411,-0.691,0.87,-150.61,30.549,4.817
-0.327,-0.689,0.838,-151.829,44.207,6.829
-0.295,-0.696,0.843,-158.354,59.634,10.244
-0.325,-0.775,0.905,-163.171,68.293,11.89
-0.378,-0.885,0.951,-162.988,65.0,10.244
-0.457,-0.926,0.948,-161.402,51.098,5.915
-0.494,-0.929,0.928,-159.085,33.659,0.976
-0.475,-0.936,0.921,-155.854,20.122,-1.098
-0.43,-0.936,0.955,-151.098,14.878,-0.366
-0.368,-0.926,0.968,-145.793,19.268,2.012
-0.327,-0.902,0.935,-143.78,30.427,5.122
-0.311,-0.913,0.917,-144.39,43.537,6.22
-0.299,-0.987,0.918,-142.5,54.268,5.427
-0.323,-1.06,0.917,-138.415,59.207,4.329
-0.387,-1.075,0.915,-134.146,57.622,2.378
-0.43,-1.066,0.922,-130.305,51.402,1.159
-0.449,-1.053,0.942,-127.744,43.293,1.951
-0.439,-1.061,0.993,-124.024,34.634,4.146
-0.438,-1.075,0.997,-119.756,25.305,7.073
-0.447,-1.065,0.981,-115.122,16.951,9.451
-0.406,-1.063,0.977,-108.841,13.232,11.159
-0.343,-1.052,0.955,-103.841,14.024,12.744
-0.322,-1.037,0.933,-100.61,17.683,13.902
-0.325,-1.042,0.912,-97.378,20.671,14.085
-0.36,-1.071,0.899,-91.402,20.061,13.537
-0.389,-1.088,0.89,-84.146,15.854,12.5
-0.392,-1.074,0.874,-77.622,10.305,11.585
-0.375,-1.044,0.85,-72.439,5.427,11.646
-0.362,-1.017,0.833,-68.415,2.195,11.89
-0.349,-1.005,0.835,-65.61,0.0,11.524
-0.346,-1.014,0.829,-61.28,-1.037,10.488
-0.341,-1.009,0.797,-56.037,-0.488,9.573
-0.322,-0.982,0.773,-51.524,2.012,9.512
-0.313,-0.962,0.755,-47.134,5.427,9.451
-0.325,-0.956,0.733,-42.317,6.951,8.963
-0.333,-0.945,0.713,-37.012,6.829,8.354
-0.328,-0.934,0.696,-31.768,6.159,7.134
-0.318,-0.91,0.675,-27.5,5.854,5.488
-0.318,-0.887,0.647,-24.085,6.037,3.902
-0.325,-0.871,0.613,-21.402,6.037,2.317
-0.332,-0.864,0.587,-19.268,5.488,0.427
-0.355,-0.881,0.573,-15.976,4.39,-1.646
-0.375,-0.896,0.556,-12.012,2.073,-3.963
-0.378,-0.895,0.536,-7.561,0.793,-5.854
-0.357,-0.876,0.521,-4.39,2.317,-6.402
-0.345,-0.861,0.507,-2.927,6.159,-6.646
-0.356,-0.873,0.502,-1.341,9.939,-7.744
-0.37,-0.902,0.482,1.463,11.951,-9.451
-0.377,-0.916,0.45,4.695,12.927,-10.793
-0.374,-0.909,0.422,7.866,14.329,-10.854
-0.383,-0.893,0.401,9.878,15.732,-10.305
-0.396,-0.89,0.383,11.768,15.549,-10.0
-0.406,-0.897,0.361,14.146,14.39,-8.841
-0.417,-0.895,0.359,15.61,12.866,-7.256
-0.419,-0.886,0.362,15.793,11.402,-6.524
-0.423,-0.887,0.352,16.037,10.427,-5.976
-0.417,-0.886,0.338,16.402,10.183,-5.061
-0.406,-0.884,0.31,16.341,10.488,-3.72
-0.402,-0.872,0.284,15.671,11.037,-3.049
-0.407,-0.854,0.27,14.451,11.098,-2.866
-0.412,-0.844,0.27,12.439,10.0,-3.11
-0.426,-0.843,0.272,10.183,6.159,-3.902
-0.444,-0.848,0.276,8.659,0.183,-4.817
-0.44,-0.841,0.274,7.5,-5.976,-5.61
-0.424,-0.828,0.275,5.732,-9.939,-6.402
-0.415,-0.826,0.273,4.085,-11.829,-6.646
-0.393,-0.831,0.27,2.683,-10.488,-5.549
-0.374,-0.826,0.269,0.976,-6.524,-4.695
-0.378,-0.82,0.264,-0.793,-2.866,-4.451
-0.387,-0.821,0.249,-1.951,-0.549,-4.024
-0.386,-0.825,0.246,-2.195,0.915,-3.171
-0.393,-0.827,0.255,-2.439,1.524,-1.829
-0.41,-0.824,0.266,-3.354,1.22,-1.037
-0.417,-0.822,0.273,-4.512,0.183,-0.793
-0.422,-0.829,0.277,-5.122,-1.768,-0.427
-0.438,-0.829,0.281,-6.098,-4.451,-0.366
-0.448,-0.827,0.283,-7.012,-6.341,-0.366
-0.439,-0.844,0.294,-7.439,-7.195,-0.671
-0.436,-0.869,0.296,-7.378,-8.049,-1.341
-0.437,-0.875,0.291,-6.646,-8.841,-1.524
-0.418,-0.869,0.286,-6.159,-8.354,-0.854
-0.402,-0.857,0.284,-5.732,-6.585,-0.305
-0.401,-0.856,0.285,-5.122,-4.573,0.061
-0.393,-0.852,0.291,-4.939,-2.683,0.427
-0.387,-0.849,0.294,-4.878,-0.671,1.646
-0.394,-0.845,0.295,-5.183,1.524,3.049
-0.39,-0.845,0.3,-6.159,3.293,3.598
-0.394,-0.853,0.304,-7.012,3.415,3.902
-0.412,-0.855,0.298,-7.988,0.61,3.354
-0.424,-0.851,0.292,-8.537,-4.024,2.256
-0.417,-0.854,0.292,-8.902,-8.902,1.098
-0.405,-0.854,0.293,-9.329,-13.049,0.305
-0.387,-0.852,0.296,-9.878,-15.488,0.061
-0.369,-0.851,0.302,-10.488,-15.793,0.305
-0.355,-0.854,0.311,-10.671,-14.512,0.61
-0.354,-0.854,0.315,-11.341,-12.561,0.671
-0.359,-0.85,0.316,-12.744,-12.012,0.427
-0.382,-0.857,0.316,-12.988,-13.598,0.122
-0.409,-0.871,0.319,-12.195,-17.073,-0.671
-0.41,-0.875,0.333,-11.89,-20.305,-1.098
-0.395,-0.875,0.349,-13.049,-22.866,-1.22
-0.389,-0.886,0.375,-14.024,-25.305,-0.732
-0.39,-0.908,0.41,-15.0,-29.085,0.488
-0.373,-0.914,0.447,-17.5,-35.671,2.744
-0.403,-0.944,0.525,-17.866,-45.854,6.22
-0.459,-1.0,0.634,-17.073,-61.585,6.768
-0.436,-1.018,0.757,-15.671,-79.146,6.098
-0.406,-1.044,0.908,-10.793,-96.402,8.232
-0.403,-1.079,1.055,-5.061,-113.902,8.598
-0.352,-1.12,1.178,2.927,-127.561,7.012
-0.278,-1.166,1.287,14.451,-134.329,8.537
-0.23,-1.208,1.414,26.951,-134.878,12.256
-0.216,-1.278,1.574,40.061,-130.732,13.902
-0.216,-1.39,1.713,54.39,-127.317,14.146
-0.25,-1.478,1.834,68.293,-131.768,13.171
-0.273,-1.547,1.907,86.768,-142.683,9.573
-0.229,-1.622,1.889,108.049,-155.915,5.732
-0.141,-1.636,1.908,127.5,-163.902,1.585
-0.025,-1.666,1.929,149.329,-159.756,-4.939
0.089,-1.706,1.887,169.634,-145.122,-12.805
0.172,-1.727,1.827,185.976,-125.793,-22.805
0.176,-1.755,1.722,203.293,-107.012,-33.537
0.146,-1.771,1.583,222.622,-90.427,-42.5
0.129,-1.751,1.462,238.537,-76.159,-50.0
0.089,-1.705,1.378,249.695,-63.11,-56.707
0.006,-1.658,1.299,255.427,-54.512,-64.39
-0.103,-1.621,1.202,259.756,-51.585,-72.744
-0.224,-1.592,1.067,267.073,-51.951,-78.963
-0.322,-1.535,0.938,272.378,-50.549,-82.805
-0.337,-1.47,0.856,272.256,-42.256,-84.878
-0.343,-1.42,0.817,267.439,-29.329,-84.39
-0.396,-1.374,0.781,260.183,-20.305,-81.768
-0.495,-1.319,0.731,253.659,-20.366,-78.476
-0.59,-1.271,0.677,247.927,-30.488,-75.549
-0.638,-1.208,0.639,242.5,-47.134,-73.476
-0.655,-1.132,0.6,236.585,-66.28,-72.744
-0.689,-1.036,0.555,230.793,-83.354,-74.573
-0.667,-0.963,0.51,225.671,-94.451,-78.841
-0.596,-0.897,0.452,217.805,-99.695,-83.415
-0.521,-0.81,0.407,208.415,-100.854,-86.159
-0.484,-0.749,0.389,199.451,-98.049,-85.183
-0.459,-0.706,0.403,189.817,-95.854,-82.805
-0.493,-0.685,0.416,183.598,-96.707,-80.122
-0.571,-0.672,0.421,180.305,-100.61,-77.195
-0.564,-0.637,0.405,175.976,-102.561,-74.634
-0.505,-0.57,0.435,170.427,-98.78,-69.939
-0.476,-0.507,0.452,164.39,-92.439,-65.305
-0.471,-0.467,0.407,158.78,-89.207,-60.976
-0.444,-0.413,0.391,156.951,-88.902,-57.988
-0.401,-0.347,0.356,156.951,-88.537,-55.427
