x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
-0.34,-0.884,0.259,-15.915,1.829,14.817
-0.359,-0.889,0.299,-15.915,1.22,14.573
-0.391,-0.882,0.315,-16.89,0.061,15.0
-0.404,-0.885,0.302,-18.11,1.037,14.512
-0.429,-0.898,0.265,-18.902,4.39,14.817
-0.473,-0.915,0.211,-19.512,9.329,15.915
-0.499,-0.924,0.158,-20.915,17.866,19.268
-0.519,-0.925,0.109,-23.415,32.195,25.732
-0.566,-0.921,0.088,-26.463,49.756,34.634
-0.624,-0.911,0.075,-31.341,67.683,46.159
-0.671,-0.902,0.063,-37.927,88.293,59.634
-0.698,-0.901,0.029,-44.939,111.585,74.39
-0.742,-0.887,-0.018,-53.476,134.146,88.293
-0.82,-0.87,-0.059,-65.0,154.695,100.427
-0.894,-0.87,-0.093,-78.232,175.793,112.927
-0.9,-0.913,-0.133,-91.89,195.854,125.244
-0.898,-0.96,-0.167,-105.976,218.841,136.341
-0.903,-1.002,-0.202,-118.963,245.976,148.049
-0.905,-1.035,-0.247,-131.707,276.707,157.988
-0.972,-1.063,-0.363,-144.939,307.561,167.988
-1.092,-1.079,-0.503,-159.878,332.561,176.524
-1.188,-1.097,-0.611,-176.098,350.305,178.232
-1.228,-1.123,-0.701,-193.598,359.207,175.732
-1.279,-1.167,-0.771,-209.756,358.171,173.415
-1.352,-1.191,-0.809,-225.244,347.805,169.634
-1.421,-1.186,-0.857,-239.695,326.707,166.707
-1.458,-1.136,-0.896,-253.78,296.707,162.073
-1.431,-1.1,-0.902,-265.305,267.317,156.951
-1.318,-1.095,-0.94,-275.0,242.317,154.512
-1.249,-1.075,-1.021,-285.244,215.366,153.171
-1.215,-1.039,-1.063,-296.829,186.707,149.878
-1.159,-1.033,-1.088,-305.183,161.098,147.195
-1.104,-1.012,-1.108,-312.073,141.22,144.573
-1.044,-0.978,-1.074,-317.317,127.5,141.585
-0.978,-0.94,-1.066,-320.793,115.732,139.329
-0.938,-0.875,-1.033,-324.817,105.0,134.939
-0.867,-0.833,-0.976,-326.646,95.854,130.122
-0.769,-0.784,-0.937,-326.768,88.841,126.768
-0.712,-0.722,-0.91,-326.463,79.817,122.866
-0.707,-0.668,-0.842,-325.915,68.415,119.024
-0.682,-0.615,-0.753,-323.537,57.5,115.671
-0.626,-0.552,-0.716,-320.061,48.354,112.622
-0.569,-0.502,-0.673,-315.671,38.537,108.049
-0.521,-0.456,-0.646,-309.329,27.988,105.122
-0.484,-0.378,-0.687,-303.659,15.061,104.39
-0.491,-0.309,-0.694,-297.866,5.122,102.561
-0.471,-0.278,-0.629,-290.732,6.89,100.305
-0.361,-0.265,-0.561,-280.61,17.866,94.939
-0.296,-0.221,-0.5,-270.366,29.39,87.866
-0.283,-0.14,-0.47,-260.915,37.744,81.707
-0.316,-0.061,-0.541,-253.963,38.841,78.11
-0.356,-0.004,-0.566,-249.634,34.146,73.354
-0.339,0.016,-0.45,-243.354,33.171,67.317
-0.245,0.025,-0.39,-234.207,37.683,64.024
-0.223,0.087,-0.432,-228.232,40.183,62.073
-0.288,0.148,-0.519,-225.122,37.988,60.549
-0.292,0.183,-0.555,-222.683,33.963,57.927
-0.249,0.206,-0.496,-216.951,33.72,54.451
-0.264,0.239,-0.439,-210.0,34.207,51.463
-0.298,0.293,-0.382,-205.244,32.622,48.049
-0.282,0.323,-0.292,-199.878,31.037,45.427
-0.217,0.342,-0.173,-192.805,29.939,43.171
-0.169,0.382,-0.059,-183.11,26.22,40.732
-0.177,0.441,0.044,-172.683,14.939,38.11
-0.189,0.5,0.154,-160.305,-1.768,35.732
-0.155,0.546,0.291,-144.939,-17.439,32.195
-0.131,0.568,0.354,-126.646,-30.854,29.268
-0.129,0.596,0.418,-106.28,-39.329,26.037
-0.105,0.598,0.465,-80.427,-39.268,22.988
-0.089,0.608,0.456,-56.098,-31.22,19.817
-0.055,0.65,0.389,-33.415,-20.244,13.659
-0.048,0.678,0.351,-11.585,-12.073,7.256
-0.032,0.683,0.357,9.207,-6.341,2.866
-0.034,0.683,0.286,28.78,-5.305,-0.366
-0.104,0.699,0.2,45.183,-9.268,-3.78
-0.146,0.708,0.14,58.598,-12.439,-8.049
-0.144,0.688,0.016,70.061,-10.244,-11.646
-0.156,0.681,-0.146,77.988,-5.122,-15.0
-0.145,0.707,-0.189,82.195,1.341,-19.329
-0.107,0.703,-0.15,87.073,8.841,-23.537
-0.124,0.68,-0.146,92.805,11.28,-26.402
-0.186,0.688,-0.147,97.134,5.122,-29.39
-0.23,0.698,-0.157,101.341,-6.22,-32.317
-0.245,0.712,-0.16,105.183,-18.537,-35.427
-0.219,0.708,-0.114,110.061,-26.22,-40.427
-0.183,0.674,-0.054,117.683,-27.378,-45.183
-0.162,0.639,-0.059,126.951,-24.939,-49.207
-0.176,0.62,-0.146,136.707,-21.159,-52.256
-0.211,0.61,-0.274,145.305,-16.463,-54.268
-0.242,0.597,-0.421,152.195,-11.768,-55.732
-0.268,0.591,-0.44,155.915,-8.902,-59.268
-0.259,0.552,-0.338,160.549,-7.622,-63.841
-0.29,0.499,-0.268,165.488,-11.646,-66.829
-0.367,0.464,-0.211,169.695,-26.463,-70.122
-0.424,0.431,-0.174,174.939,-47.317,-72.622
-0.45,0.411,-0.208,180.488,-67.988,-72.988
-0.45,0.4,-0.232,185.061,-83.963,-76.037
-0.414,0.367,-0.203,190.976,-88.171,-82.195
-0.354,0.312,-0.23,198.841,-81.89,-88.902
-0.333,0.261,-0.331,207.073,-71.402,-95.183
-0.354,0.21,-0.402,214.39,-64.024,-101.098
-0.379,0.164,-0.413,222.5,-61.585,-107.805
-0.439,0.114,-0.463,230.671,-62.134,-112.134
-0.524,0.062,-0.539,235.854,-62.988,-115.549
-0.519,0.001,-0.527,240.366,-60.854,-121.402
-0.471,-0.08,-0.504,247.012,-55.183,-127.195
-0.479,-0.136,-0.517,252.744,-49.085,-130.915
-0.515,-0.177,-0.569,255.549,-48.049,-133.476
-0.516,-0.227,-0.562,257.134,-54.512,-138.72
-0.531,-0.289,-0.552,260.549,-64.939,-143.415
-0.558,-0.333,-0.516,262.927,-80.183,-147.866
-0.547,-0.363,-0.466,265.732,-94.268,-152.683
-0.591,-0.402,-0.585,265.854,-102.561,-153.171
-0.705,-0.48,-0.804,261.037,-102.561,-155.244
-0.785,-0.624,-0.92,256.768,-104.878,-162.683
-0.807,-0.763,-0.914,256.22,-109.39,-172.561
-0.805,-0.814,-0.921,254.451,-111.22,-179.268
-0.834,-0.806,-0.866,247.317,-118.598,-186.524
-0.93,-0.835,-0.787,242.622,-130.61,-191.463
-1.051,-0.874,-0.812,238.049,-146.89,-192.439
-1.111,-0.868,-0.815,226.89,-159.146,-197.012
-1.11,-0.903,-0.865,216.402,-164.817,-196.89
-1.056,-0.99,-0.925,207.073,-167.5,-195.976
-1.033,-1.057,-0.946,193.963,-166.829,-194.329
-1.023,-1.106,-0.881,180.915,-164.39,-191.768
-1.037,-1.129,-0.738,171.463,-160.427,-187.012
-1.044,-1.098,-0.615,163.354,-161.707,-181.098
-1.068,-1.052,-0.5,153.415,-165.305,-175.488
-1.099,-1.032,-0.409,145.427,-172.256,-168.902
-1.133,-1.009,-0.353,137.744,-180.061,-161.89
-1.131,-0.993,-0.314,130.0,-183.293,-154.817
-1.085,-0.99,-0.298,122.622,-183.598,-149.512
-1.055,-1.01,-0.28,115.366,-180.0,-145.427
-1.037,-1.03,-0.261,108.78,-168.171,-140.671
-0.981,-1.046,-0.237,103.72,-150.244,-135.366
-0.917,-1.054,-0.221,100.732,-133.659,-131.098
-0.907,-1.04,-0.218,97.439,-121.524,-125.244
-0.912,-1.015,-0.22,92.5,-116.037,-117.866
-0.905,-0.993,-0.216,86.585,-115.427,-110.61
-0.855,-0.97,-0.177,80.488,-118.598,-104.146
-0.799,-0.953,-0.15,74.451,-123.354,-98.171
-0.805,-0.925,-0.115,66.463,-112.561,-88.841
-0.713,-0.909,-0.087,59.268,-93.902,-78.72
-0.654,-0.917,-0.061,53.78,-74.024,-73.659
-0.705,-0.913,-0.024,47.256,-54.817,-68.354
-0.742,-0.91,0.024,41.341,-39.329,-61.829
-0.712,-0.914,0.084,36.829,-28.476,-57.256
-0.683,-0.909,0.127,33.354,-22.012,-52.744
-0.689,-0.894,0.164,30.244,-19.878,-47.805
-0.681,-0.888,0.203,28.232,-19.756,-43.537
-0.654,-0.889,0.199,27.256,-19.756,-38.841
-0.649,-0.877,0.169,25.549,-18.902,-34.817
-0.635,-0.868,0.143,22.561,-16.585,-32.683
-0.587,-0.875,0.12,20.0,-9.085,-31.28
-0.523,-0.88,0.106,17.988,2.134,-29.146
-0.485,-0.885,0.107,16.402,12.195,-26.159
-0.463,-0.897,0.133,15.671,17.439,-22.256
-0.47,-0.899,0.164,15.122,19.329,-16.951
-0.5,-0.896,0.186,15.732,19.39,-10.366
-0.516,-0.888,0.204,15.305,17.5,-6.402
-0.543,-0.886,0.191,14.512,15.915,-4.329
-0.559,-0.873,0.173,12.805,15.122,-3.232
-0.515,-0.872,0.167,10.549,15.793,-3.598
-0.455,-0.885,0.179,8.537,16.524,-4.268
-0.422,-0.894,0.2,7.5,16.037,-3.902
-0.429,-0.889,0.224,7.378,12.805,-2.805
-0.451,-0.878,0.232,7.439,6.951,-2.073
-0.457,-0.869,0.221,7.561,-0.793,-1.585
-0.438,-0.866,0.219,7.439,-9.939,-1.829
-0.409,-0.867,0.218,6.951,-14.756,-2.561
-0.405,-0.882,0.21,7.439,-15.244,-3.11
-0.401,-0.9,0.218,8.049,-12.622,-4.573
-0.367,-0.923,0.246,9.329,-5.427,-6.22
-0.331,-0.943,0.259,12.317,3.537,-6.89
-0.32,-0.947,0.26,15.061,9.512,-7.988
-0.335,-0.934,0.256,16.768,12.744,-9.207
-0.363,-0.921,0.237,17.622,14.512,-9.085
-0.387,-0.911,0.208,17.683,14.939,-8.963
-0.384,-0.898,0.192,16.463,15.244,-8.659
-0.365,-0.891,0.192,14.512,15.183,-7.622
-0.357,-0.893,0.206,12.988,13.841,-6.402
-0.352,-0.894,0.233,11.829,11.707,-5.61
-0.366,-0.886,0.234,10.854,9.939,-3.659
-0.379,-0.869,0.233,8.841,9.512,-1.89
-0.352,-0.872,0.226,6.829,10.549,-1.037
-0.35,-0.877,0.209,5.305,12.866,-0.244
-0.342,-0.881,0.219,3.171,12.256,-0.976
-0.326,-0.891,0.24,2.317,10.61,-1.524
-0.34,-0.903,0.259,3.171,6.402,-1.89
-0.361,-0.901,0.262,3.72,1.829,-2.866
