x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
-0.556,-0.829,0.121,-0.549,-2.561,-0.366
-0.566,-0.832,0.119,-1.341,-3.049,-0.366
-0.57,-0.833,0.114,-0.854,-4.329,0.122
-0.57,-0.84,0.109,-0.61,-4.817,1.037
-0.56,-0.839,0.111,-0.854,-4.634,1.402
-0.55,-0.836,0.114,-0.976,-4.695,2.012
-0.542,-0.833,0.113,-0.671,-5.122,2.317
-0.541,-0.833,0.109,-0.488,-5.183,2.195
-0.536,-0.835,0.11,-0.305,-5.244,1.829
-0.53,-0.837,0.114,0.061,-5.183,1.463
-0.522,-0.84,0.111,0.427,-4.695,1.585
-0.518,-0.841,0.113,0.549,-3.902,1.707
-0.519,-0.84,0.109,0.732,-3.476,1.707
-0.516,-0.84,0.104,0.976,-3.232,2.378
-0.516,-0.837,0.106,0.976,-2.805,2.5
-0.516,-0.833,0.107,1.037,-2.378,2.256
-0.515,-0.833,0.109,1.341,-1.829,2.012
-0.511,-0.836,0.106,1.341,-1.341,1.951
-0.512,-0.837,0.108,1.28,-1.037,1.646
-0.518,-0.835,0.109,1.524,-1.341,1.402
-0.516,-0.84,0.104,1.524,-1.28,1.524
-0.514,-0.839,0.103,1.098,-0.976,1.524
-0.515,-0.837,0.104,0.671,-0.732,1.524
-0.518,-0.837,0.1,0.305,-1.159,1.707
-0.526,-0.84,0.1,0.0,-1.768,1.768
-0.528,-0.838,0.101,-0.061,-2.073,1.829
-0.526,-0.836,0.104,0.061,-2.012,1.524
-0.521,-0.833,0.109,0.366,-1.524,1.159
-0.516,-0.83,0.114,0.976,-0.915,0.671
-0.511,-0.831,0.119,1.646,-0.427,0.305
-0.507,-0.829,0.123,2.073,0.549,0.366
-0.507,-0.826,0.129,2.256,1.585,0.305
-0.508,-0.826,0.13,2.744,2.134,0.122
-0.514,-0.83,0.131,3.354,2.195,0.305
-0.52,-0.838,0.132,3.902,2.317,1.037
-0.522,-0.841,0.141,4.634,3.049,1.646
-0.521,-0.845,0.147,5.61,3.902,1.89
-0.518,-0.846,0.148,6.829,5.061,2.195
-0.513,-0.846,0.155,7.378,6.646,2.5
-0.506,-0.842,0.156,7.805,7.5,1.89
-0.502,-0.84,0.152,8.232,7.439,0.854
-0.508,-0.846,0.146,8.476,6.159,-0.305
-0.518,-0.849,0.14,8.11,4.085,-1.524
-0.52,-0.846,0.128,7.5,2.561,-2.195
-0.521,-0.843,0.121,6.646,1.829,-2.622
-0.521,-0.843,0.12,5.915,1.22,-2.683
-0.528,-0.843,0.113,5.061,0.427,-2.744
-0.538,-0.833,0.109,4.39,-0.488,-2.561
-0.54,-0.831,0.107,4.085,-1.402,-2.561
-0.544,-0.826,0.103,3.78,-1.829,-2.195
-0.542,-0.824,0.101,3.232,-1.707,-2.012
-0.536,-0.818,0.103,2.805,-1.524,-2.378
-0.533,-0.816,0.1,2.622,-1.707,-2.866
-0.539,-0.814,0.099,2.5,-2.5,-3.293
-0.542,-0.808,0.095,2.378,-2.805,-3.537
-0.543,-0.804,0.097,2.012,-2.012,-3.963
-0.539,-0.795,0.097,1.646,-0.549,-4.39
-0.534,-0.792,0.092,1.159,0.915,-4.512
-0.543,-0.797,0.09,0.793,1.585,-4.329
-0.554,-0.807,0.086,0.671,1.646,-3.78
-0.563,-0.812,0.084,0.305,1.28,-3.232
-0.572,-0.81,0.08,0.0,0.305,-3.049
-0.573,-0.807,0.079,-0.61,-0.549,-2.683
-0.575,-0.805,0.079,-1.28,-1.646,-2.195
-0.575,-0.808,0.082,-2.134,-2.683,-1.707
-0.572,-0.813,0.089,-2.988,-3.354,-1.098
-0.573,-0.814,0.091,-3.293,-3.902,-0.427
-0.567,-0.822,0.09,-3.354,-3.963,0.183
-0.566,-0.825,0.092,-3.476,-3.841,0.854
-0.565,-0.823,0.097,-3.659,-3.049,1.585
-0.557,-0.825,0.103,-3.659,-2.134,2.073
-0.547,-0.828,0.101,-3.354,-1.707,2.378
-0.546,-0.832,0.106,-3.049,-1.768,2.5
-0.544,-0.833,0.109,-2.866,-2.012,2.744
-0.539,-0.834,0.115,-2.866,-1.585,2.744
-0.538,-0.832,0.121,-2.927,-1.159,2.683
-0.533,-0.831,0.126,-3.049,-0.976,2.866
-0.526,-0.831,0.129,-2.988,-0.671,3.049
-0.528,-0.833,0.132,-2.683,-0.549,3.415
-0.529,-0.833,0.133,-2.195,-0.976,3.72
-0.525,-0.829,0.134,-2.073,-1.098,3.841
-0.52,-0.823,0.137,-2.256,-1.22,3.598
-0.514,-0.826,0.144,-2.134,-1.951,2.805
-0.512,-0.833,0.148,-2.073,-3.72,2.134
-0.517,-0.841,0.149,-0.976,-3.659,1.159
-0.518,-0.835,0.143,-0.793,-2.317,1.463
-0.482,-0.839,0.163,-0.976,-2.256,0.854
-0.489,-0.834,0.159,-0.915,-3.415,-0.61
-0.537,-0.823,0.159,-1.159,-3.963,-0.61
-0.51,-0.822,0.158,-1.463,-1.707,-0.366
-0.487,-0.828,0.161,-0.854,-0.244,-1.341
-0.507,-0.841,0.167,0.61,-1.159,-1.707
