x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
-0.172,0.668,-0.038,13.537,-71.037,-23.598
-0.274,0.67,-0.104,11.402,-73.78,-24.573
-0.244,0.589,-0.082,4.817,-85.488,-31.585
-0.253,0.439,-0.059,-3.354,-96.402,-42.683
-0.246,0.375,-0.066,-10.122,-97.744,-52.5
-0.191,0.358,-0.029,-17.805,-90.183,-61.28
-0.152,0.316,-0.007,-24.939,-74.817,-66.341
-0.08,0.273,-0.051,-27.317,-62.378,-70.549
-0.142,0.159,-0.144,-25.183,-62.073,-69.756
-0.265,0.173,-0.196,-25.976,-68.841,-65.854
-0.287,0.231,-0.164,-30.183,-77.195,-65.915
-0.28,0.211,-0.128,-33.78,-83.72,-64.512
-0.287,0.215,-0.128,-36.829,-89.512,-60.427
-0.283,0.236,-0.132,-41.768,-92.927,-56.524
-0.233,0.241,-0.124,-44.512,-88.232,-53.598
-0.107,0.294,-0.187,-40.488,-82.134,-53.293
-0.035,0.354,-0.331,-31.159,-86.524,-54.817
-0.14,0.4,-0.396,-26.22,-92.134,-50.0
-0.178,0.462,-0.438,-20.732,-90.122,-46.402
-0.23,0.495,-0.485,-9.695,-83.902,-45.305
-0.438,0.55,-0.456,-8.232,-77.134,-37.683
-0.311,0.553,-0.296,-2.439,-65.0,-32.378
-0.24,0.446,-0.201,9.878,-56.646,-22.622
-0.317,0.438,-0.235,17.439,-65.305,-10.671
-0.36,0.565,-0.276,17.683,-82.927,-2.317
-0.307,0.589,-0.319,19.695,-86.037,0.61
-0.215,0.556,-0.374,29.573,-68.598,1.098
-0.244,0.583,-0.436,38.354,-40.854,2.988
-0.283,0.656,-0.473,43.171,-10.366,1.402
-0.283,0.647,-0.497,47.988,17.866,-1.463
-0.288,0.636,-0.521,53.049,36.341,-2.012
-0.319,0.68,-0.54,55.244,41.89,0.122
-0.34,0.718,-0.54,54.817,36.89,3.476
-0.346,0.746,-0.538,51.037,25.976,8.11
-0.304,0.78,-0.556,46.22,15.0,13.841
-0.275,0.787,-0.584,41.768,5.488,19.268
-0.303,0.771,-0.604,36.768,-1.707,23.78
-0.301,0.748,-0.62,33.171,-3.476,26.037
-0.25,0.729,-0.633,32.195,0.793,27.683
-0.214,0.739,-0.661,31.89,8.049,28.963
-0.198,0.787,-0.69,30.244,14.939,29.146
-0.217,0.802,-0.688,27.561,18.354,29.451
-0.212,0.789,-0.653,24.512,19.695,30.0
-0.2,0.745,-0.601,22.988,19.634,30.488
-0.228,0.703,-0.575,21.22,17.561,31.646
-0.233,0.689,-0.569,20.122,16.28,33.72
-0.223,0.689,-0.583,20.122,17.134,34.512
-0.208,0.738,-0.607,18.963,19.878,34.756
-0.164,0.788,-0.608,16.768,24.573,33.78
-0.137,0.769,-0.586,14.817,30.183,32.927
-0.123,0.71,-0.551,13.476,36.707,32.744
-0.106,0.648,-0.498,13.476,42.988,32.805
-0.125,0.577,-0.465,14.207,45.793,33.537
-0.155,0.566,-0.474,12.866,47.012,37.378
-0.114,0.628,-0.502,11.707,48.963,39.451
-0.126,0.694,-0.558,10.122,48.293,38.902
-0.161,0.783,-0.565,5.183,42.073,36.707
-0.134,0.806,-0.507,-0.366,36.646,33.293
-0.069,0.734,-0.429,-3.354,37.5,30.976
-0.036,0.643,-0.385,-5.0,43.537,30.244
-0.034,0.595,-0.376,-5.244,52.134,30.671
-0.049,0.604,-0.406,-2.622,58.659,32.317
-0.099,0.69,-0.417,-2.256,57.195,34.39
-0.133,0.77,-0.385,-6.28,49.695,35.793
-0.14,0.729,-0.32,-8.72,41.22,35.244
-0.134,0.651,-0.258,-11.22,32.317,35.183
-0.105,0.587,-0.228,-13.232,26.402,34.878
-0.07,0.545,-0.23,-12.622,25.61,33.293
-0.027,0.57,-0.241,-10.244,31.22,32.561
0.016,0.691,-0.252,-8.415,41.22,33.049
0.02,0.821,-0.229,-9.634,48.293,33.171
0.008,0.82,-0.176,-12.744,48.659,33.963
