x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
-0.427,-0.805,0.358,4.695,7.5,-4.939
-0.44,-0.808,0.367,5.122,8.902,-4.634
-0.46,-0.803,0.369,6.707,15.915,-2.988
-0.47,-0.797,0.362,7.317,20.61,-1.585
-0.482,-0.781,0.349,5.732,17.805,-0.915
-0.51,-0.762,0.339,3.293,9.085,-1.829
-0.55,-0.746,0.321,0.671,0.427,-3.415
-0.52,-0.737,0.316,-1.951,-5.61,-4.939
-0.504,-0.727,0.312,-3.354,-9.39,-6.402
-0.501,-0.727,0.314,-3.841,-11.037,-6.89
-0.51,-0.727,0.323,-3.354,-11.829,-7.012
-0.543,-0.726,0.325,-2.5,-11.159,-6.28
-0.579,-0.73,0.333,-1.524,-8.049,-5.061
-0.554,-0.735,0.341,-0.488,-4.573,-4.207
-0.534,-0.738,0.349,0.244,-3.171,-4.329
-0.558,-0.746,0.353,1.22,-2.195,-4.085
-0.579,-0.753,0.361,2.378,-0.305,-3.415
-0.586,-0.745,0.373,3.415,1.89,-2.073
-0.6,-0.722,0.38,3.841,3.232,-0.732
-0.626,-0.701,0.375,4.085,4.146,0.61
-0.643,-0.694,0.354,4.817,6.22,1.707
-0.637,-0.696,0.334,5.549,9.451,1.89
-0.616,-0.706,0.331,5.854,11.524,0.732
-0.62,-0.714,0.323,5.976,12.256,-0.976
-0.625,-0.714,0.321,6.341,12.256,-2.134
-0.639,-0.715,0.328,6.22,11.22,-2.378
-0.658,-0.71,0.337,6.037,9.268,-2.317
-0.68,-0.698,0.34,6.098,6.585,-1.951
-0.691,-0.692,0.346,5.793,4.024,-1.098
-0.707,-0.683,0.351,6.037,2.134,-0.061
-0.695,-0.678,0.354,6.341,1.89,0.915
-0.662,-0.674,0.364,6.646,2.744,0.732
-0.655,-0.673,0.358,7.256,3.78,0.793
-0.64,-0.689,0.337,7.256,5.549,1.22
-0.628,-0.691,0.333,6.829,6.646,1.341
-0.631,-0.688,0.329,6.341,5.915,1.829
-0.64,-0.699,0.318,5.183,4.512,1.646
-0.631,-0.7,0.319,3.78,3.049,0.366
-0.617,-0.691,0.323,2.927,1.585,-1.159
-0.602,-0.699,0.315,2.744,1.402,-2.256
-0.6,-0.711,0.308,2.927,4.207,-2.744
-0.588,-0.709,0.311,3.72,9.085,-2.439
-0.584,-0.708,0.314,5.0,14.268,-1.28
-0.604,-0.71,0.317,6.037,18.72,0.366
-0.624,-0.705,0.322,6.951,21.829,2.073
-0.633,-0.702,0.32,7.5,22.805,3.841
-0.631,-0.702,0.318,7.256,20.427,4.329
-0.637,-0.688,0.319,6.098,15.244,3.902
-0.645,-0.688,0.313,4.207,9.512,3.415
-0.645,-0.694,0.304,2.744,4.39,3.171
-0.646,-0.7,0.295,1.524,0.61,3.171
-0.656,-0.708,0.293,0.366,-1.585,3.598
-0.654,-0.714,0.3,-0.427,-2.866,4.146
-0.648,-0.721,0.305,-0.915,-2.866,4.634
-0.639,-0.728,0.307,-0.671,-1.707,4.878
-0.627,-0.737,0.311,-0.183,-0.549,5.122
-0.617,-0.748,0.31,-0.122,-0.793,4.756
-0.622,-0.747,0.304,-0.732,-2.073,4.573
-0.629,-0.744,0.307,-1.463,-3.902,4.939
-0.631,-0.746,0.314,-2.256,-5.976,5.915
-0.631,-0.752,0.318,-2.988,-6.768,7.622
-0.64,-0.757,0.312,-2.988,-5.305,10.488
-0.638,-0.771,0.307,-2.927,-1.402,14.756
-0.628,-0.794,0.303,-2.256,3.11,20.61
-0.637,-0.832,0.279,-1.89,7.439,27.744
-0.651,-0.863,0.254,-2.866,10.122,34.634
-0.634,-0.875,0.24,-5.0,8.72,41.098
-0.612,-0.873,0.232,-9.207,1.646,45.61
