epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1718551307633,2024-06-16T18.21.47.633,0.000,-0.858,-0.951,0.192
1718551307643,2024-06-16T18.21.47.643,0.010,-0.973,-0.978,0.175
1718551307653,2024-06-16T18.21.47.653,0.020,-1.078,-0.977,0.171
1718551307662,2024-06-16T18.21.47.662,0.029,-1.140,-0.972,0.162
1718551307672,2024-06-16T18.21.47.672,0.039,-1.160,-0.975,0.155
1718551307682,2024-06-16T18.21.47.682,0.049,-1.180,-0.997,0.162
1718551307693,2024-06-16T18.21.47.693,0.060,-1.269,-1.035,0.171
1718551307701,2024-06-16T18.21.47.701,0.068,-1.319,-1.058,0.187
1718551307712,2024-06-16T18.21.47.712,0.079,-1.300,-1.079,0.218
1718551307722,2024-06-16T18.21.47.722,0.089,-1.323,-1.087,0.245
1718551307731,2024-06-16T18.21.47.731,0.098,-1.425,-1.100,0.253
1718551307741,2024-06-16T18.21.47.741,0.108,-1.529,-1.135,0.241
1718551307751,2024-06-16T18.21.47.751,0.118,-1.571,-1.164,0.212
1718551307761,2024-06-16T18.21.47.761,0.128,-1.580,-1.178,0.183
1718551307770,2024-06-16T18.21.47.770,0.137,-1.591,-1.158,0.159
1718551307780,2024-06-16T18.21.47.780,0.147,-1.558,-1.131,0.133
1718551307791,2024-06-16T18.21.47.791,0.158,-1.465,-1.103,0.115
1718551307801,2024-06-16T18.21.47.801,0.168,-1.336,-1.058,0.102
1718551307810,2024-06-16T18.21.47.810,0.177,-1.242,-0.997,0.083
1718551307820,2024-06-16T18.21.47.820,0.187,-1.206,-0.932,0.065
1718551307830,2024-06-16T18.21.47.830,0.197,-1.189,-0.881,0.051
1718551307841,2024-06-16T18.21.47.841,0.208,-1.138,-0.845,0.043
1718551307849,2024-06-16T18.21.47.849,0.216,-1.082,-0.797,0.025
1718551307860,2024-06-16T18.21.47.860,0.227,-1.060,-0.728,0.009
1718551307870,2024-06-16T18.21.47.870,0.237,-1.009,-0.650,-0.003
1718551307880,2024-06-16T18.21.47.880,0.247,-0.977,-0.579,-0.018
1718551307889,2024-06-16T18.21.47.889,0.256,-0.981,-0.541,-0.015
1718551307899,2024-06-16T18.21.47.899,0.266,-0.961,-0.527,-0.027
1718551307909,2024-06-16T18.21.47.909,0.276,-0.885,-0.517,-0.019
1718551307920,2024-06-16T18.21.47.920,0.287,-0.799,-0.497,0.005
1718551307928,2024-06-16T18.21.47.928,0.295,-0.723,-0.450,0.022
1718551307939,2024-06-16T18.21.47.939,0.306,-0.722,-0.372,0.025
1718551307949,2024-06-16T18.21.47.949,0.316,-0.771,-0.293,0.008
1718551307959,2024-06-16T18.21.47.959,0.326,-0.743,-0.260,0.000
1718551307968,2024-06-16T18.21.47.968,0.335,-0.747,-0.234,-0.007
1718551307978,2024-06-16T18.21.47.978,0.345,-0.729,-0.186,-0.014
1718551307988,2024-06-16T18.21.47.988,0.355,-0.685,-0.140,-0.022
1718551307997,2024-06-16T18.21.47.997,0.364,-0.662,-0.094,0.001
1718551308008,2024-06-16T18.21.48.008,0.375,-0.630,-0.057,0.019
1718551308018,2024-06-16T18.21.48.018,0.385,-0.604,-0.014,0.035
1718551308028,2024-06-16T18.21.48.028,0.395,-0.526,0.026,0.070
1718551308037,2024-06-16T18.21.48.037,0.404,-0.481,0.079,0.090
1718551308047,2024-06-16T18.21.48.047,0.414,-0.409,0.147,0.119
1718551308057,2024-06-16T18.21.48.057,0.424,-0.380,0.212,0.111
1718551308068,2024-06-16T18.21.48.068,0.435,-0.355,0.258,0.111
1718551308076,2024-06-16T18.21.48.076,0.443,-0.354,0.294,0.106
1718551308087,2024-06-16T18.21.48.087,0.454,-0.482,0.333,0.081
1718551308097,2024-06-16T18.21.48.097,0.464,-0.517,0.360,0.065
1718551308107,2024-06-16T18.21.48.107,0.474,-0.399,0.401,0.072
1718551308116,2024-06-16T18.21.48.116,0.483,-0.292,0.458,0.100
1718551308126,2024-06-16T18.21.48.126,0.493,-0.291,0.500,0.118
1718551308136,2024-06-16T18.21.48.136,0.503,-0.299,0.529,0.111
1718551308147,2024-06-16T18.21.48.147,0.514,-0.285,0.593,0.109
1718551308155,2024-06-16T18.21.48.155,0.522,-0.197,0.656,0.139
1718551308166,2024-06-16T18.21.48.166,0.533,-0.161,0.694,0.177
1718551308176,2024-06-16T18.21.48.176,0.543,-0.083,0.702,0.234
1718551308186,2024-06-16T18.21.48.186,0.553,0.070,0.727,0.299
1718551308195,2024-06-16T18.21.48.195,0.562,0.182,0.754,0.370
1718551308205,2024-06-16T18.21.48.205,0.572,0.254,0.747,0.401
1718551308216,2024-06-16T18.21.48.216,0.583,0.301,0.754,0.422
1718551308226,2024-06-16T18.21.48.226,0.593,0.312,0.800,0.430
1718551308235,2024-06-16T18.21.48.235,0.602,0.328,0.816,0.432
1718551308245,2024-06-16T18.21.48.245,0.612,0.369,0.796,0.435
1718551308255,2024-06-16T18.21.48.255,0.622,0.339,0.782,0.413
1718551308264,2024-06-16T18.21.48.264,0.631,0.232,0.780,0.366
1718551308274,2024-06-16T18.21.48.274,0.641,0.138,0.781,0.313
1718551308284,2024-06-16T18.21.48.284,0.651,0.045,0.781,0.269
1718551308295,2024-06-16T18.21.48.295,0.662,-0.048,0.760,0.233
1718551308303,2024-06-16T18.21.48.303,0.670,-0.152,0.743,0.195
1718551308314,2024-06-16T18.21.48.314,0.681,-0.207,0.733,0.159
1718551308324,2024-06-16T18.21.48.324,0.691,-0.200,0.733,0.149
1718551308334,2024-06-16T18.21.48.334,0.701,-0.172,0.733,0.152
1718551308343,2024-06-16T18.21.48.343,0.710,-0.157,0.722,0.156
1718551308353,2024-06-16T18.21.48.353,0.720,-0.169,0.713,0.159
1718551308363,2024-06-16T18.21.48.363,0.730,-0.222,0.717,0.132
1718551308374,2024-06-16T18.21.48.374,0.741,-0.223,0.712,0.132
1718551308383,2024-06-16T18.21.48.383,0.750,-0.219,0.678,0.151
1718551308393,2024-06-16T18.21.48.393,0.760,-0.223,0.636,0.173
1718551308403,2024-06-16T18.21.48.403,0.770,-0.235,0.609,0.183
1718551308413,2024-06-16T18.21.48.413,0.780,-0.244,0.585,0.193
1718551308422,2024-06-16T18.21.48.422,0.789,-0.184,0.556,0.184
1718551308432,2024-06-16T18.21.48.432,0.799,-0.135,0.539,0.158
1718551308443,2024-06-16T18.21.48.443,0.810,-0.181,0.538,0.132
1718551308453,2024-06-16T18.21.48.453,0.820,-0.259,0.507,0.121
1718551308462,2024-06-16T18.21.48.462,0.829,-0.275,0.455,0.128
1718551308472,2024-06-16T18.21.48.472,0.839,-0.346,0.423,0.138
1718551308482,2024-06-16T18.21.48.482,0.849,-0.475,0.380,0.132
1718551308491,2024-06-16T18.21.48.491,0.858,-0.519,0.318,0.120
1718551308501,2024-06-16T18.21.48.501,0.868,-0.544,0.292,0.106
1718551308511,2024-06-16T18.21.48.511,0.878,-0.589,0.291,0.100
1718551308522,2024-06-16T18.21.48.522,0.889,-0.596,0.273,0.111
1718551308530,2024-06-16T18.21.48.530,0.897,-0.616,0.260,0.128
1718551308541,2024-06-16T18.21.48.541,0.908,-0.655,0.254,0.152
1718551308551,2024-06-16T18.21.48.551,0.918,-0.617,0.229,0.192
1718551308561,2024-06-16T18.21.48.561,0.928,-0.639,0.210,0.199
1718551308570,2024-06-16T18.21.48.570,0.937,-0.811,0.155,0.177
1718551308580,2024-06-16T18.21.48.580,0.947,-1.015,0.062,0.112
