epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1718550801434,2024-06-16T18.13.21.434,0.000,53.415,-34.573,-37.561
1718550801444,2024-06-16T18.13.21.444,0.010,53.110,-34.695,-37.195
1718550801453,2024-06-16T18.13.21.453,0.019,50.488,-38.049,-35.366
1718550801463,2024-06-16T18.13.21.463,0.029,46.829,-41.768,-33.476
1718550801473,2024-06-16T18.13.21.473,0.039,44.390,-41.707,-31.768
1718550801483,2024-06-16T18.13.21.483,0.049,41.829,-39.024,-30.488
1718550801492,2024-06-16T18.13.21.492,0.058,39.573,-35.610,-28.354
1718550801502,2024-06-16T18.13.21.502,0.068,37.012,-33.049,-25.061
1718550801513,2024-06-16T18.13.21.513,0.079,33.293,-30.549,-22.866
1718550801522,2024-06-16T18.13.21.522,0.088,30.183,-26.890,-21.341
1718550801532,2024-06-16T18.13.21.532,0.098,27.317,-24.390,-20.244
1718550801542,2024-06-16T18.13.21.542,0.108,24.207,-21.402,-20.061
1718550801552,2024-06-16T18.13.21.552,0.118,23.049,-17.805,-19.329
1718550801561,2024-06-16T18.13.21.561,0.127,22.195,-14.268,-16.707
1718550801571,2024-06-16T18.13.21.571,0.137,20.732,-11.585,-14.024
1718550801582,2024-06-16T18.13.21.582,0.148,19.451,-8.598,-11.280
1718550801592,2024-06-16T18.13.21.592,0.158,17.744,-7.378,-10.000
1718550801601,2024-06-16T18.13.21.601,0.167,16.341,-9.146,-9.085
1718550801611,2024-06-16T18.13.21.611,0.177,15.793,-12.439,-6.585
1718550801621,2024-06-16T18.13.21.621,0.187,15.000,-14.146,-4.878
1718550801631,2024-06-16T18.13.21.631,0.197,14.085,-11.524,-3.476
1718550801640,2024-06-16T18.13.21.640,0.206,13.537,-5.305,-2.317
1718550801650,2024-06-16T18.13.21.650,0.216,12.622,4.024,-0.366
1718550801661,2024-06-16T18.13.21.661,0.227,11.341,12.683,1.524
1718550801671,2024-06-16T18.13.21.671,0.237,9.695,17.134,2.073
1718550801680,2024-06-16T18.13.21.680,0.246,7.988,17.134,3.110
1718550801690,2024-06-16T18.13.21.690,0.256,5.183,14.451,4.024
1718550801700,2024-06-16T18.13.21.700,0.266,1.707,11.280,4.512
1718550801710,2024-06-16T18.13.21.710,0.276,-2.073,9.390,5.915
1718550801719,2024-06-16T18.13.21.719,0.285,-6.829,9.756,8.110
1718550801730,2024-06-16T18.13.21.730,0.296,-12.012,12.744,11.037
1718550801740,2024-06-16T18.13.21.740,0.306,-17.500,18.902,15.000
1718550801749,2024-06-16T18.13.21.749,0.315,-24.085,27.927,19.451
