epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1718718871695,2024-06-18T16.54.31.695,0.000,-0.637,-0.596,0.611
1718718871703,2024-06-18T16.54.31.703,0.008,-0.624,-0.592,0.603
1718718871714,2024-06-18T16.54.31.714,0.019,-0.592,-0.584,0.598
1718718871724,2024-06-18T16.54.31.724,0.029,-0.585,-0.577,0.576
1718718871734,2024-06-18T16.54.31.734,0.039,-0.592,-0.569,0.564
1718718871743,2024-06-18T16.54.31.743,0.048,-0.574,-0.562,0.554
1718718871753,2024-06-18T16.54.31.753,0.058,-0.575,-0.552,0.553
1718718871763,2024-06-18T16.54.31.763,0.068,-0.597,-0.556,0.545
1718718871772,2024-06-18T16.54.31.772,0.077,-0.590,-0.568,0.553
1718718871782,2024-06-18T16.54.31.782,0.087,-0.561,-0.568,0.555
1718718871793,2024-06-18T16.54.31.793,0.098,-0.558,-0.567,0.552
1718718871803,2024-06-18T16.54.31.803,0.108,-0.563,-0.569,0.552
1718718871812,2024-06-18T16.54.31.812,0.117,-0.567,-0.571,0.538
1718718871822,2024-06-18T16.54.31.822,0.127,-0.579,-0.567,0.529
1718718871832,2024-06-18T16.54.31.832,0.137,-0.581,-0.565,0.523
1718718871842,2024-06-18T16.54.31.842,0.147,-0.569,-0.565,0.523
1718718871851,2024-06-18T16.54.31.851,0.156,-0.567,-0.576,0.528
1718718871862,2024-06-18T16.54.31.862,0.167,-0.562,-0.589,0.521
1718718871872,2024-06-18T16.54.31.872,0.177,-0.564,-0.590,0.521
1718718871882,2024-06-18T16.54.31.882,0.187,-0.563,-0.586,0.515
1718718871891,2024-06-18T16.54.31.891,0.196,-0.574,-0.585,0.505
1718718871901,2024-06-18T16.54.31.901,0.206,-0.615,-0.571,0.492
1718718871911,2024-06-18T16.54.31.911,0.216,-0.605,-0.588,0.490
1718718871922,2024-06-18T16.54.31.922,0.227,-0.547,-0.610,0.512
1718718871930,2024-06-18T16.54.31.930,0.235,-0.562,-0.625,0.545
1718718871941,2024-06-18T16.54.31.941,0.246,-0.623,-0.648,0.547
1718718871951,2024-06-18T16.54.31.951,0.256,-0.620,-0.655,0.538
1718718871961,2024-06-18T16.54.31.961,0.266,-0.581,-0.632,0.545
1718718871970,2024-06-18T16.54.31.970,0.275,-0.577,-0.625,0.547
1718718871980,2024-06-18T16.54.31.980,0.285,-0.598,-0.638,0.543
1718718871990,2024-06-18T16.54.31.990,0.295,-0.610,-0.635,0.533
1718718871999,2024-06-18T16.54.31.999,0.304,-0.606,-0.622,0.526
1718718872009,2024-06-18T16.54.32.009,0.314,-0.590,-0.622,0.529
1718718872020,2024-06-18T16.54.32.020,0.325,-0.574,-0.628,0.535
1718718872030,2024-06-18T16.54.32.030,0.335,-0.566,-0.623,0.535
1718718872039,2024-06-18T16.54.32.039,0.344,-0.563,-0.611,0.536
1718718872049,2024-06-18T16.54.32.049,0.354,-0.559,-0.599,0.537
1718718872059,2024-06-18T16.54.32.059,0.364,-0.563,-0.589,0.534
1718718872070,2024-06-18T16.54.32.070,0.375,-0.568,-0.590,0.533
1718718872078,2024-06-18T16.54.32.078,0.383,-0.571,-0.597,0.537
1718718872089,2024-06-18T16.54.32.089,0.394,-0.570,-0.596,0.545
1718718872099,2024-06-18T16.54.32.099,0.404,-0.578,-0.598,0.547
1718718872109,2024-06-18T16.54.32.109,0.414,-0.578,-0.602,0.548
1718718872118,2024-06-18T16.54.32.118,0.423,-0.563,-0.595,0.545
1718718872128,2024-06-18T16.54.32.128,0.433,-0.568,-0.580,0.541
1718718872138,2024-06-18T16.54.32.138,0.443,-0.579,-0.582,0.538
1718718872149,2024-06-18T16.54.32.149,0.454,-0.582,-0.589,0.536
1718718872157,2024-06-18T16.54.32.157,0.462,-0.605,-0.595,0.525
1718718872168,2024-06-18T16.54.32.168,0.473,-0.583,-0.599,0.538
1718718872178,2024-06-18T16.54.32.178,0.483,-0.562,-0.607,0.552
1718718872188,2024-06-18T16.54.32.188,0.493,-0.569,-0.613,0.559
1718718872197,2024-06-18T16.54.32.197,0.502,-0.589,-0.615,0.555
1718718872207,2024-06-18T16.54.32.207,0.512,-0.586,-0.617,0.549
1718718872217,2024-06-18T16.54.32.217,0.522,-0.563,-0.606,0.540
1718718872228,2024-06-18T16.54.32.228,0.533,-0.572,-0.597,0.533
1718718872237,2024-06-18T16.54.32.237,0.542,-0.596,-0.604,0.527
1718718872247,2024-06-18T16.54.32.247,0.552,-0.596,-0.616,0.525
1718718872257,2024-06-18T16.54.32.257,0.562,-0.572,-0.620,0.524
1718718872266,2024-06-18T16.54.32.266,0.571,-0.540,-0.612,0.523
1718718872276,2024-06-18T16.54.32.276,0.581,-0.519,-0.607,0.517
1718718872286,2024-06-18T16.54.32.286,0.591,-0.521,-0.604,0.508
1718718872297,2024-06-18T16.54.32.297,0.602,-0.545,-0.596,0.501
1718718872305,2024-06-18T16.54.32.305,0.610,-0.565,-0.585,0.507
1718718872316,2024-06-18T16.54.32.316,0.621,-0.530,-0.604,0.516
1718718872326,2024-06-18T16.54.32.326,0.631,-0.512,-0.607,0.515
1718718872336,2024-06-18T16.54.32.336,0.641,-0.537,-0.596,0.509
1718718872345,2024-06-18T16.54.32.345,0.650,-0.536,-0.605,0.511
1718718872355,2024-06-18T16.54.32.355,0.660,-0.531,-0.607,0.520
1718718872365,2024-06-18T16.54.32.365,0.670,-0.541,-0.594,0.523
1718718872376,2024-06-18T16.54.32.376,0.681,-0.546,-0.600,0.526
1718718872384,2024-06-18T16.54.32.384,0.689,-0.557,-0.621,0.536
1718718872395,2024-06-18T16.54.32.395,0.700,-0.563,-0.622,0.535
1718718872405,2024-06-18T16.54.32.405,0.710,-0.565,-0.615,0.531
1718718872415,2024-06-18T16.54.32.415,0.720,-0.588,-0.612,0.540
1718718872424,2024-06-18T16.54.32.424,0.729,-0.611,-0.622,0.546
1718718872434,2024-06-18T16.54.32.434,0.739,-0.616,-0.632,0.549
1718718872445,2024-06-18T16.54.32.445,0.750,-0.620,-0.630,0.552
1718718872455,2024-06-18T16.54.32.455,0.760,-0.613,-0.631,0.549
1718718872464,2024-06-18T16.54.32.464,0.769,-0.617,-0.637,0.551
1718718872474,2024-06-18T16.54.32.474,0.779,-0.621,-0.639,0.556
1718718872484,2024-06-18T16.54.32.484,0.789,-0.605,-0.639,0.552
1718718872493,2024-06-18T16.54.32.493,0.798,-0.565,-0.631,0.546
1718718872503,2024-06-18T16.54.32.503,0.808,-0.528,-0.608,0.538
1718718872513,2024-06-18T16.54.32.513,0.818,-0.580,-0.600,0.550
1718718872524,2024-06-18T16.54.32.524,0.829,-0.650,-0.662,0.574
1718718872532,2024-06-18T16.54.32.532,0.837,-0.682,-0.708,0.601
1718718872543,2024-06-18T16.54.32.543,0.848,-0.723,-0.679,0.604
1718718872553,2024-06-18T16.54.32.553,0.858,-0.726,-0.656,0.564
1718718872563,2024-06-18T16.54.32.563,0.868,-0.670,-0.637,0.536
1718718872572,2024-06-18T16.54.32.572,0.877,-0.603,-0.596,0.520
1718718872582,2024-06-18T16.54.32.582,0.887,-0.532,-0.584,0.502
