epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1718718423554,2024-06-18T16.47.03.554,0.000,-136.280,132.500,28.780
1718718423564,2024-06-18T16.47.03.564,0.010,-135.000,131.524,29.146
1718718423574,2024-06-18T16.47.03.574,0.020,-130.549,124.085,31.585
1718718423584,2024-06-18T16.47.03.584,0.030,-125.610,115.061,33.171
1718718423593,2024-06-18T16.47.03.593,0.039,-125.366,108.902,31.098
1718718423603,2024-06-18T16.47.03.603,0.049,-124.817,105.732,27.805
1718718423614,2024-06-18T16.47.03.614,0.060,-120.427,101.646,25.366
1718718423624,2024-06-18T16.47.03.624,0.070,-114.634,98.171,22.378
1718718423633,2024-06-18T16.47.03.633,0.079,-112.500,96.768,19.085
1718718423643,2024-06-18T16.47.03.643,0.089,-113.110,94.573,18.049
1718718423653,2024-06-18T16.47.03.653,0.099,-111.463,86.402,16.463
1718718423662,2024-06-18T16.47.03.662,0.108,-106.524,72.317,14.939
1718718423672,2024-06-18T16.47.03.672,0.118,-100.122,56.951,14.329
1718718423682,2024-06-18T16.47.03.682,0.128,-90.732,46.951,13.598
1718718423693,2024-06-18T16.47.03.693,0.139,-81.646,46.463,10.549
1718718423701,2024-06-18T16.47.03.701,0.147,-73.902,56.402,7.073
1718718423712,2024-06-18T16.47.03.712,0.158,-66.159,69.878,4.024
1718718423722,2024-06-18T16.47.03.722,0.168,-60.061,80.122,0.915
1718718423732,2024-06-18T16.47.03.732,0.178,-57.378,82.439,-0.671
1718718423741,2024-06-18T16.47.03.741,0.187,-56.829,75.305,0.183
1718718423751,2024-06-18T16.47.03.751,0.197,-59.573,58.232,1.098
1718718423762,2024-06-18T16.47.03.762,0.208,-63.171,32.195,1.280
1718718423772,2024-06-18T16.47.03.772,0.218,-62.012,5.549,3.293
1718718423781,2024-06-18T16.47.03.781,0.227,-58.902,-10.427,6.646
1718718423791,2024-06-18T16.47.03.791,0.237,-57.805,-13.354,10.427
1718718423801,2024-06-18T16.47.03.801,0.247,-57.134,-9.329,12.744
1718718423811,2024-06-18T16.47.03.811,0.257,-54.146,-4.634,13.902
1718718423820,2024-06-18T16.47.03.820,0.266,-48.171,-2.622,13.841
1718718423830,2024-06-18T16.47.03.830,0.276,-42.378,-0.366,13.110
1718718423841,2024-06-18T16.47.03.841,0.287,-39.329,3.780,12.378
1718718423851,2024-06-18T16.47.03.851,0.297,-38.232,8.659,12.073
1718718423860,2024-06-18T16.47.03.860,0.306,-38.780,9.451,12.683
1718718423870,2024-06-18T16.47.03.870,0.316,-37.744,4.207,14.085
1718718423880,2024-06-18T16.47.03.880,0.326,-35.366,-3.415,15.488
1718718423890,2024-06-18T16.47.03.890,0.336,-35.122,-8.659,16.341
1718718423899,2024-06-18T16.47.03.899,0.345,-36.646,-11.463,17.134
1718718423909,2024-06-18T16.47.03.909,0.355,-36.890,-14.451,18.476
1718718423920,2024-06-18T16.47.03.920,0.366,-37.012,-18.598,19.085
1718718423929,2024-06-18T16.47.03.929,0.375,-37.134,-22.500,18.354
1718718423939,2024-06-18T16.47.03.939,0.385,-36.951,-26.037,17.073
1718718423949,2024-06-18T16.47.03.949,0.395,-37.561,-28.049,16.280
1718718423959,2024-06-18T16.47.03.959,0.405,-37.500,-29.756,16.037
1718718423968,2024-06-18T16.47.03.968,0.414,-36.220,-31.463,15.915
1718718423978,2024-06-18T16.47.03.978,0.424,-34.512,-31.463,15.732
1718718423989,2024-06-18T16.47.03.989,0.435,-33.293,-30.000,14.695
1718718423999,2024-06-18T16.47.03.999,0.445,-31.768,-25.976,12.927
1718718424008,2024-06-18T16.47.04.008,0.454,-29.451,-17.317,10.305
1718718424018,2024-06-18T16.47.04.018,0.464,-24.390,-2.439,3.171
1718718424028,2024-06-18T16.47.04.028,0.474,-18.902,8.049,-5.854
1718718424038,2024-06-18T16.47.04.038,0.484,-15.305,5.976,-6.829
1718718424047,2024-06-18T16.47.04.047,0.493,-10.793,-4.756,-0.976
1718718424057,2024-06-18T16.47.04.057,0.503,-7.073,-12.866,2.073
1718718424068,2024-06-18T16.47.04.068,0.514,-7.744,-12.744,1.280
1718718424078,2024-06-18T16.47.04.078,0.524,-10.183,-9.390,0.305
1718718424087,2024-06-18T16.47.04.087,0.533,-10.122,-7.134,-0.183
1718718424097,2024-06-18T16.47.04.097,0.543,-7.866,-6.646,-0.244
1718718424107,2024-06-18T16.47.04.107,0.553,-6.341,-6.159,-0.610
1718718424117,2024-06-18T16.47.04.117,0.563,-5.366,-5.854,-0.854
1718718424126,2024-06-18T16.47.04.126,0.572,-4.207,-6.341,-0.732
1718718424137,2024-06-18T16.47.04.137,0.583,-2.927,-7.012,-0.976
1718718424147,2024-06-18T16.47.04.147,0.593,-2.988,-6.768,-1.768
1718718424156,2024-06-18T16.47.04.156,0.602,-3.659,-7.439,-3.171
1718718424166,2024-06-18T16.47.04.166,0.612,-4.085,-8.902,-3.902
1718718424176,2024-06-18T16.47.04.176,0.622,-4.451,-10.061,-4.329
1718718424186,2024-06-18T16.47.04.186,0.632,-4.695,-10.488,-4.817
1718718424195,2024-06-18T16.47.04.195,0.641,-4.512,-10.610,-4.573
1718718424205,2024-06-18T16.47.04.205,0.651,-3.476,-10.427,-3.780
1718718424216,2024-06-18T16.47.04.216,0.662,-2.195,-9.390,-2.988
1718718424226,2024-06-18T16.47.04.226,0.672,-1.098,-7.744,-2.622
1718718424235,2024-06-18T16.47.04.235,0.681,0.244,-6.402,-2.012
1718718424245,2024-06-18T16.47.04.245,0.691,1.159,-5.183,-1.159
1718718424255,2024-06-18T16.47.04.255,0.701,1.220,-4.512,-1.463
1718718424265,2024-06-18T16.47.04.265,0.711,0.671,-3.659,-2.195
1718718424274,2024-06-18T16.47.04.274,0.720,-0.061,-3.110,-2.622
1718718424284,2024-06-18T16.47.04.284,0.730,-0.793,-3.354,-2.561
1718718424295,2024-06-18T16.47.04.295,0.741,-0.976,-3.963,-1.890
1718718424305,2024-06-18T16.47.04.305,0.751,-0.793,-4.207,-1.280
1718718424314,2024-06-18T16.47.04.314,0.760,-0.915,-3.780,-0.549
1718718424324,2024-06-18T16.47.04.324,0.770,-0.854,-3.354,0.122
1718718424334,2024-06-18T16.47.04.334,0.780,-0.610,-2.378,0.305
1718718424345,2024-06-18T16.47.04.345,0.791,-1.037,-1.098,-0.305
1718718424353,2024-06-18T16.47.04.353,0.799,-1.463,0.000,-1.341
1718718424364,2024-06-18T16.47.04.364,0.810,-1.159,0.488,-1.707
1718718424374,2024-06-18T16.47.04.374,0.820,-1.220,0.915,-1.585
1718718424384,2024-06-18T16.47.04.384,0.830,-1.707,1.402,-1.646
1718718424393,2024-06-18T16.47.04.393,0.839,-2.134,1.524,-1.646
1718718424403,2024-06-18T16.47.04.403,0.849,-2.500,1.159,-1.220
1718718424413,2024-06-18T16.47.04.413,0.859,-2.012,-0.061,-0.976
1718718424422,2024-06-18T16.47.04.422,0.868,-2.012,-0.732,-1.159
1718718424432,2024-06-18T16.47.04.432,0.878,-3.598,-2.073,-1.707
1718718424443,2024-06-18T16.47.04.443,0.889,-5.061,-8.537,-2.927
1718718424453,2024-06-18T16.47.04.453,0.899,-5.061,-17.866,-3.415
1718718424462,2024-06-18T16.47.04.462,0.908,-6.098,-23.780,-3.720
1718718424472,2024-06-18T16.47.04.472,0.918,-7.500,-25.976,-4.634
1718718424482,2024-06-18T16.47.04.482,0.928,-9.268,-26.341,-5.671
1718718424492,2024-06-18T16.47.04.492,0.938,-9.634,-26.280,-5.854
1718718424501,2024-06-18T16.47.04.501,0.947,-8.780,-24.329,-4.939
1718718424512,2024-06-18T16.47.04.512,0.958,-8.476,-20.061,-4.695
1718718424522,2024-06-18T16.47.04.522,0.968,-7.927,-15.305,-4.207
1718718424532,2024-06-18T16.47.04.532,0.978,-6.585,-10.671,-2.744
1718718424541,2024-06-18T16.47.04.541,0.987,-5.244,-5.671,-1.402
1718718424551,2024-06-18T16.47.04.551,0.997,-4.634,-1.159,-0.244
1718718424561,2024-06-18T16.47.04.561,1.007,-4.268,1.037,0.122
1718718424572,2024-06-18T16.47.04.572,1.018,-4.268,0.976,0.061
1718718424580,2024-06-18T16.47.04.580,1.026,-4.390,-0.244,-0.244
1718718424591,2024-06-18T16.47.04.591,1.037,-4.451,-2.439,-0.488
1718718424601,2024-06-18T16.47.04.601,1.047,-4.329,-4.146,-0.549
1718718424611,2024-06-18T16.47.04.611,1.057,-4.512,-4.268,-0.366
1718718424620,2024-06-18T16.47.04.620,1.066,-4.512,-3.659,-0.305
1718718424630,2024-06-18T16.47.04.630,1.076,-4.024,-2.988,-0.061
1718718424640,2024-06-18T16.47.04.640,1.086,-2.927,-2.195,0.244
1718718424649,2024-06-18T16.47.04.649,1.095,-1.890,-0.915,0.549
1718718424659,2024-06-18T16.47.04.659,1.105,-1.524,0.549,0.732
1718718424670,2024-06-18T16.47.04.670,1.116,-1.159,1.341,0.671
1718718424680,2024-06-18T16.47.04.680,1.126,-0.976,1.280,0.427
1718718424689,2024-06-18T16.47.04.689,1.135,-0.610,0.305,0.061
1718718424699,2024-06-18T16.47.04.699,1.145,0.000,-1.402,-0.061
1718718424709,2024-06-18T16.47.04.709,1.155,0.488,-2.622,0.183
1718718424720,2024-06-18T16.47.04.720,1.166,0.488,-2.622,0.305
1718718424728,2024-06-18T16.47.04.728,1.174,0.549,-2.256,0.244
1718718424739,2024-06-18T16.47.04.739,1.185,1.037,-2.439,0.427
1718718424749,2024-06-18T16.47.04.749,1.195,1.037,-2.622,0.244
1718718424759,2024-06-18T16.47.04.759,1.205,0.549,-2.866,-0.061
1718718424768,2024-06-18T16.47.04.768,1.214,0.488,-3.537,-0.183
