epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1718554392033,2024-06-16T19.13.12.033,0.000,0.260,1.645,0.043
1718554392043,2024-06-16T19.13.12.043,0.010,0.285,1.692,0.083
1718554392053,2024-06-16T19.13.12.053,0.020,0.264,1.655,0.094
1718554392064,2024-06-16T19.13.12.064,0.031,0.231,1.551,0.076
1718554392073,2024-06-16T19.13.12.073,0.040,0.206,1.416,0.055
1718554392083,2024-06-16T19.13.12.083,0.050,0.192,1.315,0.010
1718554392093,2024-06-16T19.13.12.093,0.060,0.180,1.255,0.010
1718554392103,2024-06-16T19.13.12.103,0.070,0.106,1.281,0.107
1718554392112,2024-06-16T19.13.12.112,0.079,0.042,1.374,0.212
1718554392122,2024-06-16T19.13.12.122,0.089,0.054,1.428,0.293
1718554392133,2024-06-16T19.13.12.133,0.100,0.072,1.418,0.328
1718554392143,2024-06-16T19.13.12.143,0.110,0.054,1.418,0.304
1718554392152,2024-06-16T19.13.12.152,0.119,0.032,1.409,0.246
1718554392162,2024-06-16T19.13.12.162,0.129,0.042,1.370,0.170
1718554392172,2024-06-16T19.13.12.172,0.139,0.046,1.299,0.127
1718554392182,2024-06-16T19.13.12.182,0.149,0.003,1.225,0.114
1718554392191,2024-06-16T19.13.12.191,0.158,-0.046,1.201,0.114
1718554392201,2024-06-16T19.13.12.201,0.168,-0.072,1.203,0.143
1718554392212,2024-06-16T19.13.12.212,0.179,-0.099,1.181,0.203
1718554392220,2024-06-16T19.13.12.220,0.187,-0.119,1.153,0.237
1718554392231,2024-06-16T19.13.12.231,0.198,-0.096,1.167,0.230
1718554392241,2024-06-16T19.13.12.241,0.208,-0.091,1.174,0.209
1718554392251,2024-06-16T19.13.12.251,0.218,-0.103,1.163,0.189
1718554392260,2024-06-16T19.13.12.260,0.227,-0.116,1.163,0.169
1718554392270,2024-06-16T19.13.12.270,0.237,-0.126,1.158,0.163
1718554392281,2024-06-16T19.13.12.281,0.248,-0.104,1.152,0.150
1718554392291,2024-06-16T19.13.12.291,0.258,-0.106,1.153,0.140
1718554392300,2024-06-16T19.13.12.300,0.267,-0.136,1.159,0.148
1718554392310,2024-06-16T19.13.12.310,0.277,-0.113,1.157,0.171
1718554392320,2024-06-16T19.13.12.320,0.287,-0.072,1.139,0.205
1718554392330,2024-06-16T19.13.12.330,0.297,-0.045,1.115,0.230
1718554392339,2024-06-16T19.13.12.339,0.306,-0.010,1.096,0.241
1718554392349,2024-06-16T19.13.12.349,0.316,0.028,1.099,0.224
1718554392360,2024-06-16T19.13.12.360,0.327,-0.010,1.098,0.216
1718554392370,2024-06-16T19.13.12.370,0.337,-0.075,1.073,0.238
1718554392379,2024-06-16T19.13.12.379,0.346,-0.090,1.050,0.262
1718554392389,2024-06-16T19.13.12.389,0.356,-0.092,1.022,0.286
1718554392399,2024-06-16T19.13.12.399,0.366,-0.077,0.996,0.298
1718554392409,2024-06-16T19.13.12.409,0.376,-0.097,0.994,0.295
1718554392418,2024-06-16T19.13.12.418,0.385,-0.124,0.991,0.291
1718554392428,2024-06-16T19.13.12.428,0.395,-0.132,0.987,0.275
1718554392439,2024-06-16T19.13.12.439,0.406,-0.111,0.986,0.257
1718554392448,2024-06-16T19.13.12.448,0.415,-0.083,0.972,0.233
1718554392458,2024-06-16T19.13.12.458,0.425,-0.090,0.964,0.205
1718554392468,2024-06-16T19.13.12.468,0.435,-0.125,0.968,0.182
1718554392478,2024-06-16T19.13.12.478,0.445,-0.131,0.972,0.163
1718554392487,2024-06-16T19.13.12.487,0.454,-0.132,0.964,0.171
1718554392497,2024-06-16T19.13.12.497,0.464,-0.137,0.961,0.177
1718554392508,2024-06-16T19.13.12.508,0.475,-0.129,0.963,0.165
1718554392518,2024-06-16T19.13.12.518,0.485,-0.134,0.958,0.160
1718554392527,2024-06-16T19.13.12.527,0.494,-0.121,0.957,0.155
1718554392537,2024-06-16T19.13.12.537,0.504,-0.109,0.961,0.146
1718554392547,2024-06-16T19.13.12.547,0.514,-0.119,0.963,0.147
1718554392557,2024-06-16T19.13.12.557,0.524,-0.117,0.962,0.151
1718554392566,2024-06-16T19.13.12.566,0.533,-0.114,0.962,0.151
1718554392576,2024-06-16T19.13.12.576,0.543,-0.121,0.958,0.148
1718554392587,2024-06-16T19.13.12.587,0.554,-0.122,0.947,0.149
1718554392597,2024-06-16T19.13.12.597,0.564,-0.105,0.940,0.154
1718554392606,2024-06-16T19.13.12.606,0.573,-0.090,0.936,0.167
1718554392616,2024-06-16T19.13.12.616,0.583,-0.082,0.935,0.175
1718554392626,2024-06-16T19.13.12.626,0.593,-0.083,0.932,0.184
1718554392636,2024-06-16T19.13.12.636,0.603,-0.130,0.932,0.210
1718554392645,2024-06-16T19.13.12.645,0.612,-0.145,0.931,0.240
1718554392656,2024-06-16T19.13.12.656,0.623,-0.122,0.933,0.249
