epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1718554597365,2024-06-16T19.16.37.365,0.000,1.768,-6.341,4.939
1718554597375,2024-06-16T19.16.37.375,0.010,2.073,-6.037,4.756
1718554597386,2024-06-16T19.16.37.386,0.021,1.280,-3.598,5.122
1718554597394,2024-06-16T19.16.37.394,0.029,-0.122,-1.768,4.939
1718554597405,2024-06-16T19.16.37.405,0.040,-0.976,-1.159,3.780
1718554597415,2024-06-16T19.16.37.415,0.050,-1.159,-1.707,3.476
1718554597425,2024-06-16T19.16.37.425,0.060,-2.195,-3.171,4.085
1718554597434,2024-06-16T19.16.37.434,0.069,-3.171,-4.329,4.146
1718554597444,2024-06-16T19.16.37.444,0.079,-4.024,-3.902,4.939
1718554597454,2024-06-16T19.16.37.454,0.089,-4.390,-4.024,5.061
1718554597465,2024-06-16T19.16.37.465,0.100,-5.610,-5.488,4.878
1718554597473,2024-06-16T19.16.37.473,0.108,-6.646,-7.744,4.390
1718554597484,2024-06-16T19.16.37.484,0.119,-6.951,-8.537,3.720
1718554597494,2024-06-16T19.16.37.494,0.129,-7.012,-6.707,3.415
1718554597504,2024-06-16T19.16.37.504,0.139,-7.012,-3.720,2.988
1718554597513,2024-06-16T19.16.37.513,0.148,-7.012,-1.280,1.890
1718554597523,2024-06-16T19.16.37.523,0.158,-6.890,-1.463,1.037
1718554597534,2024-06-16T19.16.37.534,0.169,-7.012,-2.866,0.671
1718554597544,2024-06-16T19.16.37.544,0.179,-6.951,-3.598,0.061
1718554597553,2024-06-16T19.16.37.553,0.188,-6.890,-3.354,-0.244
1718554597563,2024-06-16T19.16.37.563,0.198,-7.256,-2.561,-0.366
1718554597573,2024-06-16T19.16.37.573,0.208,-8.293,-2.683,-0.610
1718554597583,2024-06-16T19.16.37.583,0.218,-9.512,-1.951,-0.488
1718554597592,2024-06-16T19.16.37.592,0.227,-10.549,-0.610,-0.427
1718554597602,2024-06-16T19.16.37.602,0.237,-11.524,0.183,0.183
1718554597613,2024-06-16T19.16.37.613,0.248,-13.171,1.524,1.463
1718554597621,2024-06-16T19.16.37.621,0.256,-13.963,3.476,2.439
1718554597632,2024-06-16T19.16.37.632,0.267,-14.268,4.329,3.354
1718554597642,2024-06-16T19.16.37.642,0.277,-14.268,2.622,3.659
1718554597652,2024-06-16T19.16.37.652,0.287,-14.329,-2.439,3.659
1718554597661,2024-06-16T19.16.37.661,0.296,-15.122,-6.280,4.085
1718554597671,2024-06-16T19.16.37.671,0.306,-14.756,-7.683,4.634
1718554597681,2024-06-16T19.16.37.681,0.316,-14.024,-7.927,5.244
1718554597692,2024-06-16T19.16.37.692,0.327,-13.598,-7.317,4.939
1718554597701,2024-06-16T19.16.37.701,0.336,-12.561,-7.073,3.476
1718554597711,2024-06-16T19.16.37.711,0.346,-11.951,-7.317,2.622
1718554597721,2024-06-16T19.16.37.721,0.356,-12.317,-7.012,2.744
1718554597731,2024-06-16T19.16.37.731,0.366,-13.476,-7.195,2.073
1718554597740,2024-06-16T19.16.37.740,0.375,-13.841,-9.878,0.854
1718554597750,2024-06-16T19.16.37.750,0.385,-13.537,-15.061,-0.122
1718554597761,2024-06-16T19.16.37.761,0.396,-14.146,-20.244,0.305
1718554597771,2024-06-16T19.16.37.771,0.406,-15.000,-24.207,1.951
1718554597780,2024-06-16T19.16.37.780,0.415,-16.159,-28.598,2.561
1718554597790,2024-06-16T19.16.37.790,0.425,-18.963,-33.415,3.293
1718554597800,2024-06-16T19.16.37.800,0.435,-22.500,-35.976,5.915
1718554597810,2024-06-16T19.16.37.810,0.445,-25.976,-36.585,8.963
1718554597819,2024-06-16T19.16.37.819,0.454,-29.939,-32.988,12.805
1718554597829,2024-06-16T19.16.37.829,0.464,-29.512,-36.280,16.220
1718554597840,2024-06-16T19.16.37.840,0.475,-28.659,-48.293,16.585
1718554597850,2024-06-16T19.16.37.850,0.485,-30.915,-68.354,13.415
1718554597859,2024-06-16T19.16.37.859,0.494,-36.829,-87.134,11.037
1718554597869,2024-06-16T19.16.37.869,0.504,-40.366,-92.378,11.341
1718554597879,2024-06-16T19.16.37.879,0.514,-35.122,-82.805,13.110
1718554597888,2024-06-16T19.16.37.888,0.523,-27.866,-67.561,14.817
1718554597898,2024-06-16T19.16.37.898,0.533,-24.878,-58.171,10.610
1718554597909,2024-06-16T19.16.37.909,0.544,-23.902,-65.732,7.744
1718554597919,2024-06-16T19.16.37.919,0.554,-27.378,-90.000,8.659
1718554597928,2024-06-16T19.16.37.928,0.563,-32.622,-117.195,-0.244
1718554597938,2024-06-16T19.16.37.938,0.573,-34.390,-131.585,-9.695
1718554597948,2024-06-16T19.16.37.948,0.583,-29.268,-115.793,-8.171
1718554597958,2024-06-16T19.16.37.958,0.593,-12.561,-79.207,-7.134
