epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1718566524085,2024-06-16T22.35.24.085,0.000,-0.053,-0.114,0.042
1718566524095,2024-06-16T22.35.24.095,0.010,-0.053,-0.114,0.047
1718566524105,2024-06-16T22.35.24.105,0.020,-0.048,-0.116,0.044
1718566524115,2024-06-16T22.35.24.115,0.030,-0.053,-0.119,0.047
1718566524124,2024-06-16T22.35.24.124,0.039,-0.049,-0.121,0.043
1718566524134,2024-06-16T22.35.24.134,0.049,-0.037,-0.119,0.037
1718566524145,2024-06-16T22.35.24.145,0.060,-0.034,-0.118,0.037
1718566524155,2024-06-16T22.35.24.155,0.070,-0.037,-0.117,0.042
1718566524164,2024-06-16T22.35.24.164,0.079,-0.039,-0.118,0.042
1718566524174,2024-06-16T22.35.24.174,0.089,-0.049,-0.118,0.036
1718566524184,2024-06-16T22.35.24.184,0.099,-0.049,-0.117,0.032
1718566524195,2024-06-16T22.35.24.195,0.110,-0.033,-0.117,0.030
1718566524203,2024-06-16T22.35.24.203,0.118,-0.026,-0.117,0.031
1718566524214,2024-06-16T22.35.24.214,0.129,-0.028,-0.117,0.034
1718566524224,2024-06-16T22.35.24.224,0.139,-0.031,-0.116,0.033
1718566524234,2024-06-16T22.35.24.234,0.149,-0.034,-0.115,0.032
1718566524243,2024-06-16T22.35.24.243,0.158,-0.031,-0.117,0.031
1718566524253,2024-06-16T22.35.24.253,0.168,-0.029,-0.118,0.027
1718566524263,2024-06-16T22.35.24.263,0.178,-0.028,-0.119,0.026
1718566524272,2024-06-16T22.35.24.272,0.187,-0.023,-0.117,0.029
1718566524282,2024-06-16T22.35.24.282,0.197,-0.021,-0.118,0.029
1718566524293,2024-06-16T22.35.24.293,0.208,-0.030,-0.118,0.026
1718566524303,2024-06-16T22.35.24.303,0.218,-0.028,-0.118,0.025
1718566524312,2024-06-16T22.35.24.312,0.227,-0.019,-0.120,0.024
1718566524322,2024-06-16T22.35.24.322,0.237,-0.018,-0.122,0.023
1718566524332,2024-06-16T22.35.24.332,0.247,-0.021,-0.122,0.022
1718566524343,2024-06-16T22.35.24.343,0.258,-0.023,-0.120,0.021
1718566524351,2024-06-16T22.35.24.351,0.266,-0.021,-0.119,0.023
1718566524362,2024-06-16T22.35.24.362,0.277,-0.016,-0.120,0.024
1718566524372,2024-06-16T22.35.24.372,0.287,-0.015,-0.121,0.024
1718566524382,2024-06-16T22.35.24.382,0.297,-0.018,-0.120,0.024
1718566524391,2024-06-16T22.35.24.391,0.306,-0.016,-0.119,0.026
1718566524401,2024-06-16T22.35.24.401,0.316,-0.012,-0.120,0.025
1718566524411,2024-06-16T22.35.24.411,0.326,-0.012,-0.120,0.026
1718566524422,2024-06-16T22.35.24.422,0.337,-0.015,-0.119,0.026
1718566524430,2024-06-16T22.35.24.430,0.345,-0.021,-0.118,0.027
1718566524441,2024-06-16T22.35.24.441,0.356,-0.020,-0.120,0.026
1718566524451,2024-06-16T22.35.24.451,0.366,-0.016,-0.121,0.026
1718566524461,2024-06-16T22.35.24.461,0.376,-0.014,-0.122,0.028
