epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1718725810232,2024-06-18T18.50.10.232,0.000,7.500,5.915,22.378
1718725810242,2024-06-18T18.50.10.242,0.010,7.012,2.256,22.317
1718725810251,2024-06-18T18.50.10.251,0.019,2.744,-14.756,23.171
1718725810261,2024-06-18T18.50.10.261,0.029,-2.439,-36.890,25.183
1718725810271,2024-06-18T18.50.10.271,0.039,-6.890,-47.866,27.744
1718725810282,2024-06-18T18.50.10.282,0.050,-10.183,-44.756,30.122
1718725810290,2024-06-18T18.50.10.290,0.058,-10.915,-28.963,32.134
1718725810301,2024-06-18T18.50.10.301,0.069,-9.573,-5.671,33.902
1718725810311,2024-06-18T18.50.10.311,0.079,-9.939,10.549,34.207
1718725810321,2024-06-18T18.50.10.321,0.089,-12.866,3.598,33.598
1718725810330,2024-06-18T18.50.10.330,0.098,-16.585,-20.061,32.439
1718725810340,2024-06-18T18.50.10.340,0.108,-30.732,-44.573,39.695
1718725810350,2024-06-18T18.50.10.350,0.118,-32.317,-71.646,42.256
1718725810359,2024-06-18T18.50.10.359,0.127,-20.671,-87.988,22.317
1718725810369,2024-06-18T18.50.10.369,0.137,-13.354,-70.793,12.805
1718725810380,2024-06-18T18.50.10.380,0.148,-1.585,-48.598,3.780
1718725810390,2024-06-18T18.50.10.390,0.158,-33.293,-36.585,28.049
1718725810399,2024-06-18T18.50.10.399,0.167,-4.451,-22.744,26.159
1718725810409,2024-06-18T18.50.10.409,0.177,-8.232,-20.732,16.585
1718725810419,2024-06-18T18.50.10.419,0.187,-12.927,-32.256,23.110
1718725810430,2024-06-18T18.50.10.430,0.198,-7.866,-38.780,20.427
1718725810438,2024-06-18T18.50.10.438,0.206,-7.866,-33.598,22.378
1718725810449,2024-06-18T18.50.10.449,0.217,-7.256,-20.610,22.500
1718725810459,2024-06-18T18.50.10.459,0.227,-4.512,-3.902,18.232
1718725810469,2024-06-18T18.50.10.469,0.237,-2.561,10.183,14.695
1718725810478,2024-06-18T18.50.10.478,0.246,-4.085,11.646,11.463
1718725810488,2024-06-18T18.50.10.488,0.256,-4.085,1.951,8.415
1718725810498,2024-06-18T18.50.10.498,0.266,-6.159,-16.707,8.841
1718725810509,2024-06-18T18.50.10.509,0.277,-10.793,-41.585,8.110
1718725810517,2024-06-18T18.50.10.517,0.285,-13.963,-59.512,4.268
1718725810528,2024-06-18T18.50.10.528,0.296,-15.305,-60.427,1.037
1718725810538,2024-06-18T18.50.10.538,0.306,-14.451,-46.524,-1.037
1718725810548,2024-06-18T18.50.10.548,0.316,-10.976,-23.841,-5.610
1718725810557,2024-06-18T18.50.10.557,0.325,-3.598,4.512,-11.707
1718725810567,2024-06-18T18.50.10.567,0.335,4.390,32.927,-17.683
1718725810577,2024-06-18T18.50.10.577,0.345,10.244,52.927,-22.500
1718725810586,2024-06-18T18.50.10.586,0.354,13.476,47.134,-24.146
1718725810597,2024-06-18T18.50.10.597,0.365,15.854,16.402,-27.012
1718725810607,2024-06-18T18.50.10.607,0.375,16.951,-19.146,-31.159
1718725810617,2024-06-18T18.50.10.617,0.385,17.561,-40.732,-34.573
1718725810626,2024-06-18T18.50.10.626,0.394,16.951,-45.915,-37.256
1718725810636,2024-06-18T18.50.10.636,0.404,16.524,-38.476,-40.488
1718725810646,2024-06-18T18.50.10.646,0.414,18.171,-18.598,-44.878
1718725810657,2024-06-18T18.50.10.657,0.425,20.488,10.427,-49.817
1718725810665,2024-06-18T18.50.10.665,0.433,23.902,42.927,-54.573
1718725810676,2024-06-18T18.50.10.676,0.444,26.951,64.695,-56.707
1718725810686,2024-06-18T18.50.10.686,0.454,27.561,57.622,-58.293
1718725810696,2024-06-18T18.50.10.696,0.464,28.476,37.378,-57.317
1718725810705,2024-06-18T18.50.10.705,0.473,28.354,23.780,-56.768
1718725810715,2024-06-18T18.50.10.715,0.483,27.134,12.561,-57.622
1718725810725,2024-06-18T18.50.10.725,0.493,27.134,3.720,-56.768
1718725810736,2024-06-18T18.50.10.736,0.504,27.195,4.939,-55.183
1718725810744,2024-06-18T18.50.10.744,0.512,27.561,13.902,-53.720
1718725810755,2024-06-18T18.50.10.755,0.523,28.171,24.390,-52.195
1718725810765,2024-06-18T18.50.10.765,0.533,29.451,33.841,-51.707
1718725810775,2024-06-18T18.50.10.775,0.543,30.244,38.537,-51.341
1718725810784,2024-06-18T18.50.10.784,0.552,29.939,36.280,-50.915
1718725810794,2024-06-18T18.50.10.794,0.562,29.146,31.402,-49.695
1718725810805,2024-06-18T18.50.10.805,0.573,27.256,27.378,-48.171
