x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.447068684,0.346590621,0.596937398,0.552153124,0.558397908,0.609929637,0.292761266,1
0.454863557,0.336215444,0.591037007,0.541414064,0.555423632,0.629666367,0.296173157,1
0.465560881,0.325150233,0.583980528,0.529765358,0.55125866,0.649681343,0.300047223,1
0.479054472,0.31357256,0.575929815,0.517392245,0.546086805,0.669629978,0.304417616,1
0.495104187,0.301688788,0.567084287,0.504510404,0.540169917,0.689162488,0.309291529,1
0.513343079,0.289727318,0.557667258,0.491354133,0.533835162,0.707936879,0.314643245,1
0.533292721,0.277930867,0.547911781,0.478162297,0.527454511,0.725631125,0.320409645,1
0.554386107,0.266548267,0.538047644,0.465163257,0.521417834,0.74195392,0.326487622,1
0.575996852,0.255826289,0.528290844,0.452560265,0.516102043,0.75665349,0.332733752,1
0.597472681,0.246001956,0.518836331,0.44051891,0.511839457,0.769524148,0.338966448,1
0.618170549,0.237295673,0.509854044,0.429157985,0.508888865,0.780410352,0.34497067,1
0.637490367,0.229905395,0.501487552,0.418544831,0.507412591,0.789208216,0.350505118,1
0.654904301,0.224001915,0.493854289,0.408695622,0.50746226,0.795864485,0.355311652,1
0.669979044,0.219725256,0.487046392,0.399580448,0.508974994,0.800373177,0.359126579,1
0.682389301,0.217182078,0.481131529,0.391132477,0.511780581,0.802770184,0.361693283,1
0.691921839,0.216444011,0.476153545,0.383259954,0.51561889,0.803126276,0.362775621,1
0.698470499,0.217546895,0.472133212,0.375859594,0.520165627,0.801539095,0.362171413,1
0.702023509,0.220490977,0.469069744,0.368829884,0.525063536,0.798124745,0.359725379,1
0.702645,0.225242197,0.466943911,0.362083085,0.529955561,0.793009646,0.355340829,1
0.700453061,0.231734646,0.465723366,0.355555169,0.534516331,0.786323206,0.348989514,1
0.695596993,0.239874281,0.465370302,0.349213399,0.538478728,0.778191769,0.340719077,1
0.688236748,0.249543792,0.465850768,0.343061733,0.541653087,0.768734139,0.33065766,1
0.678527615,0.260608429,0.467144248,0.337144414,0.543937816,0.758058787,0.319015329,1
0.666612739,0.272922468,0.469251544,0.331548126,0.545321403,0.746262718,0.306082099,1
0.652624739,0.286335948,0.472198909,0.32640279,0.545876858,0.733431789,0.292222503,1
0.636695823,0.30070136,0.47603696,0.321880825,0.545750304,0.719642155,0.27786674,1
0.618974063,0.315879912,0.480834012,0.318194385,0.545145708,0.704962421,0.263498647,1
0.599642632,0.331747028,0.486664712,0.315590058,0.544307722,0.689455992,0.249640799,1
0.578938666,0.348196797,0.493595711,0.31434053,0.543504322,0.673183203,0.236837239,1
0.557168797,0.36514517,0.501670323,0.314732967,0.543010483,0.656202889,0.225634415,1
0.53471888,0.382531738,0.510893898,0.31705417,0.543093629,0.638573277,0.216561008,1
0.512055996,0.400319974,0.521221219,0.321572931,0.544001148,0.62035224,0.210107425,1
0.489721609,0.418495719,0.53254683,0.328520472,0.545949902,0.601597132,0.20670576,1
0.4683157,0.437063769,0.544698921,0.338070191,0.549117533,0.582364473,0.206711061,1
0.448472709,0.456042542,0.557437253,0.350318264,0.553635252,0.562709783,0.210384714,1
0.430830955,0.475456997,0.570455662,0.365266787,0.559581817,0.542687785,0.217880706,1
0.415997973,0.495330325,0.58338976,0.382811155,0.566978517,0.522353094,0.229235446,1
0.404514718,0.515675126,0.595830251,0.402733184,0.575785229,0.501761396,0.244361696,1
0.396821783,0.536485008,0.607341723,0.424701157,0.585897976,0.480971037,0.263047014,1
0.393230561,0.557727504,0.617485993,0.448277406,0.597148729,0.4600449,0.284956937,1
0.393901693,0.579339081,0.625848231,0.472933485,0.609308302,0.439052434,0.309642952,1
0.398832334,0.601222767,0.632063575,0.498072255,0.622092908,0.418071719,0.336555074,1
0.407852941,0.623248642,0.63584185,0.523055577,0.635174535,0.397191409,0.365058675,1
0.420633434,0.645257089,0.636988343,0.547235728,0.648194752,0.376512414,0.394455023,1
0.436697919,0.667064366,0.635419035,0.569988275,0.660781189,0.356149134,0.42400478,1
0.455446595,0.688469662,0.631169199,0.590743954,0.672565635,0.336230054,0.452953603,1
0.476183148,0.70926263,0.624394637,0.609017223,0.683202468,0.316897516,0.480558869,1
0.498145647,0.729230326,0.615365213,0.624429508,0.692385804,0.298306502,0.506116444,1
0.52053903,0.748162759,0.604450988,0.636725635,0.69986356,0.280622305,0.528986429,1
0.542567603,0.765856597,0.59210196,0.645782627,0.705446695,0.264017041,0.548616795,1
0.563466542,0.782116987,0.578823237,0.651610683,0.709012443,0.248665044,0.564563899,1
0.582531815,0.796757786,0.565147996,0.654346915,0.710501409,0.234737321,0.57650896,1
0.59914813,0.8096007,0.551610747,0.654243052,0.709909667,0.2223953,0.584269732,1
0.61281438,0.820474027,0.538723195,0.651648815,0.707278137,0.211784227,0.587806789,1
0.623165638,0.829211861,0.526954531,0.646992837,0.702681983,0.203026521,0.587224033,1
0.629990168,0.835654661,0.516717278,0.640762848,0.69622256,0.196215433,0.582763306,1
0.63323941,0.839652012,0.508359082,0.633486412,0.688023379,0.191409315,0.574793212,1
0.633028778,0.841068082,0.50215992,0.625712855,0.678230147,0.188626818,0.56379253,1
0.629627645,0.839789779,0.498333398,0.617996423,0.667013601,0.187843373,0.55032886,1
0.62343806,0.835737037,0.497030284,0.610880242,0.654573004,0.188989362,0.535033372,1
0.614963322,0.828874165,0.498342369,0.604880464,0.641138092,0.19195036,0.518572764,1
0.604769173,0.819220893,0.502305083,0.600470065,0.626967891,0.196569766,0.501619686,1
0.59344173,0.806861773,0.508897755,0.598062091,0.612345882,0.202653969,0.48482301,1
0.581546924,0.791952781,0.51804095,0.597992565,0.597571934,0.209979921,0.468779388,1
0.569595925,0.774724321,0.529590926,0.600503736,0.582952089,0.218304693,0.454007492,1
0.558019781,0.755480187,0.543332067,0.605728687,0.568787331,0.227376307,0.440926261,1
0.547154721,0.734592284,0.558968987,0.613678629,0.55536223,0.236944957,0.429838272,1
0.537237764,0.712491109,0.576120539,0.624234293,0.542933902,0.246773699,0.420919119,1
0.528410967,0.689652137,0.594318026,0.637142772,0.531721476,0.256647797,0.414213363,1
0.520732026,0.666578459,0.613009414,0.652021026,0.521896297,0.266382182,0.409637259,1
0.514189095,0.643780276,0.631570731,0.668366883,0.513573433,0.275826772,0.406988083,1
0.508718134,0.621752201,0.649325066,0.685577969,0.506805607,0.28486966,0.405959494,1
0.504221456,0.600949667,0.6655688,0.702978434,0.501581097,0.293438371,0.406162007,1
0.500586118,0.581766037,0.679603631,0.719852717,0.497827245,0.301499451,0.407147343,1
0.497700552,0.564512227,0.690771797,0.735484872,0.49542081,0.309056606,0.408435191,1
0.495467637,0.549400637,0.698491013,0.74920116,0.494205321,0.31614752,0.409540775,1
0.493812391,0.536534992,0.702285416,0.760412823,0.494014097,0.322839366,0.410001588,1
0.492682869,0.525907196,0.701809412,0.768655341,0.494695902,0.329222968,0.409401749,1
0.492043866,0.51740165,0.696862613,0.773620182,0.496138907,0.335405638,0.407392615,1
0.491864544,0.510806704,0.687395735,0.775175275,0.498288177,0.341502822,0.403708577,1
0.492102706,0.505832209,0.673508822,0.773371356,0.501152633,0.347628889,0.398177323,1
0.492689475,0.502131602,0.655444168,0.768432786,0.504799151,0.353887613,0.390724237,1
0.493518066,0.499326607,0.633576478,0.760733334,0.509333985,0.360363012,0.38137103,1
0.494439386,0.497032571,0.608402017,0.750759427,0.514874239,0.367111316,0.370229044,1
0.495265653,0.494882491,0.580527235,0.73906516,0.521514157,0.374154799,0.357488036,1
0.495781615,0.492548063,0.550655921,0.726224549,0.529292098,0.381478096,0.343401439,1
0.495761629,0.489756461,0.519573113,0.712786824,0.538163923,0.389027456,0.328269309,1
0.494989826,0.486302118,0.488123971,0.699239968,0.547987351,0.3967131,0.31242015,1
0.493280049,0.482053311,0.457186556,0.685986134,0.558519813,0.404414605,0.296192829,1
0.490492344,0.476953858,0.427638623,0.67333051,0.56943003,0.411988941,0.279919608,1
0.486543631,0.471020457,0.400319748,0.661482962,0.580321421,0.419280561,0.26391117,1
0.481411581,0.464336269,0.37599111,0.65056991,0.590763755,0.426132767,0.248444267,1
0.47513214,0.45704132,0.355295953,0.640652698,0.600328569,0.432399439,0.233752367,1
0.467792156,0.44932025,0.338723997,0.631748306,0.608623617,0.437956144,0.220019462,1
0.459519254,0.441388093,0.326583014,0.623848671,0.615322115,0.442709638,0.207376959,1
0.450471187,0.433474862,0.318980261,0.616935826,0.620183716,0.446604863,0.19590343,1
0.44082653,0.425809886,0.315815715,0.610991302,0.623065726,0.449628735,0.185626857,1
0.430777695,0.418606815,0.316787978,0.605999542,0.623924805,0.451810354,0.176528942,1
0.420526291,0.412050156,0.32141266,0.601946125,0.622810824,0.453217643,0.168551018,1
0.410279935,0.406284078,0.329052124,0.598812316,0.619855322,0.453950824,0.161601098,1
0.400248944,0.40140417,0.338954712,0.596567792,0.615256978,0.454133495,0.155561641,1
0.390641205,0.397452745,0.350301065,0.595163335,0.609265962,0.453902311,0.150297657,1
0.381654142,0.394418165,0.362254562,0.594525036,0.602168157,0.453396378,0.145664811,1
0.373463966,0.392238355,0.374012415,0.594551103,0.594269744,0.452747432,0.14151727,1
0.366213761,0.390808333,0.384853712,0.595111914,0.585882404,0.45207167,0.137715039,1
0.360002809,0.389991117,0.394180752,0.596053446,0.577309578,0.451463818,0.134130631,1
0.354879605,0.38963101,0.401550732,0.597203746,0.568834369,0.450993691,0.130654887,1
0.350840182,0.389568042,0.406695882,0.598381757,0.56070959,0.450705202,0.127201835,1
0.34783202,0.389652327,0.40953151,0.599407492,0.553150128,0.450617563,0.123712495,1
0.34576247,0.389757234,0.410152531,0.600112498,0.546327292,0.450728272,0.120157557,1
0.344509858,0.389790471,0.408819771,0.600349581,0.54036455,0.451017454,0.116538892,1
0.343935347,0.389702428,0.40593758,0.600001008,0.535334144,0.451453103,0.112889906,1
0.343894143,0.389491407,0.402024314,0.598984665,0.531254494,0.451996812,0.109274751,1
0.344245252,0.389205581,0.397677335,0.597257888,0.52808885,0.452609654,0.105786472,1
0.34485945,0.388941739,0.393534404,0.594818888,0.525745956,0.453257885,0.102544184,1
0.34562517,0.388841004,0.390233588,0.59170579,0.524083401,0.453918229,0.099689397,1
0.346451993,0.389081867,0.38837412,0.587993432,0.522913812,0.454582496,0.097381643,1
0.347271498,0.389870915,0.38848074,0.583788169,0.522013394,0.45526138,0.095793567,1
0.348035588,0.39143172,0.390973958,0.579221087,0.521131732,0.455987277,0.095105638,1
0.348713095,0.393992405,0.396148238,0.574440204,0.52000162,0.456816042,0.095500659,1
0.349286049,0.397772475,0.404159333,0.56960236,0.51834793,0.4578276,0.097158212,1
0.349747277,0.402969631,0.415021027,0.56486552,0.515895221,0.459125329,0.100249219,1
0.350100643,0.409747302,0.428610699,0.560382158,0.512374452,0.460834148,0.104930701,1
0.350364397,0.41822367,0.444682376,0.55629415,0.507529763,0.463097219,0.111340892,1
0.350576919,0.428462944,0.462885526,0.55272929,0.501126337,0.466071265,0.119594765,1
0.3508031,0.440469576,0.48278771,0.549799188,0.492960082,0.469920573,0.129780066,1
0.351138908,0.454185978,0.503899363,0.547598026,0.482869102,0.474809885,0.141953915,1
0.351711762,0.469494003,0.525699359,0.546201506,0.470746177,0.48089651,0.156140018,1
0.352675043,0.486220124,0.547660306,0.545665391,0.456550671,0.488322061,0.172326536,1
0.354196408,0.504143864,0.569272668,0.546023256,0.440317982,0.497204276,0.190464643,1
0.356441074,0.523008726,0.590066727,0.547283417,0.422164655,0.507629359,0.210467808,1
0.359552626,0.542534708,0.609631305,0.549425343,0.402287959,0.519645221,0.232211826,1
0.363634899,0.562431359,0.627628214,0.552396188,0.380959662,0.53325592,0.255535609,1
0.36873862,0.582410445,0.643801621,0.556108234,0.358514975,0.54841754,0.280242764,1
0.374855789,0.602197381,0.657981826,0.560438074,0.335338509,0.565035699,0.306103948,1
0.381923303,0.621540794,0.670083328,0.565228167,0.311849658,0.582964785,0.332859989,1
0.389835503,0.640219738,0.680097359,0.570291148,0.288489547,0.602008996,0.360225731,1
0.398463547,0.658048205,0.688079486,0.575416871,0.265711032,0.621925148,0.38789455,1
