x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.068905049,0.285552793,0.188865673,0.319134959,0.258126565,0.388319734,0.082210933,1
0.108477159,0.289538526,0.195924342,0.319070925,0.262520934,0.399316604,0.089307177,1
0.148591685,0.293923289,0.204531051,0.320258833,0.269741792,0.411651173,0.098024184,1
0.188080795,0.298573425,0.214762779,0.32292122,0.279962784,0.425188794,0.108422638,1
0.225788179,0.303327057,0.226657464,0.327249199,0.293244182,0.439760632,0.120525121,1
0.260643778,0.308001054,0.240206331,0.33339125,0.309526177,0.455172989,0.134314373,1
0.291733282,0.312399767,0.255346972,0.341444492,0.328632162,0.471217699,0.149733248,1
0.318355055,0.316324811,0.271958077,0.351449238,0.350281672,0.487682547,0.166686278,1
0.340058744,0.319585131,0.289856796,0.3633872,0.374111006,0.504360847,0.18504261,1
0.356662335,0.322006839,0.308799506,0.377183209,0.399698316,0.521059539,0.204640085,1
0.368247262,0.323442352,0.328486457,0.392709843,0.42658953,0.537605463,0.225290103,1
0.375133705,0.323778436,0.348570322,0.409794083,0.454321841,0.553849681,0.246782975,1
0.377840243,0.322942675,0.368668319,0.428225061,0.482442462,0.569669903,0.268893445,1
0.37703337,0.320907887,0.388377349,0.447762084,0.510521632,0.584971151,0.291386105,1
0.373472762,0.317694061,0.407291445,0.468142444,0.538160187,0.599684899,0.314020501,1
0.367957761,0.313367579,0.425020667,0.489088786,0.564992909,0.613766909,0.336555761,1
0.36127927,0.308037758,0.441210361,0.510316056,0.590689368,0.627194081,0.358754657,1
0.354179766,0.301851042,0.45555938,0.531538113,0.614953827,0.639960588,0.380387057,1
0.347322521,0.294983395,0.467835661,0.552474038,0.637525304,0.652073622,0.401232793,1
0.341269916,0.287631581,0.477887495,0.572854049,0.658178208,0.663549051,0.421083982,1
0.336469956,0.28000401,0.485649168,0.592424839,0.67672334,0.674407242,0.439746889,1
0.333249788,0.272311767,0.49114019,0.610954065,0.693008678,0.684669241,0.457043439,1
0.33181512,0.264760288,0.494458172,0.628233731,0.706919288,0.694353421,0.472812467,1
0.332254644,0.257542017,0.495766219,0.644082274,0.718375876,0.703472623,0.486910832,1
0.334548738,0.25083013,0.495276395,0.658345298,0.727331885,0.712031745,0.499214476,1
0.338581814,0.244773262,0.493231221,0.67089506,0.733769505,0.720025756,0.509619509,1
0.344157808,0.239491089,0.489885261,0.68162903,0.737695301,0.727438208,0.518043378,1
0.351018317,0.235070777,0.485488634,0.690467936,0.739136496,0.734240402,0.524426132,1
0.35886286,0.231564519,0.480273855,0.697353779,0.738138919,0.740391508,0.528731787,1
0.367370348,0.22898869,0.474446799,0.702248188,0.734767385,0.745839872,0.530949727,1
0.376220442,0.227325293,0.468181953,0.705131254,0.729108697,0.750525602,0.531096091,1
