x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.61113767,0.505428138,0.791382228,0.645617743,0.3783885,0.578837623,0.529066159,1
0.616853312,0.522902185,0.802132582,0.649684857,0.374256265,0.584493663,0.547582574,1
0.624468234,0.54335285,0.815457179,0.655318502,0.3693084,0.591214472,0.56970608,1
0.634029191,0.566614672,0.831227556,0.662757066,0.363681935,0.599015246,0.595304068,1
0.645519515,0.592386142,0.849167347,0.672206132,0.357589698,0.607869901,0.62410142,1
0.65884768,0.620230546,0.868846117,0.683821959,0.351322612,0.61770634,0.655678133,1
0.67383693,0.649584666,0.889682008,0.69769469,0.345245369,0.628404239,0.689473324,1
0.690217311,0.67977546,0.910954449,0.713832272,0.339784035,0.639795814,0.724795933,1
0.707621689,0.710044192,0.93182743,0.732146316,0.335404926,0.651669712,0.760842085,1
0.725587428,0.7395769,0.951383033,0.752441183,0.332585105,0.663777925,0.796718707,1
0.74356528,0.767539436,0.968663953,0.774407572,0.33177605,0.675845241,0.831472596,1
0.760936578,0.793114754,0.982722942,0.797621778,0.333363236,0.687580523,0.864123782,1
0.777039048,0.815539765,0.992676298,0.821551517,0.337625256,0.698688805,0.893701711,1
0.791200553,0.834138946,0.997757915,0.845568901,0.34469668,0.708883106,0.919282539,1
0.802779032,0.848352151,0.997369953,0.868970679,0.354538901,0.717894856,0.940025686,1
0.811205963,0.857754732,0.99112603,0.891005318,0.366922837,0.725481984,0.955207766,1
0.81602993,0.862069018,0.978883085,0.910905896,0.381426534,0.731434053,0.964252128,1
0.816956306,0.861167186,0.960758751,0.927927082,0.397449401,0.735574215,0.966752416,1
0.813878837,0.855066481,0.937132101,0.941383884,0.414243248,0.737758168,0.962488916,1
0.806899069,0.84391824,0.908626999,0.950689346,0.4309584,0.737870665,0.951436814,1
0.796330355,0.827992416,0.876078806,0.955388133,0.446701301,0.735820412,0.933765983,1
0.782684464,0.807659136,0.840486833,0.955183031,0.46059834,0.731534384,0.909832379,1
0.766640611,0.783368604,0.802956349,0.949951872,0.471859479,0.724952651,0.880161589,1
0.748998756,0.755630386,0.764635095,0.939753292,0.479834979,0.716024782,0.845425508,1
0.730621251,0.724992917,0.726649669,0.924820808,0.484059311,0.704708716,0.806413495,1
0.712368719,0.692024037,0.690046927,0.905545901,0.48427813,0.690972652,0.763999585,1
0.695037087,0.65729328,0.655744548,0.882451787,0.480456601,0.674800157,0.719107532,1
0.679302401,0.621356553,0.624493502,0.856160244,0.472769738,0.656198172,0.672675483,1
