x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.418043132,0.324627459,0.627374856,0.39251651,0.309561456,0.34567494,0.142541608,1
0.420726618,0.317062571,0.654731577,0.402757475,0.293980225,0.340703613,0.154338493,1
0.423187567,0.309636257,0.68066494,0.415296129,0.278805844,0.335099794,0.16682035,1
0.425360463,0.302446425,0.704806055,0.430051366,0.264141602,0.328883853,0.179797006,1
0.427176185,0.295577873,0.726835579,0.446855673,0.250048126,0.322107376,0.193054103,1
0.428569293,0.289100083,0.746493169,0.465459652,0.236544374,0.314853311,0.206359419,1
0.42948684,0.283066668,0.763583957,0.485541363,0.223612288,0.307233198,0.219470048,1
0.429897536,0.277516508,0.777981748,0.506719573,0.211204315,0.299381588,0.232140162,1
0.429799923,0.272476234,0.789628821,0.528569722,0.199252842,0.291448205,0.244129041,1
0.429228413,0.267963573,0.798532565,0.550641342,0.187680519,0.283588686,0.255209047,1
0.428256292,0.263990939,0.804759339,0.572475746,0.17641048,0.27595487,0.26517325,1
0.42699524,0.26056868,0.80842621,0.593622965,0.165375623,0.268685627,0.2738424,1
0.425591389,0.257707519,0.809691265,0.613657104,0.154526225,0.26189906,0.281070994,1
0.424218398,0.255419916,0.808743294,0.632189514,0.143835392,0.255686648,0.286752227,1
0.423068298,0.253720293,0.805791576,0.648879444,0.133302021,0.2501096,0.29082165,1
0.422341081,0.25262428,0.801056506,0.663442059,0.122951246,0.245197396,0.29325941,1
0.422234078,0.252147278,0.794761596,0.675653973,0.11283264,0.240948264,0.29409101,1
0.422932115,0.252302651,0.787127269,0.685356648,0.103016703,0.237331181,0.293386562,1
0.424599226,0.253099824,0.778366552,0.692458157,0.093590402,0.234288981,0.291258578,1
0.427372392,0.254542482,0.768682576,0.696933799,0.084652566,0.231742162,0.287858363,1
0.431357408,0.256627029,0.758267563,0.698825963,0.076309833,0.229593129,0.283371168,1
0.436626661,0.259341479,0.747302836,0.698243327,0.06867358,0.227730714,0.278010242,1
0.443218351,0.26266498,0.735959297,0.695359193,0.061857812,0.226034959,0.272010032,1
0.451136587,0.26656816,0.724397857,0.690408496,0.055977665,0.224382219,0.265618748,1
0.460351889,0.271014412,0.71276933,0.683682882,0.051147843,0.222650614,0.259090575,1
0.470801829,0.275962045,0.701213448,0.675523353,0.047480372,0.220725815,0.252677822,1
0.482391928,0.281367094,0.689856816,0.666310152,0.045081192,0.218507001,0.246623288,1
0.494997179,0.287186473,0.678809841,0.656449947,0.044045546,0.215912641,0.24115314,1
0.508464728,0.293381125,0.668162866,0.646360768,0.044452463,0.212885701,0.236470568,1
0.522618228,0.299918847,0.657981944,0.636455487,0.046358962,0.209397789,0.232750438,1
0.537264056,0.306776537,0.648304798,0.627124928,0.049794728,0.205451816,0.230135164,1
0.552199273,0.313941697,0.639137533,0.618721737,0.054758019,0.201082882,0.228731904,1
0.567220757,0.321413084,0.630452599,0.61154606,0.061213345,0.196357261,0.228611187,1
0.58213471,0.329200516,0.622188362,0.605833883,0.069091222,0.191369541,0.229806975,1
0.596765603,0.337323876,0.61425048,0.60174861,0.078289985,0.186238184,0.232318104,1
0.610963763,0.34581141,0.606515122,0.599376212,0.088679409,0.181099835,0.236111001,1
0.624611071,0.354697509,0.598833915,0.598724042,0.100105758,0.176102796,0.241123497,1
0.637624559,0.364020139,0.591040331,0.59972323,0.11239786,0.171400082,0.247269521,1
0.649957962,0.37381814,0.582957145,0.602234393,0.12537388,0.16714242,0.254444415,1
0.661601461,0.384128557,0.574404527,0.606056279,0.138848484,0.163471529,0.2625306,1
0.672579828,0.394984141,0.565208339,0.610936836,0.152640104,0.16051396,0.271403285,1
0.682949162,0.406411132,0.555208289,0.616586049,0.166577988,0.158375742,0.280935972,1
0.692792318,0.418427383,0.544265675,0.622689833,0.180508623,0.157138049,0.29100547,1
0.702213129,0.431040834,0.532270518,0.628924199,0.194301084,0.15685406,0.301496218,1
0.711329537,0.444248268,0.519147892,0.634969012,0.207850901,0.157547169,0.312303733,1
0.72026593,0.458034233,0.504863188,0.640520737,0.221082149,0.15921063,0.323337082,1
0.729145136,0.472370065,0.489426038,0.645303743,0.233947713,0.161808664,0.3345203,1
0.738080651,0.487213043,0.472892534,0.64907982,0.246427904,0.165278959,0.3457928,1
0.747169706,0.502505826,0.455365446,0.651655639,0.258527775,0.169536422,0.357108804,1
0.756487597,0.518176409,0.436992197,0.652887939,0.27027351,0.174478002,0.368435958,1
0.766083501,0.534138802,0.417960566,0.65268626,0.281708211,0.179988351,0.379753283,1
0.775977773,0.55029459,0.398492293,0.651013127,0.292887248,0.185946065,0.391048659,1
0.786160581,0.566535381,0.378834992,0.647881669,0.303873294,0.192230182,0.402316074,1
0.796591771,0.58274597,0.359252926,0.643350882,0.314731133,0.198726634,0.41355285,1
0.807201973,0.59880785,0.3400173,0.637518929,0.325522454,0.20533428,0.424757043,1
0.817895135,0.614602605,0.321396783,0.630515083,0.3363009,0.211970194,0.435925196,1
0.828552742,0.630014777,0.303648862,0.622491066,0.347107773,0.2185738,0.447050584,1
0.839039907,0.644933993,0.287012454,0.613612504,0.357968803,0.225109512,0.458122011,1
0.849213285,0.659256389,0.271701926,0.604051066,0.368892355,0.231567514,0.469123215,1
0.858930489,0.672885539,0.257902389,0.593977647,0.379869296,0.2379625,0.480032835,1
0.868060294,0.68573317,0.245766018,0.58355664,0.390874531,0.244330339,0.490824889,1
0.876492623,0.697719896,0.235409175,0.572941219,0.401869936,0.250722925,0.501469639,1
0.884147141,0.7087761,0.226910197,0.56226939,0.412808223,0.257201704,0.511934719,1
0.890979384,0.718842978,0.22030793,0.551660622,0.42363715,0.263830567,0.522186379,1
0.896983634,0.727873712,0.215601211,0.541212955,0.434303529,0.270668831,0.532190697,1
0.902192246,0.735834626,0.212749615,0.531000633,0.444756594,0.277764987,0.541914632,1
0.906671602,0.742706155,0.211675739,0.521072509,0.454950562,0.285151661,0.551326827,1
0.910515282,0.748483314,0.212269154,0.511451599,0.464846424,0.292842132,0.560398071,1
0.913835329,0.753175417,0.214391862,0.50213614,0.474413155,0.300828538,0.569101425,1
0.916752487,0.756804926,0.217884834,0.493102398,0.483628548,0.309081842,0.577411996,1
0.919386293,0.75940564,0.22257507,0.484309109,0.492479765,0.317553465,0.585306423,1
0.921845664,0.76102067,0.228282678,0.475703186,0.500963518,0.326178352,0.592762156,1
0.924220575,0.761700602,0.23482764,0.467226136,0.509085771,0.334879097,0.599756622,1
0.926575282,0.761501933,0.242036016,0.458820691,0.516860933,0.343570678,0.606266409,1
0.928943577,0.760485447,0.249745294,0.450437262,0.524310732,0.352165395,0.612266565,1
0.931326479,0.758714162,0.257808385,0.442039904,0.531463163,0.360577698,0.617730142,1
0.933692563,0.756250804,0.266095663,0.433611303,0.538351827,0.368728671,0.62262806,1
0.935980785,0.753155286,0.274494666,0.425156131,0.545015701,0.376550025,0.626929368,1
0.938105259,0.749482956,0.282907582,0.416702019,0.551498983,0.383987436,0.630601936,1
0.939961277,0.745284112,0.291247306,0.408297623,0.557850417,0.391003073,0.633613584,1
0.941431908,0.74060473,0.299433298,0.400007805,0.56412164,0.397577151,0.635933605,1
0.942394918,0.735487777,0.307388477,0.391906557,0.57036452,0.403708323,0.637534647,1
0.94273004,0.729974336,0.315038052,0.38406876,0.576627933,0.409412782,0.638394837,1
0.942326691,0.724104011,0.322310663,0.376562049,0.582954702,0.414721993,0.638500042,1
0.941091956,0.71791449,0.329141723,0.369439897,0.589379345,0.419679141,0.637846155,1
0.938958141,0.711440514,0.33547851,0.362736663,0.595926973,0.424334519,0.636441232,1
0.935888915,0.704712653,0.341286311,0.35646493,0.602613309,0.428740298,0.634307381,1
0.931883057,0.697756307,0.346554792,0.350615053,0.609445549,0.43294522,0.63148223,1
0.926975138,0.690591234,0.351303761,0.345156577,0.616423694,0.436989782,0.62801989,1
0.921232967,0.683231778,0.355587533,0.340041065,0.623541991,0.440902464,0.623991283,1
0.914752045,0.675687824,0.359497279,0.335205881,0.630790227,0.444697366,0.619483783,1
0.907647709,0.667966368,0.363160955,0.330578536,0.63815474,0.44837351,0.614600107,1
0.900045848,0.660073518,0.366740665,0.326081327,0.645619056,0.451915805,0.60945645,1
0.8920732,0.652016733,0.370427532,0.321636092,0.653164162,0.45529752,0.604179879,1
0.883848215,0.64380705,0.374434389,0.317169004,0.660768439,0.458483916,0.598905038,1
0.875473366,0.63546109,0.37898669,0.312615354,0.668407374,0.461436556,0.59377023,1
