x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.722796482,0.95994398,0,0.564419038,0.571523496,0.782074636,0.793519929,1
0.72811281,0.966364668,0.005443946,0.552794569,0.572143214,0.780543676,0.793205294,1
0.733760439,0.972828964,0.012576859,0.539533067,0.572661716,0.778466718,0.792503938,1
0.739608746,0.979106111,0.021517199,0.524783853,0.573072922,0.775843879,0.791363411,1
0.745513031,0.98495468,0.032337095,0.508752786,0.573385027,0.772704831,0.789743205,1
0.751320937,0.990134037,0.045054857,0.491693857,0.573623103,0.769111111,0.787617962,1
0.756879296,0.994415975,0.059629506,0.473897907,0.573830781,0.765156571,0.784979972,1
0.762040878,0.997595643,0.075957797,0.455679332,0.57407073,0.760965769,0.781840735,1
0.766670573,0.999500976,0.093874185,0.43736169,0.574423776,0.756690285,0.778231433,1
0.77065046,1,0.113154062,0.419263159,0.574986592,0.752503156,0.774202225,1
0.773883357,0.999005587,0.133520459,0.401682718,0.57586799,0.748591776,0.769820393,1
0.776294574,0.99647754,0.154654148,0.384887812,0.57718393,0.745149693,0.765167422,1
0.777831837,0.992422128,0.176206729,0.369104085,0.579051451,0.742367797,0.760335215,1
0.778463631,0.986889353,0.197815924,0.354507631,0.581581792,0.74042543,0.75542168,1
0.778176397,0.97996836,0.219122049,0.341220007,0.584873061,0.739481921,0.750525961,1
0.776971151,0.971781367,0.239784499,0.329306114,0.589002912,0.739669061,0.745743634,1
0.774860096,0.96247649,0.259497146,0.31877489,0.594021737,0.741084914,0.741162153,1
0.771863741,0.952219777,0.278001691,0.309582652,0.599946905,0.743789298,0.736856833,1
0.768008875,0.941186779,0.295098229,0.301638797,0.60675859,0.747801152,0.732887579,1
0.763327643,0.929554055,0.310652537,0.294813509,0.614397593,0.75309789,0.729296562,1
0.757857735,0.917491123,0.324599818,0.288947005,0.622765482,0.759616672,0.72610691,1
0.751643637,0.905153405,0.336944821,0.283859784,0.631727157,0.767257414,0.723322479,1
0.744738737,0.89267667,0.347758431,0.279363291,0.641115829,0.775887245,0.720928633,1
