x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.171553542,0.581824852,0.674827275,0.568329286,0.3002614,0.520833254,0.318078541,1
0.166851496,0.569313528,0.664297456,0.565006358,0.294332103,0.504310586,0.298454766,1
0.161561792,0.55414376,0.653737187,0.561745718,0.288276435,0.485484535,0.276478437,1
0.156004466,0.53630495,0.643437805,0.558711924,0.282370262,0.46455237,0.252485856,1
0.150581018,0.515873056,0.633671911,0.556072382,0.27688945,0.441786193,0.226908057,1
0.145759131,0.493013773,0.62467344,0.553984459,0.272078126,0.417521944,0.200255968,1
0.142051387,0.467981449,0.616621456,0.552581217,0.268113254,0.39214547,0.17310145,1
0.139990384,0.441113447,0.609630373,0.551957029,0.265070681,0.366077196,0.146055542,1
0.140103309,0.412819872,0.603748554,0.552154584,0.262899642,0.339756999,0.119745368,1
0.142888959,0.383568992,0.598965785,0.553154928,0.26141307,0.313630686,0.094791124,1
0.14879895,0.353869096,0.595228332,0.554871978,0.260299291,0.28813911,0.07178438,1
0.158222494,0.324247961,0.592458752,0.557152555,0.259156693,0.26371038,0.051268775,1
0.171471641,0.295231429,0.590576683,0.559782337,0.257547637,0.240755038,0.033723831,1
0.188762969,0.267322769,0.589516809,0.562497397,0.255062776,0.219663528,0.019552401,1
0.210193469,0.240984431,0.589241071,0.565000295,0.251383911,0.200804941,0.009071916,1
0.235712274,0.216623488,0.589743594,0.566979148,0.246333472,0.184525899,0.002509405,1
0.265094034,0.194581493,0.591048506,0.568127831,0.23990174,0.171148455,0,1
0.297922134,0.175128863,0.593202235,0.568165511,0.232247954,0.160966063,0.001588534,1
0.333589677,0.158463299,0.596262716,0.566853967,0.223676812,0.154236938,0.007233696,1
0.37132324,0.144711418,0.600287954,0.564011514,0.214596305,0.151174515,0.016814185,1
0.410229677,0.133932564,0.60532584,0.559522828,0.205465292,0.151935255,0.030136287,1
0.44936098,0.126123807,0.611406221,0.553344364,0.196739701,0.156604581,0.046942341,1
0.487787984,0.121225272,0.618535471,0.545505484,0.188824993,0.165182301,0.066919626,1
0.524671752,0.119125207,0.626693279,0.536105775,0.182040315,0.177569265,0.089709277,1
0.559322229,0.119664548,0.635831134,0.525309225,0.176597173,0.193557225,0.114914964,1
0.591236567,0.12264116,0.645872076,0.5133361,0.172593149,0.212823857,0.142111153,1
0.62011336,0.127814204,0.656711425,0.500453255,0.170019215,0.234934541,0.17085089,1
0.645842915,0.134909222,0.668218496,0.486963509,0.168777923,0.25935195,0.200673134,1
0.668477063,0.143624463,0.680239375,0.473194503,0.168708965,0.285453666,0.231109747,1
0.688184582,0.153638702,0.692600884,0.459487281,0.169618381,0.312557155,0.26169228,1
0.70519984,0.164620501,0.705115657,0.446184692,0.171307822,0.339950553,0.291958726,1
0.719772494,0.176238565,0.717588056,0.433619636,0.173600595,0.36692699,0.321460366,1
0.732124957,0.188172613,0.729820431,0.422103185,0.17636171,0.392819681,0.349768802,1
0.742422204,0.200124002,0.741619138,0.411912749,0.179509769,0.417034812,0.376483172,1
0.750756065,0.211825342,0.752799798,0.403280624,0.183019458,0.43907942,0.401237462,1
0.757144025,0.223048327,0.763191502,0.39638349,0.186914522,0.458581932,0.42370774,1
0.761540983,0.233609245,0.772640038,0.391333624,0.191252494,0.475303818,0.443619018,1
0.763861277,0.243371785,0.781010471,0.388172638,0.196103725,0.489141763,0.460751436,1
0.76400755,0.252247066,0.788189553,0.386868536,0.201528276,0.500120753,0.474945396,1
0.761902569,0.260191006,0.794088317,0.387316697,0.207554585,0.508379361,0.486105288,1
0.757519968,0.2671994,0.798644869,0.389345083,0.2141635,0.514149202,0.494201512,1
0.750909864,0.273301305,0.801827099,0.392723581,0.221280132,0.517730873,0.499270552,1
0.742215524,0.278551437,0.803634779,0.397176915,0.228774428,0.519468782,0.501412992,1
0.731678121,0.283022343,0.804100552,0.402400142,0.236469667,0.519726971,0.500789466,1
0.719628265,0.286796997,0.803289436,0.408075466,0.244156764,0.518867607,0.497614661,0
0.706465367,0.289962283,0.801296787,0.413888988,0.251611625,0.517233256,0.492149627,0
