x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.493206948,0.273447777,0.74461716,0.361577329,0.328935229,0.668501915,0.396649404,1
0.491982557,0.260941247,0.737092664,0.349179158,0.335217213,0.692339086,0.400386618,1
0.492388623,0.248120945,0.728637383,0.334180951,0.338710257,0.717142215,0.40438915,1
0.494047634,0.235300546,0.719485947,0.316479194,0.338808674,0.74251462,0.408494611,1
0.496507557,0.222809995,0.709932227,0.296072227,0.335014811,0.768034162,0.412528767,1
0.499277714,0.210981039,0.700318439,0.273077949,0.326983784,0.79326566,0.416313449,1
0.501865942,0.200132948,0.691020302,0.247746866,0.314562413,0.817773129,0.419674881,1
0.503813936,0.190559604,0.682429185,0.22046877,0.29781823,0.841131081,0.42245222,1
0.504727942,0.182518985,0.674932533,0.191771666,0.27705493,0.862934226,0.424506105,1
0.5043026,0.176225704,0.66889406,0.162312151,0.252811628,0.882805059,0.425726999,1
0.50233664,0.171846912,0.664635134,0.132857127,0.225844693,0.900399092,0.426043116,1
0.498740323,0.169501418,0.66241858,0.104257568,0.197092726,0.915407764,0.425427672,1
0.493535595,0.169261563,0.662435753,0.077415785,0.167627032,0.927559374,0.42390514,1
0.486850655,0.171157048,0.664797407,0.053248297,0.1385916,0.936618617,0.42155614,1
0.478910626,0.175179809,0.669528539,0.032646778,0.111137785,0.942385445,0.418520511,1
0.470025669,0.181289,0.676567137,0.016439678,0.086359377,0.944693966,0.414998113,1
0.460577247,0.189415306,0.685766534,0.005356968,0.06523358,0.943411923,0.411246848,1
0.451002901,0.199464157,0.696900898,0.0,0.048572509,0.938441071,0.407577501,1
0.441779763,0.211317772,0.709673326,0.000817917,0.036988404,0.929718438,0.404345081,1
0.433406961,0.224836365,0.723726026,0.008091344,0.030873974,0.91721823,0.401936516,1
0.42638698,0.23985907,0.738652203,0.021923499,0.030397497,0.900953955,0.400754856,1
0.421205935,0.256205285,0.75400932,0.042238329,0.035510762,0.880980365,0.401200338,1
0.41831294,0.273677044,0.769333481,0.068784966,0.045967037,0.857394883,0.403649071,1
0.418099223,0.292062843,0.784154662,0.10114759,0.061346014,0.830338376,0.408430316,1
0.420878092,0.311143042,0.798012419,0.138759783,0.081083011,0.799995325,0.415803666,1
0.426866943,0.330696645,0.810471594,0.180922478,0.104500282,0.766593561,0.425937571,1
0.43617221,0.350508973,0.821137426,0.226824794,0.130838909,0.730403791,0.438890765,1
0.448777705,0.370379582,0.829669532,0.27556711,0.159290191,0.691739086,0.45459813,1
0.464536648,0.390129664,0.835794344,0.326185903,0.189025807,0.650954389,0.472862349,1
0.483167712,0.409608217,0.83931572,0.377679825,0.21922619,0.608445948,0.493352448,1
0.5042556,0.428696371,0.840123436,0.429036529,0.249106685,0.564650453,0.515609908,1
0.527256703,0.447309422,0.838199159,0.479259605,0.277941089,0.52004356,0.539062567,1
0.55151037,0.465396327,0.833619442,0.527394963,0.305082152,0.4751374,0.56304598,1
0.576256222,0.482936666,0.826555275,0.572555865,0.329978592,0.4304767,0.586831375,1
0.60065775,0.499935254,0.817267968,0.61394584,0.352188123,0.386633149,0.609658822,1
0.623831988,0.516414805,0.806101405,0.650878692,0.371385991,0.344197746,0.630773789,1
0.644884504,0.532407149,0.793471026,0.682794965,0.387368565,0.303771032,0.649464932,1
0.662948543,0.547943627,0.779850157,0.709274372,0.400051595,0.265951221,0.665100793,1
0.677226829,0.563045412,0.76575435,0.730043834,0.409463033,0.231320451,0.677163039,1
0.687034071,0.57771453,0.751724315,0.744980919,0.415730706,0.20042952,0.68527405,1
0.691837511,0.591926339,0.738307865,0.75411255,0.41906565,0.173781656,0.689216965,1
0.69129199,0.60562397,0.726041171,0.757608989,0.419742483,0.15181603,0.688946791,1
0.685265824,0.618715059,0.715429573,0.755773255,0.418078563,0.134891906,0.684591716,1
0.673854403,0.631070902,0.706928302,0.749026309,0.414413791,0.123274363,0.676444485,1
0.657379914,0.642528096,0.700923651,0.737888476,0.409092711,0.117122571,0.664944325,1
0.636377334,0.652892697,0.697715399,0.722957757,0.402449997,0.116481392,0.650650592,1
0.611568286,0.661946842,0.697501574,0.70488579,0.394799767,0.121276883,0.634209864,1
0.583825042,0.669457673,0.700366763,0.684352414,0.386428454,0.131315941,0.616318683,1
0.554127117,0.675188258,0.706275174,0.662039927,0.37759052,0.146290107,0.597684409,1
0.523512754,0.678910056,0.715069415,0.638608215,0.368506108,0.165783357,0.578986772,1
0.493027481,0.680416326,0.72647566,0.614672026,0.359359854,0.189283631,0.560842656,1
0.463672033,0.679535722,0.740115343,0.590781595,0.3503003,0.216197809,0.54377635,1
0.436352192,0.676145262,0.755522957,0.567407726,0.341439666,0.245869766,0.528197128,1
0.411833565,0.670181778,0.772168934,0.544932178,0.332853983,0.277601012,0.514385463,1
0.390704635,0.661651059,0.789486035,0.523643806,0.324583806,0.310673227,0.50248857,1
0.373351271,0.650634006,0.806897357,0.503740478,0.316635809,0.344371787,0.492525316,1
0.359944983,0.637289284,0.823843999,0.485336285,0.308985523,0.378009213,0.484399892,1
0.3504459,0.621852186,0.839810607,0.468473128,0.301581301,0.410947422,0.477923076,1
0.344619898,0.604629702,0.85434733,0.453135419,0.294349401,0.442617691,0.472839376,1
0.342068045,0.58599201,0.867087121,0.439266478,0.287199862,0.472537414,0.468858036,1
0.342265837,0.566360915,0.877757659,0.426785132,0.280032809,0.500322907,0.465685611,1
0.344609515,0.546195977,0.886187517,0.415601152,0.272744885,0.525697732,0.463057755,1
0.348466906,0.525979202,0.89230651,0.405628314,0.265235659,0.548496257,0.460767964,1
0.353230156,0.506199255,0.896140528,0.396794162,0.257413925,0.56866234,0.458691201,1
0.358367325,0.487336067,0.897801518,0.389045855,0.249203739,0.586243278,0.45680071,1
0.36346929,0.469846576,0.897473595,0.382351887,0.24054993,0.601379393,0.455176726,1
0.368288091,0.454152172,0.895396339,0.376699804,0.231422644,0.614289817,0.454006372,1
0.372763175,0.440628176,0.891846402,0.372090372,0.221820408,0.625255255,0.453574533,1
0.377032914,0.429595466,0.887118458,0.368528894,0.211771302,0.634598577,0.454246123,1
0.381429897,0.421314142,0.881506617,0.366014586,0.201331967,0.642664182,0.456440693,1
0.386459724,0.415978938,0.87528739,0.364529099,0.19058444,0.649797052,0.460600839,1
0.392764126,0.413715915,0.868705214,0.36402541,0.179631089,0.656322359,0.467156319,1
0.401070288,0.41457996,0.861961352,0.36441836,0.168588137,0.662526474,0.476486068,1
0.412129281,0.418552688,0.855206704,0.365578044,0.157578478,0.668640132,0.488880569,1
0.426647459,0.425540557,0.848538862,0.367327061,0.146724588,0.674824524,0.504507055,1
0.445215518,0.43537338,0.842003552,0.369442324,0.136142337,0.681161036,0.523379967,1
0.468240591,0.447803819,0.83560039,0.371661707,0.125936455,0.687645398,0.545338893,1
0.495886979,0.462508739,0.829292604,0.373695351,0.11619818,0.694186893,0.570035804,1
0.528030899,0.47909341,0.823019917,0.375240929,0.107005317,0.700613134,0.596932973,1
0.564233868,0.4970993,0.816713345,0.376001789,0.09842462,0.706680543,0.625312328,1
0.60373814,0.516015801,0.810310188,0.375706527,0.090516024,0.712090188,0.654296328,1
0.645485911,0.53529561,0.803767386,0.374128369,0.083338035,0.716508097,0.682879737,1
0.688161915,0.554372989,0.79707171,0.371102713,0.076953357,0.719588585,0.709970955,1
0.730256765,0.572683671,0.79024592,0.366541306,0.071433763,0.720998694,0.734440852,1
0.770146437,0.589684985,0.78335073,0.360441926,0.066863346,0.720441633,0.75517654,1
0.806182035,0.604874803,0.776482974,0.352892858,0.063339595,0.717677135,0.771137015,1
0.836783424,0.617808133,0.769770514,0.344071938,0.060972198,0.712537034,0.781407396,1
0.860530464,0.628110445,0.763364497,0.334240372,0.059879894,0.704934895,0.785248448,1
0.876246032,0.635487184,0.757429471,0.323731866,0.060185928,0.694869213,0.782138256,1
0.883065714,0.639729301,0.752131935,0.312937886,0.062012626,0.682420367,0.771803394,1
0.880489952,0.640714948,0.747628061,0.302289937,0.065475365,0.66774208,0.754237526,1
0.868415452,0.638407743,0.744051456,0.292239832,0.070675913,0.651048643,0.729706197,1
0.847144072,0.632852136,0.741502049,0.283238913,0.077694993,0.632599423,0.698737492,1
0.817368877,0.624166434,0.74003715,0.275717167,0.086583968,0.612682278,0.662099135,1
0.780138554,0.61253404,0.739665655,0.270063203,0.097355879,0.591597401,0.62076352,1
0.73680265,0.598193379,0.740346085,0.266606007,0.10997646,0.569642833,0.575862923,1
0.688941123,0.581426967,0.741988856,0.265599346,0.124356068,0.547102518,0.528637723,1
0.638282722,0.562549998,0.744462712,0.26720965,0.140343714,0.524237344,0.480380827,1
0.586617702,0.541898858,0.747604864,0.271508074,0.157724413,0.501279284,0.432381621,1
0.535710973,0.519819965,0.751233824,0.27846733,0.17622097,0.478428476,0.38587261,1
0.487221629,0.496659379,0.755163506,0.287963604,0.195500965,0.455852971,0.341981587,1
0.44263376,0.472753596,0.75921683,0.299783587,0.215189082,0.433690792,0.301691633,1
