x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.429256829,0.468657127,0.43822746,0.663275028,0.326114873,0.582532463,0.326254314,1
0.428842266,0.465374549,0.438232749,0.65816482,0.325930327,0.581356875,0.321496851,1
0.427834587,0.463132271,0.438650708,0.65356598,0.326465738,0.580225927,0.317944158,1
0.426147186,0.462393867,0.439398044,0.649761355,0.32779588,0.579248596,0.315989115,1
0.423729635,0.46364112,0.440384888,0.64704708,0.329963908,0.578550207,0.31602478,1
0.420573589,0.467349903,0.441521914,0.645723963,0.332980623,0.578267814,0.318427941,1
0.416715687,0.473963092,0.442727751,0.646086941,0.336824869,0.57854448,0.323541283,1
0.412237441,0.483861827,0.443936168,0.648412625,0.341444338,0.579522712,0.331654855,1
0.407262409,0.497336749,0.445102328,0.652945126,0.346756243,0.581337367,0.342987663,1
0.401951229,0.514561024,0.44620724,0.659880621,0.352647658,0.584108384,0.357670321,1
0.396495099,0.535567035,0.44725964,0.669351375,0.358975703,0.587933723,0.375729739,1
0.391108206,0.560228562,0.448294753,0.681410203,0.365568096,0.592882852,0.397076852,1
0.386019407,0.58825008,0.449369826,0.69601656,0.372224719,0.598991097,0.421498335,1
0.381463336,0.619164529,0.450556695,0.713025577,0.378720799,0.606255121,0.448653121,1
0.37767105,0.652340536,0.451932094,0.732181346,0.384812128,0.614629751,0.478074371,1
0.374860363,0.686999552,0.453566611,0.75311562,0.390242453,0.624026324,0.509177279,1
0.373226045,0.722242709,0.455513324,0.775352857,0.394752922,0.634312684,0.541272801,1
0.372930186,0.757086348,0.457797182,0.798322072,0.398093207,0.645314841,0.573587082,1
0.374093053,0.790504214,0.460406159,0.821375454,0.400033753,0.656820266,0.605285955,1
0.376784896,0.821473436,0.463285185,0.843813114,0.400378511,0.668582688,0.635503606,1
0.381019218,0.849020809,0.46633373,0.864912724,0.398977421,0.680328208,0.663374157,1
0.386748054,0.872265809,0.469407713,0.883962348,0.395737924,0.691762518,0.68806467,1
0.393859819,0.890457218,0.472326056,0.900294439,0.390634724,0.702579009,0.708807957,1
0.40218012,0.90300116,0.47488179,0.913318799,0.383716978,0.712467479,0.72493347,1
0.411475754,0.909479416,0.476857157,0.922552327,0.37511205,0.721123186,0.735894639,1
0.421462026,0.909658035,0.478041643,0.92764352,0.365025024,0.728255919,0.741291152,1
0.431813462,0.903487131,0.478251433,0.928390033,0.353733368,0.733598767,0.740884962,1
0.442177972,0.891093429,0.477348232,0.9247481,0.341576543,0.736916293,0.734609136,1
0.452194228,0.872767348,0.475255213,0.916833135,0.328940842,0.738011797,0.722569074,1
0.461511594,0.848946325,0.471967841,0.904911499,0.31624019,0.736733447,0.705036083,1
0.469811304,0.8201957,0.467557855,0.889383971,0.303893991,0.732979046,0.682433703,1
0.476827166,0.787187937,0.462169391,0.870762042,0.29230336,0.726699316,0.65531763,1
0.482363795,0.750680499,0.456007141,0.849638654,0.281827221,0.717899583,0.624350412,1
0.486310379,0.711492411,0.449317376,0.826655374,0.272759858,0.706639813,0.590272368,1
0.488648198,0.6704795,0.442363691,0.802468248,0.265311565,0.693032924,0.553870354,1
0.489450554,0.62850847,0.435400394,0.777714561,0.259593974,0.677241339,0.51594607,1
0.488874725,0.58643028,0.428647215,0.752982529,0.25561153,0.65947176,0.477285537,1
0.487146816,0.545053655,0.422269053,0.728785597,0.253260205,0.639968283,0.438631254,1
0.48454157,0.505119872,0.416363642,0.70554258,0.252334015,0.619004128,0.40065828,1
0.481359778,0.467280049,0.41095854,0.683564485,0.252539099,0.596872449,0.363955236,1
0.47790559,0.432076138,0.4060173,0.663048409,0.253514207,0.573876875,0.329010826,1
0.474465354,0.399926652,0.401453359,0.644078527,0.254855597,0.550322447,0.296206171,1
0.471288965,0.371117966,0.397149221,0.626633823,0.256143917,0.526507579,0.265812871,1
0.468574633,0.345801803,0.392977848,0.610601912,0.256970756,0.502717525,0.237996403,1
0.466458064,0.323999244,0.388822922,0.595798134,0.256963192,0.479219637,0.212824197,1
0.465007001,0.305611189,0.384594937,0.581988874,0.25580552,0.456260542,0.190277522,1
0.464221576,0.290434752,0.380241115,0.568917862,0.253258091,0.434065153,0.170266175,1
0.46404006,0.278184557,0.375748579,0.556333903,0.249173498,0.412837283,0.152644903,1
0.464348833,0.268517487,0.371141712,0.544018218,0.24351017,0.392761475,0.137230505,1
0.464994823,0.261059158,0.366475421,0.531809357,0.236342837,0.374005615,0.123818605,1
0.465798493,0.255430379,0.361826124,0.519623646,0.227868513,0.356723886,0.112199238,1
0.466565428,0.251271992,0.357281769,0.507469285,0.218405958,0.341059682,0.102170514,1
0.467094942,0.248266777,0.352931678,0.495452565,0.208386251,0.327148197,0.093549846,1
0.467184951,0.246157347,0.348856647,0.483775167,0.198332567,0.315118409,0.086182387,1
0.466633518,0.244759193,0.345119686,0.472722187,0.188828448,0.305094205,0.079946536,1
0.465238702,0.24396814,0.341757987,0.462641426,0.18047574,0.297194422,0.074756533,1
0.462799,0.243761539,0.338776809,0.453915419,0.173845357,0.291531633,0.070562343,1
0.459116589,0.244192712,0.336146065,0.446928661,0.169425763,0.288209607,0.067347122,1
0.454004846,0.245378633,0.333800245,0.442033143,0.16757503,0.287319551,0.065122682,1
0.447300523,0.247481518,0.331642064,0.439515661,0.168482352,0.288935316,0.063923433,1
0.438879763,0.250685828,0.329549832,0.439570226,0.172144109,0.293107806,0.063799293,1
0.428676232,0.255172844,0.327388209,0.442278323,0.178357968,0.299858834,0.064808082,1
0.416699087,0.261095294,0.325021781,0.447598925,0.186736614,0.309174672,0.067007898,1
0.403048307,0.268554473,0.322330707,0.455369144,0.196740558,0.3209996,0.070449892,1
0.387924885,0.27758197,0.31922754,0.465315341,0.207727495,0.33522984,0.075171852,1
0.37163354,0.288127578,0.315673796,0.477073526,0.219013805,0.351708404,0.081192887,1
0.354576161,0.300054429,0.311694238,0.490217013,0.229942303,0.370221513,0.088509443,1
0.337235091,0.313141832,0.307386258,0.504288606,0.239949191,0.390497321,0.097092778,1
0.320146455,0.327095772,0.302921915,0.518834102,0.248622625,0.412207735,0.106887963,1
0.303864953,0.341566351,0.298541247,0.533433671,0.25574559,0.434973956,0.117814346,1
0.288922831,0.356170728,0.294537194,0.54772775,0.261317101,0.458376102,0.129767399,1
0.275787005,0.370519419,0.291234189,0.561434703,0.265548198,0.481966863,0.142621753,1
0.264819415,0.384243315,0.288963542,0.574358538,0.26883254,0.50528856,0.156235222,1
0.256246118,0.397018633,0.288038928,0.586386458,0.271695119,0.527892529,0.170453535,1
