x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.225299769,0.261407055,0.335404326,0.480513216,0.490252636,0.711118595,0.017731669,0
0.22700598,0.261048033,0.335024887,0.480628371,0.489532977,0.712419937,0.018549726,0
0.229192768,0.260672436,0.334616688,0.480790294,0.488882374,0.713790934,0.019480857,0
0.231844697,0.260288629,0.334180913,0.480998475,0.488331594,0.715197004,0.020511645,0
0.23492314,0.259905542,0.333718041,0.48124978,0.487908007,0.716600901,0.021624081,0
0.238367101,0.259532335,0.333227812,0.481538363,0.487633649,0.717964685,0.022796318,0
0.24209578,0.259178113,0.332709398,0.481855759,0.487523628,0.719251731,0.024003716,0
0.246012733,0.258851666,0.332161807,0.482191185,0.487585012,0.720428559,0.025220155,0
0.250011238,0.258561256,0.331584478,0.482532059,0.487816341,0.721466351,0.026419529,0
0.253980422,0.258314396,0.330978029,0.482864698,0.488207838,0.722342069,0.027577323,0
0.257811646,0.258117633,0.330345095,0.483175188,0.488742331,0.723039175,0.028672197,0
0.261404664,0.257976321,0.329691147,0.483450356,0.489396845,0.723547986,0.029687437,0
0.264673089,0.25789441,0.329025236,0.483678783,0.490144734,0.723865741,0.0306122,0
0.26754881,0.257874263,0.328360541,0.483851797,0.490958202,0.723996431,0.031442428,0
0.269985078,0.257916509,0.327714694,0.483964368,0.491810962,0.723950424,0.03218137,0
0.271958131,0.258019929,0.327109791,0.48401583,0.49268081,0.723743881,0.032839649,0
0.273467336,0.258181356,0.32657209,0.484010382,0.493551883,0.723397972,0.033434838,0
0.274533913,0.258395568,0.326131328,0.483957305,0.494416355,0.722937876,0.033990544,0
0.275198399,0.258655166,0.325819652,0.483870852,0.495275415,0.722391618,0.034535044,0
0.275517051,0.258950452,0.325670163,0.483769801,0.496139384,0.721788778,0.035099515,0
0.275557447,0.259269351,0.325715096,0.483676648,0.497026898,0.721159142,0.035715967,0
0.275393597,0.259597432,0.325983712,0.483616486,0.497963205,0.720531359,0.03641498,0
0.275100872,0.259918088,0.326500039,0.483615586,0.498977642,0.719931637,0.037223394,0
0.2747511,0.260212938,0.3272806,0.483699791,0.500100503,0.71938252,0.038162075,0
0.27440814,0.260462483,0.32833233,0.483892803,0.501359504,0.718901744,0.039243911,0
0.274124246,0.260647035,0.329650866,0.484214496,0.502776179,0.71850118,0.040472172,0
0.273937485,0.26074789,0.331219396,0.484679375,0.504362502,0.718185886,0.041839347,0
0.273870391,0.260748702,0.333008199,0.4852953,0.506118092,0.717953302,0.043326551,0
0.273929894,0.26063695,0.334974956,0.486062575,0.508028273,0.717792682,0.044903555,0
0.274108412,0.26040539,0.337065857,0.486973458,0.510063224,0.717684878,0.046529474,0
0.274385832,0.260053335,0.339217459,0.488012133,0.51217832,0.717602604,0.048154079,0
0.274732059,0.259587616,0.341359186,0.489155153,0.514315694,0.717511317,0.049719694,0
0.275109765,0.2590231,0.343416347,0.49037233,0.516406923,0.717370771,0.051163567,0
0.27547709,0.258382659,0.345313516,0.491628024,0.518376699,0.717137247,0.052420614,0
0.275790107,0.257696549,0.346978084,0.492882793,0.520147231,0.716766349,0.053426374,0
0.276005042,0.257001213,0.348343828,0.494095297,0.521643132,0.716216176,0.054120021,0
0.276080272,0.256337592,0.349354278,0.495224376,0.522796469,0.715450564,0.054447276,0
0.275978163,0.255749059,0.349965677,0.496231161,0.523551632,0.714442073,0.054363054,0
0.27566677,0.255279152,0.35014932,0.497081083,0.523869642,0.71317436,0.053833711,0
0.275121287,0.254969216,0.349893045,0.497745645,0.523731491,0.711643657,0.052838783,0
0.274325108,0.254856114,0.349201744,0.498203797,0.523140157,0.709859196,0.051372125,0
0.273270293,0.254970102,0.348096796,0.498442834,0.522121008,0.707842551,0.049442415,0
0.271957278,0.255332965,0.346614461,0.498458723,0.520720487,0.705626071,0.047073013,0
0.270393819,0.255956512,0.344803377,0.498255861,0.519003136,0.70325069,0.044301205,0
0.268593277,0.256841526,0.342721387,0.497846282,0.517047242,0.700763477,0.041176896,0
0.266572489,0.257977237,0.340432021,0.49724841,0.514939502,0.698215306,0.037760845,0
0.264349536,0.259341382,0.338000938,0.496485484,0.512769204,0.695658901,0.034122549,0
0.261941735,0.260900862,0.335492645,0.495583813,0.510622414,0.693147438,0.030337889,0
0.259364188,0.262612983,0.332967724,0.494571018,0.508576639,0.690733706,0.026486676,0
0.256629161,0.264427209,0.330480741,0.493474416,0.506696365,0.688469713,0.022650189,0
0.253746497,0.266287349,0.328078913,0.492319657,0.505029792,0.686406556,0.018908823,0
0.25072509,0.268134052,0.325801543,0.491129712,0.503606953,0.684594303,0.015339911,0
0.247575278,0.269907487,0.323680136,0.489924229,0.502439339,0.683081661,0.0120158,0
0.244311839,0.27155007,0.321739077,0.488719289,0.501520957,0.681915272,0.009002192,0
0.240957145,0.273009088,0.319996683,0.487527504,0.500830716,0.681138559,0.006356791,0
0.237544021,0.274239102,0.318466457,0.486358404,0.500335893,0.680790147,0.00412823,0
0.234117849,0.27520397,0.317158342,0.485219037,0.499996356,0.680901978,0.002355281,0
0.230737538,0.275878377,0.316079843,0.484114669,0.499769152,0.681497298,0.00106631,0
0.227475091,0.276248759,0.315236878,0.483049513,0.499612991,0.682588709,0.000278955,0
0.224413592,0.27631358,0.314634299,0.482027381,0.499492138,0.684176504,0,1
0.221643697,0.276082954,0.314276086,0.481052215,0.499379294,0.686247433,0.000225418,0
0.219258889,0.275577719,0.314165239,0.480128421,0.499257187,0.688774023,0.000940587,0
0.21734999,0.274828055,0.314303476,0.479260989,0.499118731,0.691714509,0.002120649,0
0.215999477,0.273871783,0.314690829,0.478455401,0.498965866,0.695013381,0.003731049,0
0.215276177,0.272752444,0.315325234,0.477717335,0.498807304,0.698602547,0.005728243,0
0.215230824,0.271517229,0.316202208,0.47705224,0.498655577,0.702403063,0.008060594,0
0.215892791,0.270214833,0.317314636,0.476464844,0.498523824,0.70632736,0.010669492,0
0.217268202,0.268893313,0.318652681,0.475958686,0.49842277,0.710281893,0.013490686,0
0.219339461,0.267598024,0.320203799,0.475535748,0.498358287,0.714170071,0.016455838,0
0.222066135,0.266369746,0.321952838,0.475196238,0.498329823,0.71789537,0.0194943,0
0.225387006,0.26524307,0.323882194,0.474938575,0.498329859,0.72136447,0.022535073,0
0.229223057,0.264245118,0.325972017,0.474759568,0.4983444,0.724490302,0.025508908,0
0.233481103,0.263394655,0.328200437,0.474654777,0.498354401,0.727194896,0.028350493,0
0.238057729,0.262701613,0.330543809,0.474619018,0.498337938,0.729411958,0.031000646,0
0.242843286,0.262167047,0.332976961,0.474646957,0.498272869,0.731089124,0.033408417,0
0.247725692,0.261783525,0.335473447,0.474733724,0.498139736,0.732189869,0.035533015,0
0.252593914,0.261535918,0.338005797,0.474875502,0.49792462,0.732695057,0.037345438,0
0.257341068,0.261402541,0.340545753,0.475070028,0.497621692,0.732604091,0.038829732,0
0.261867113,0.261356566,0.343064497,0.475316976,0.497235213,0.731935606,0.039983772,0
0.266081205,0.261367626,0.345532897,0.475618178,0.496780765,0.730727601,0.040819503,0
