x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.338413704,0.197722601,0.732100764,0.609793067,0.361619195,0.550832671,0.148301671,1
0.337233625,0.192451286,0.745138261,0.622486643,0.350405907,0.539344251,0.153301367,1
0.335168059,0.187149615,0.756172501,0.635150931,0.338770711,0.528397018,0.157470949,1
0.332305449,0.181842256,0.765229747,0.647680814,0.326759452,0.518062207,0.16078948,1
0.328745598,0.176560436,0.772386239,0.659981104,0.314420044,0.508389891,0.163269675,1
0.324598246,0.171341566,0.777763471,0.671968536,0.3018025,0.499410336,0.164958304,1
0.319983217,0.166228301,0.781522381,0.683573583,0.288961164,0.491136555,0.165935266,1
0.315031442,0.161267168,0.783856676,0.694742024,0.275958729,0.483567756,0.166311382,1
0.309885869,0.156506906,0.784985504,0.705436144,0.262871117,0.476693291,0.166224976,1
0.304701347,0.151996607,0.785145634,0.715635457,0.249792003,0.47049665,0.165837384,1
0.299642866,0.14778385,0.784583352,0.725336829,0.236835754,0.464959086,0.165327577,1
0.294881988,0.14391299,0.78354623,0.734553886,0.224137778,0.460062507,0.164886107,1
0.29059174,0.140423843,0.782274973,0.743315645,0.211851696,0.455791384,0.164708618,1
0.286940627,0.137350925,0.780995564,0.751664369,0.200143253,0.452133546,0.164989191,1
0.284086591,0.134723386,0.779911976,0.759652693,0.189181408,0.449079809,0.165913759,1
0.28217179,0.13256566,0.779199769,0.767340129,0.179127451,0.446622491,0.167653854,1
0.281318846,0.130898839,0.779000955,0.774789136,0.170123264,0.444752876,0.170360909,1
0.281628947,0.129742583,0.779420497,0.782060986,0.16228001,0.443457778,0.174161309,1
0.283181872,0.129117281,0.780524717,0.789211706,0.155668511,0.442715428,0.179152343,1
0.286037768,0.12904604,0.782341644,0.796288435,0.150312488,0.442491011,0.185399196,1
0.290240271,0.129556125,0.78486315,0.803326476,0.146185599,0.442732352,0.192933026,1
0.295820421,0.130679573,0.788048489,0.810347305,0.143212867,0.443366321,0.201750171,1
0.302800645,0.132452911,0.791828766,0.81735764,0.141276609,0.444296568,0.211812479,1
0.311197937,0.134916056,0.796111833,0.824349593,0.140226376,0.445403113,0.223048684,1
0.321025348,0.138110566,0.800787153,0.831301809,0.13989189,0.446544156,0.235356768,1
0.332291061,0.142077456,0.805730273,0.838181384,0.14009756,0.44756027,0.248607189,1
0.344994767,0.146854767,0.810806674,0.844946328,0.140677032,0.448280891,0.262646833,1
0.359121649,0.152475152,0.815874943,0.851548265,0.141486375,0.448532801,0.277303568,1
0.374634862,0.158963763,0.820789378,0.85793504,0.142414807,0.448150118,0.292391223,1
0.391467772,0.166336753,0.82540223,0.86405294,0.143392159,0.446985072,0.307714864,1
0.409517234,0.174600595,0.829565915,0.869848308,0.144392587,0.444918749,0.323076195,1
0.428639026,0.183752328,0.833135447,0.875268472,0.145434266,0.441870879,0.338278959,1
0.448646251,0.193780638,0.835971248,0.880262044,0.146575087,0.437807775,0.353134187,1
0.469311309,0.204667634,0.837942326,0.884778796,0.147904727,0.432747613,0.367465185,1
0.490371824,0.216391075,0.838929705,0.888769357,0.149533925,0.426762471,0.381112129,1
0.511540599,0.228926809,0.838829907,0.892185013,0.151582184,0.419976798,0.393936165,1
0.532519195,0.242251139,0.837558265,0.894977822,0.154165421,0.412562376,0.40582293,1
0.553014104,0.256342798,0.835051711,0.897101197,0.157385047,0.404730224,0.416685398,1
0.572753898,0.27118425,0.831270655,0.898510975,0.161319771,0.396720206,0.426465994,1
0.591505371,0.28676207,0.826199549,0.899166943,0.166020904,0.388789346,0.435137914,1
0.609086684,0.303066304,0.819845903,0.899034655,0.171511427,0.38119985,0.442705633,1
0.625375814,0.320088935,0.812237717,0.898087369,0.177788485,0.374207799,0.449204577,1
0.640313324,0.337821748,0.803419496,0.896307857,0.184828601,0.3680532,0.454699989,1
0.653899292,0.35625401,0.793447217,0.893689844,0.192594606,0.362951914,0.459285008,1
0.666185065,0.375370409,0.782382709,0.890238877,0.201043235,0.359089681,0.46307805,1
0.677261163,0.395149577,0.770288037,0.885972428,0.21013237,0.356618292,0.466219556,1
0.687242941,0.415563409,0.757220486,0.880919152,0.219827092,0.355653782,0.468868219,1
0.696255722,0.436577172,0.743228759,0.875117284,0.230103889,0.356276417,0.471196822,1
0.704420954,0.458150218,0.728350847,0.868612231,0.240952617,0.358532223,0.473387778,1
0.711844641,0.480237088,0.712613865,0.861453529,0.25237606,0.362435787,0.475628536,1
0.718608952,0.502788714,0.696035852,0.853691318,0.264387186,0.367974024,0.478106937,1
0.724767538,0.525753548,0.678629334,0.84537258,0.277004437,0.375110586,0.48100665,1
0.730344832,0.549078424,0.660406279,0.836537403,0.290245616,0.383790513,0.484502766,1
0.735339376,0.572708951,0.641384034,0.827215615,0.304121103,0.39394466,0.48875764,1
0.739730884,0.5965893,0.621591797,0.81742413,0.318627229,0.4054934,0.493917043,1
0.743490445,0.620661294,0.601077143,0.807165337,0.333740702,0.418349175,0.500106665,1
0.746592818,0.644862889,0.57991208,0.796426756,0.349414849,0.432417653,0.507429037,1
0.749029385,0.669126209,0.558198161,0.78518203,0.365578276,0.44759748,0.515960898,1
0.750820002,0.693375375,0.536070198,0.773393216,0.382136152,0.463778962,0.525751052,1
0.7520219,0.717524379,0.513698245,0.761014163,0.398973929,0.480842164,0.536818776,1
0.75273399,0.741475233,0.491287535,0.74799473,0.415962923,0.498655074,0.54915281,1
0.753095525,0.765116652,0.469076176,0.734285496,0.432966926,0.51707243,0.562711006,1
0.753279055,0.788323479,0.447330537,0.719842646,0.449849011,0.535935665,0.577420664,1
0.753478646,0.810957049,0.426338532,0.704632685,0.466477913,0.555074192,0.593179628,1
0.753895231,0.832866562,0.406401249,0.68863672,0.482733692,0.574307984,0.609858155,1
0.754721342,0.853891486,0.387823541,0.671854041,0.498512658,0.59345119,0.627301568,1
0.756127156,0.873864839,0.370904149,0.654304841,0.513731627,0.612316461,0.645333693,1
0.758249098,0.892617143,0.355925844,0.636031906,0.528331467,0.630719649,0.663760999,1
0.761181295,0.909980764,0.343145979,0.617101196,0.542279706,0.648484705,0.682377368,1
0.764969589,0.925794333,0.332787798,0.597601306,0.555571829,0.665448635,0.700969355,1
0.769607652,0.939907002,0.325032839,0.577641831,0.568230883,0.681466439,0.719321773,1
0.775034987,0.952182438,0.320014717,0.557350721,0.580305186,0.696415871,0.737223397,1
0.781137084,0.962502531,0.317814468,0.536870733,0.591864179,0.710201782,0.754472587,1
0.787748284,0.97077077,0.318457622,0.51635516,0.602992734,0.722759724,0.770882578,1
0.794657937,0.976915249,0.321913107,0.495963025,0.613784432,0.734058454,0.786286223,1
0.801620108,0.980891231,0.328094111,0.475853955,0.624334382,0.744100952,0.80053998,1
0.808366549,0.982683343,0.336860956,0.456182925,0.63473215,0.752923616,0.813526943,1
0.814622121,0.982307418,0.34802599,0.437095035,0.645055255,0.760593368,0.825158801,1
0.82012145,0.979811897,0.361360422,0.418720535,0.655363622,0.767202657,0.835376598,1
0.824625336,0.97527843,0.376602887,0.401170351,0.665695286,0.772862575,0.844150289,1
0.827935456,0.968821206,0.393469371,0.384532416,0.676063542,0.777694669,0.85147709,1
0.829906013,0.960584626,0.411663946,0.368869109,0.686455682,0.781822181,0.85737873,1
0.830451338,0.950739232,0.430889653,0.354216006,0.696833353,0.785361585,0.861897734,1
0.829548889,0.939476086,0.450858793,0.340582024,0.707134507,0.788415208,0.865092947,1
0.827237539,0.926999973,0.471301966,0.327950951,0.717276807,0.791065595,0.867034531,1
0.823611385,0.913521849,0.491975234,0.316284189,0.727162253,0.793372076,0.867798717,1
0.81880965,0.899250962,0.512665008,0.305524498,0.736682709,0.79536975,0.867462585,1
0.813003541,0.884387097,0.533190419,0.295600439,0.745725953,0.797070868,0.86609917,1
0.806381205,0.869113501,0.553403248,0.286431142,0.754181915,0.798468307,0.863773158,1
0.799132121,0.853591014,0.573185743,0.277931043,0.761948763,0.799540576,0.860537411,1
0.791432255,0.837953858,0.592446891,0.270014241,0.76893857,0.800257683,0.856430514,1
0.783431131,0.822307276,0.611117779,0.262598202,0.775082298,0.800587081,0.851475476,1
0.775241681,0.806726978,0.629146674,0.255606656,0.780333915,0.800499061,0.845679662,1
0.766933412,0.791260086,0.646494271,0.248971649,0.784673449,0.799971091,0.839035961,1
0.758529112,0.775927219,0.663129467,0.242634794,0.788108816,0.798990922,0.831525117,1
0.750005074,0.760725452,0.679025824,0.23654785,0.790676237,0.797558432,0.823119107,1
0.741294556,0.745632061,0.694158886,0.230672699,0.792439078,0.795686358,0.813785369,1
0.732294061,0.730609094,0.708504425,0.224980817,0.793484991,0.793400104,0.803491653,1
0.722871829,0.71560862,0.72203761,0.21945237,0.793921322,0.790736864,0.792211211,1
0.712877908,0.700578264,0.734733008,0.214075097,0.793868871,0.787744339,0.779928054,1
0.702155144,0.685466495,0.746565269,0.208843179,0.79345423,0.784479334,0.766641945,1
0.690550518,0.670227306,0.757510365,0.203756223,0.792801127,0.781006434,0.752372852,1
0.67792634,0.654824166,0.767547354,0.198818409,0.792021315,0.777396833,0.737164588,1
0.664170909,0.639233355,0.776660621,0.194037795,0.791205742,0.773727234,0.721087371,1
0.649208257,0.623446734,0.784842515,0.189425728,0.790416859,0.770078672,0.704239146,1
0.633006718,0.607473856,0.792096159,0.184996381,0.789683147,0.76653502,0.686745502,1
0.615586159,0.591343139,0.798438101,0.180766432,0.788997015,0.763181004,0.668758131,1
0.597023779,0.575101793,0.803900326,0.176754951,0.788317133,0.760099624,0.650451819,1
0.577458093,0.558814254,0.80853111,0.172983523,0.78757577,0.757369021,0.632020044,1
0.557090279,0.542559125,0.812394126,0.169476584,0.786690907,0.75505898,0.613669319,1
0.536181523,0.526424888,0.815565354,0.166261823,0.785581851,0.753227334,0.595612505,1
0.515044889,0.51050498,0.818127628,0.163370389,0.784186179,0.751916578,0.578061339,1
0.494030748,0.49489285,0.820163201,0.160836624,0.782475344,0.751150921,0.561218526,1
0.473505925,0.479677554,0.821745271,0.158697091,0.780466423,0.750933875,0.545269721,1
