x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.504724682,0.531877977,0.089863693,0.625679992,0.655613959,0.591371266,0.315862667,1
0.477972221,0.529308174,0.088437425,0.610139095,0.638017627,0.595167147,0.304829628,1
0.452396933,0.526663985,0.087286542,0.593494678,0.619335551,0.598936136,0.292977137,1
0.42874567,0.524028193,0.086549478,0.57616612,0.59995599,0.602525244,0.280571396,1
0.407659754,0.521490559,0.086359821,0.558626516,0.580307351,0.605778649,0.267912961,1
0.389636013,0.519144303,0.086833945,0.541379127,0.560843436,0.60854737,0.255322316,1
0.375001858,0.517082368,0.088057551,0.524930824,0.542030184,0.610699102,0.243123884,1
0.363905638,0.515393559,0.090072652,0.509764402,0.524334153,0.612127191,0.23162964,1
0.356320741,0.514158677,0.092866897,0.496311593,0.508211441,0.612757727,0.221123455,1
0.352060176,0.513446666,0.096367228,0.484928476,0.494094689,0.612553842,0.211847212,1
0.35079831,0.513310811,0.100439512,0.47587487,0.48237598,0.61151654,0.203989563,1
0.352097645,0.513785007,0.104895101,0.46929935,0.473384952,0.609681717,0.197677967,1
0.355440065,0.514880213,0.109504188,0.465231529,0.467363842,0.607113394,0.192974427,1
0.360262758,0.516581319,0.114014625,0.463582998,0.464443409,0.603893674,0.18987507,1
0.365998256,0.518844732,0.118173953,0.464157549,0.464624762,0.600110423,0.188313476,1
0.37211617,0.521596944,0.121752045,0.466670087,0.467771603,0.595844267,0.188167461,1
0.37816207,0.524734151,0.124561994,0.47077241,0.473615348,0.591156747,0.1892688,1
0.383788184,0.528122961,0.126477552,0.476083328,0.481773048,0.586081273,0.191415234,1
0.388771736,0.531602335,0.127446206,0.482220432,0.491775694,0.580617832,0.194384003,1
0.393019426,0.534987031,0.12749741,0.488830943,0.503103324,0.574731635,0.197946076,1
0.396559355,0.538072764,0.12674536,0.495619263,0.515223098,0.568355373,0.201880228,1
0.399523725,0.540643007,0.125385279,0.502369099,0.527627001,0.561394449,0.205986174,1
0.402126071,0.54247705,0.123682091,0.508958546,0.539866365,0.553734442,0.210095996,1
0.404635972,0.543358708,0.121950991,0.515366972,0.551580669,0.545249968,0.214083268,1
0.407352706,0.543084988,0.120530681,0.521673132,0.562518094,0.53581417,0.217869379,1
0.41057842,0.541474081,0.119751619,0.528044541,0.572545523,0.525308207,0.221426745,1
0.414591294,0.538372254,0.119903122,0.534718763,0.581646464,0.513630295,0.224778783,1
0.419619967,0.533659498,0.121204069,0.541978105,0.589907054,0.500703964,0.227996678,1
0.42582144,0.527253961,0.123781883,0.550119899,0.597492389,0.486485267,0.231193181,1
0.433265357,0.519115237,0.127663112,0.559425272,0.604617567,0.470968604,0.234513811,1
0.441927418,0.509246389,0.132776587,0.570129633,0.61151895,0.454190846,0.238125989,1
0.451693552,0.49769448,0.138967615,0.582398074,0.61843097,0.436233443,0.24220672,1
0.462374352,0.484549386,0.146019699,0.59630832,0.625571965,0.417222352,0.246929536,1
0.473727077,0.469940816,0.153679293,0.611842786,0.633139613,0.397325775,0.252451417,1
0.485480943,0.4540338,0.161679301,0.628889998,0.641313435,0.37674987,0.258900431,1
0.497361005,0.437023133,0.169758024,0.64725423,0.650259474,0.355732796,0.266364785,1
0.50910663,0.419127419,0.177672059,0.666671175,0.660131552,0.334537539,0.274883897,1
0.520482306,0.400583199,0.185203514,0.686826891,0.67106473,0.313443958,0.284442011,1
0.531281095,0.381639441,0.192163365,0.70737733,0.68315949,0.292740445,0.294964753,1
0.541323794,0.362552379,0.198393014,0.727966262,0.69645883,0.272715429,0.306318851,1
0.550458334,0.343580563,0.203765298,0.748240184,0.710923581,0.253648924,0.318315123,1
0.558563311,0.324980005,0.208185016,0.767859632,0.726412528,0.235804279,0.330714639,1
0.565556941,0.306999291,0.21158845,0.786507021,0.74267313,0.219420333,0.343237811,1
0.571409695,0.289874658,0.213941564,0.803891577,0.759345953,0.204704266,0.355576011,1
0.576156669,0.273825061,0.215237283,0.819752153,0.775982464,0.191825513,0.367405169,1
0.579905101,0.259047409,0.215492862,0.833858623,0.792072724,0.180911186,0.378400689,1
0.5828333,0.24571219,0.214748714,0.846012424,0.807077574,0.172043447,0.388252941,1
0.585179477,0.233959772,0.213069974,0.85604663,0.820459807,0.16525912,0.396682523,1
0.587221808,0.223897619,0.210551432,0.863825924,0.831710433,0.160551631,0.4034545,1
0.589253605,0.215598525,0.207325285,0.869246789,0.840368587,0.157875089,0.408390839,1
0.591558693,0.209099936,0.203569604,0.872238333,0.846036052,0.157150059,0.411380346,1
0.594391539,0.204404266,0.199514369,0.87276408,0.848388733,0.158270455,0.412385516,1
0.597964969,0.201480117,0.195441898,0.870824918,0.847187566,0.161110868,0.411445886,1
0.602445989,0.200264256,0.191679695,0.866463134,0.842290455,0.165533649,0.408677613,1
0.607958325,0.20066416,0.188585369,0.859767099,0.833665279,0.171395153,0.404269255,1
0.614588957,0.202561004,0.186524956,0.85087584,0.821402535,0.17855068,0.398473891,1
0.622395565,0.205812963,0.185847023,0.839982454,0.805725055,0.186857854,0.391597972,1
0.63141225,0.210258797,0.186855523,0.827335253,0.786991971,0.196178438,0.38398744,1
0.641651815,0.215721694,0.189784328,0.813235588,0.765694517,0.206378754,0.376011857,1
0.653104139,0.222013424,0.194776085,0.798031638,0.742442211,0.217329077,0.3680474,1
0.665731157,0.228938836,0.201867363,0.782107875,0.717939226,0.228902423,0.360459623,1
0.67945971,0.23630074,0.210981313,0.765870431,0.692951998,0.240973213,0.353586969,1
0.694173988,0.243905133,0.221928208,0.749729145,0.668270303,0.253416248,0.347725907,1
0.709709557,0.251566604,0.234413544,0.734077508,0.644664928,0.266106379,0.343118512,1
0.725850874,0.259113641,0.248052926,0.719272136,0.62284562,0.278919132,0.339943146,1
0.742333796,0.266393509,0.262392707,0.705613557,0.603422951,0.291732379,0.338308684,1
0.758853794,0.273276368,0.276935219,0.693330134,0.58687734,0.304428938,0.33825253,1
0.775079756,0.279658399,0.291167266,0.682566663,0.573537554,0.316899763,0.339742409,1
0.790672472,0.28546372,0.304590275,0.673378792,0.563570067,0.329047243,0.342681702,1
0.805306138,0.290644972,0.316750101,0.66573382,0.556979603,0.340788052,0.346917879,1
0.818690701,0.295182575,0.32726423,0.659517795,0.553620323,0.352055107,0.352253399,1
0.830592411,0.299082761,0.335844203,0.654548217,0.553216259,0.362798311,0.358458336,1
0.840850032,0.302374625,0.342311529,0.650591106,0.55538896,0.372984037,0.3652839,1
0.849384506,0.305106479,0.346606087,0.647380861,0.559689727,0.382593466,0.37247604,1
0.856200821,0.307341772,0.348786632,0.64464118,0.565633548,0.391620106,0.379788311,1
0.861382011,0.309154802,0.349023617,0.642105348,0.572731878,0.400066848,0.386993338,1
0.86507653,0.310626407,0.347585026,0.639534428,0.580521836,0.407942944,0.393892291,1
0.867481088,0.311839772,0.344816453,0.63673218,0.588590029,0.415261165,0.400321992,1
0.868821309,0.312876544,0.341117079,0.633555903,0.596590011,0.42203536,0.406159418,1
0.869332236,0.313813377,0.33691348,0.629922738,0.604253014,0.428278533,0.411323562,1
0.86924018,0.314719061,0.332633225,0.625811307,0.611392151,0.434001549,0.415774777,1
0.868746942,0.315652327,0.328680056,0.621258896,0.617900653,0.439212566,0.419511883,1
0.868017233,0.316660354,0.325412124,0.616354641,0.623744926,0.44391726,0.422567397,1
0.867170078,0.317777967,0.323124361,0.611229438,0.628953428,0.448119781,0.425001392,1
0.866274851,0.319027458,0.322035661,0.606043478,0.633602471,0.451824301,0.426894463,1
0.86535231,0.320418931,0.322281216,0.600972472,0.637800193,0.455036804,0.428340332,1
0.864380507,0.321951098,0.323910099,0.596193679,0.641670062,0.457766754,0.42943858,1
0.863304827,0.323612413,0.326887925,0.59187287,0.645335367,0.460028274,0.43028793,1
0.862050807,0.325382456,0.331104095,0.588153219,0.648906073,0.461840641,0.43098043,1
0.860538002,0.327233483,0.336382832,0.585146878,0.652469193,0.463228069,0.431596798,1
0.858693136,0.329132102,0.342497017,0.58292965,0.656083328,0.464218944,0.432203074,1
0.856461032,0.33104108,0.349183817,0.581538779,0.659777383,0.464844735,0.432848621,0
0.853812273,0.332921309,0.356161178,0.580973532,0.663552798,0.465138841,0.43356545,0
0.850747102,0.334733966,0.36314434,0.581198028,0.667388136,0.465135517,0.434368722,0
0.84729572,0.336442843,0.369861571,0.582145675,0.67124473,0.464868994,0.43525825,0
0.8435157,0.338016704,0.376068258,0.583724639,0.675072323,0.464372777,0.436220761,0
0.839487562,0.339431457,0.381558488,0.585823905,0.678814097,0.463679099,0.437232664,0
0.835309504,0.340671854,0.386173275,0.588319601,0.682410969,0.462818457,0.438263074,0
0.831091987,0.341732437,0.389804881,0.591081356,0.685805402,0.461819192,0.439276828,0
0.826952424,0.342617519,0.392397069,0.59397849,0.688945024,0.460707062,0.440237312,0
0.82300984,0.343340138,0.393941713,0.596885812,0.691786282,0.459504867,0.441108914,0
0.819379113,0.343920122,0.3944726,0.599688765,0.694298042,0.458232186,0.441858986,0
