x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.844304142,0.292210545,0.690936988,0.409341312,0.350349719,0.362369888,0.42370091,1
0.856501002,0.282527145,0.6790091,0.395407135,0.349587687,0.373844071,0.423039546,1
0.868248656,0.271386251,0.667585769,0.381475387,0.350524676,0.387565737,0.423658341,1
0.878898979,0.258855662,0.657049713,0.367933211,0.353405009,0.403617266,0.425609079,1
0.887774553,0.245052074,0.647778151,0.355166064,0.358397477,0.422006545,0.428892077,1
0.894202861,0.230140881,0.640124419,0.343536759,0.3655753,0.442656418,0.433450251,1
0.897553,0.214334001,0.63439941,0.333365505,0.374901226,0.465397539,0.439165022,1
0.897272755,0.197885758,0.630853551,0.324912558,0.386219786,0.489965437,0.445854374,1
0.892923605,0.181086949,0.629660149,0.318364606,0.399257924,0.516002247,0.453273365,1
0.884211111,0.164257439,0.630901101,0.313825509,0.413634145,0.54306318,0.461117265,1
0.871008123,0.147737703,0.634556228,0.311311386,0.42887518,0.570627389,0.46902745,1
0.853368534,0.131879777,0.640497471,0.310749662,0.444438316,0.598112581,0.476600044,1
0.831530004,0.117038031,0.648488969,0.311981537,0.459737223,0.624892555,0.483397243,1
0.805905069,0.103560048,0.65819358,0.31476745,0.474169315,0.650316782,0.488961085,1
0.777061095,0.091777689,0.669185825,0.318795487,0.487143207,0.673731227,0.492829366,1
0.745690433,0.081998283,0.680970712,0.323692955,0.498105406,0.6944997,0.494553228,1
0.712572727,0.074495901,0.693007442,0.329041528,0.50656571,0.712025068,0.493715882,1
0.678531708,0.069502813,0.704736566,0.334396278,0.512120827,0.725769675,0.489951791,1
0.644389068,0.06720157,0.715608895,0.339308538,0.514475586,0.73527424,0.482965575,1
0.610918352,0.06771832,0.725114187,0.343352004,0.513460841,0.740174456,0.472549847,1
0.578802191,0.071118187,0.732807561,0.346150868,0.509046973,0.740214497,0.458601188,1
0.548596444,0.077403471,0.738331629,0.347408113,0.501351813,0.735256672,0.441133475,1
0.520704549,0.08651527,0.741432573,0.346931738,0.490641821,0.725286637,0.420287861,1
0.49536462,0.098338739,0.741968958,0.344656579,0.477325644,0.710413795,0.396338807,1
0.472650581,0.112711713,0.739912775,0.340659637,0.461939587,0.690866834,0.369695712,1
0.452487412,0.129436018,0.735343022,0.335167281,0.445125197,0.666984681,0.34089982,1
0.434679287,0.148290501,0.728432887,0.328553316,0.427599919,0.639203474,0.310616278,1
0.418948297,0.169044652,0.71943223,0.3213275,0.410122532,0.60804041,0.279621382,1
0.404980296,0.191471694,0.708647507,0.314114787,0.393455643,0.574075481,0.248785193,1
0.392473578,0.215360032,0.69642144,0.307626163,0.378327781,0.537932189,0.219049872,1
0.381185608,0.240522103,0.683114682,0.302622577,0.365397587,0.500258289,0.191404206,1
0.370973091,0.266799814,0.669091354,0.29987402,0.355222315,0.461707512,0.166854908,1
0.361821225,0.294066083,0.654709714,0.300116282,0.348232452,0.422923006,0.146395394,1
0.353858959,0.322222296,0.640318423,0.304008212,0.344713768,0.384523027,0.130972811,1
0.347358438,0.351191868,0.626258023,0.312092382,0.34479764,0.347089146,0.121454227,1
0.342718405,0.380910457,0.612866429,0.324761837,0.348459925,0.311157028,0.118592941,1
0.340432857,0.41131364,0.600486575,0.342235172,0.355528052,0.277209609,0.122995997,1
0.341047685,0.442323089,0.589473854,0.364541495,0.36569539,0.245672355,0.135094061,1
0.345109114,0.473832406,0.580200884,0.391516039,0.378541394,0.216910115,0.15511488,1
0.353108603,0.505693854,0.573057332,0.422806368,0.3935557,0.19122504,0.183061581,1
0.365429226,0.537707271,0.568443225,0.457888306,0.410164205,0.168855005,0.218697064,1
0.382298491,0.569612389,0.56675499,0.496090066,0.427755421,0.149972118,0.261535676,1
0.403752011,0.601085566,0.568364302,0.536622525,0.445705735,0.134681074,0.310843193,1
0.429611421,0.631741595,0.573590442,0.578613236,0.463402771,0.123017382,0.365645933,1
0.459478371,0.661140826,0.582667586,0.62114156,0.480266466,0.114945784,0.424749517,1
0.492744547,0.688801392,0.5957093,0.663272404,0.495767725,0.110359355,0.48676738,1
0.528615759,0.714215997,0.61267366,0.70408635,0.509444466,0.109080008,0.550158691,1
0.566146801,0.736872394,0.633333373,0.742704659,0.520914701,0.110861152,0.613274852,1
0.604283187,0.75627649,0.657255701,0.778308561,0.529886134,0.115393236,0.674413176,1
0.641906068,0.77197685,0.683796556,0.810153176,0.53616192,0.122312722,0.731875881,1
0.677877449,0.783589312,0.712111859,0.837577306,0.539642598,0.131214715,0.784032035,1
0.711083863,0.790820283,0.741187551,0.860010771,0.540324597,0.141669014,0.829379758,1
0.740477561,0.79348725,0.769887656,0.876981021,0.53829575,0.15323883,0.866605743,1
0.765114789,0.791535011,0.797017923,0.888120332,0.533728044,0.165500951,0.894639071,1
0.784190907,0.785046256,0.821400688,0.89317423,0.526867444,0.17806578,0.912696448,1
0.797072093,0.774245376,0.841954983,0.892010995,0.518020626,0.190595508,0.920316265,1
0.803323329,0.75949481,0.857774775,0.884631448,0.507538821,0.202818806,0.917379427,1
0.802731984,0.74128374,0.868197946,0.871177796,0.495799508,0.214540705,0.904115504,1
