x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.419148823,0.429719974,0.707798944,0.466681625,0.530361894,0.444223945,0.38760066,1
0.4162948,0.446133233,0.70973117,0.478599995,0.533069519,0.442831896,0.396685736,1
0.411856831,0.464758126,0.710813564,0.491665753,0.53559466,0.44315261,0.407467444,1
0.406004244,0.485627852,0.71134724,0.505672484,0.537768065,0.445474412,0.420161677,1
0.398967999,0.508711405,0.711672285,0.520420198,0.539439818,0.450061829,0.434953619,1
0.391038303,0.533906375,0.712148244,0.535721266,0.540487434,0.457143153,0.451981031,1
0.382558917,0.561033948,0.713132226,0.551404328,0.54082157,0.466897783,0.471317611,1
0.373918008,0.58983652,0.714955524,0.567316058,0.540388925,0.479443789,0.492957466,1
0.365535691,0.619978082,0.717899688,0.583320801,0.539172214,0.494826175,0.516801731,1
0.357848701,0.651047357,0.722173119,0.599298264,0.537187436,0.513006348,0.542648397,1
0.3512928,0.682563481,0.727889461,0.615139592,0.534478868,0.533853362,0.570186292,1
0.346283695,0.713984009,0.735049359,0.630742299,0.531112374,0.557137556,0.598994025,1
0.343197287,0.744715139,0.743527239,0.646004617,0.527167638,0.582527246,0.628544464,1
0.342350217,0.774124172,0.753064814,0.660819876,0.522729871,0.609589078,0.658215052,1
0.343981743,0.801554317,0.763272775,0.67507154,0.517881524,0.637792599,0.687303923,1
0.348238106,0.826341924,0.773641643,0.688629489,0.512694573,0.666519434,0.715051439,1
0.355160642,0.847835999,0.783562044,0.701348053,0.507224065,0.695077268,0.74066641,1
0.364678787,0.865419511,0.792353682,0.713066163,0.501503803,0.722718539,0.763355914,1
0.376608798,0.87853157,0.799301378,0.723609795,0.495545097,0.748663445,0.782357351,1
0.390658367,0.886689117,0.803695884,0.732796693,0.489339357,0.772126501,0.79697114,1
0.406436668,0.889506591,0.804876835,0.740443089,0.482864864,0.792345587,0.806592328,1
0.423468873,0.886712139,0.80227524,0.746371971,0.476097385,0.80861213,0.810739375,1
0.44121421,0.878159362,0.795453051,0.750422247,0.469023545,0.820300912,0.809078446,1
0.459086746,0.86383424,0.784137517,0.75245804,0.461655238,0.826897908,0.801441745,1
0.476478375,0.843857401,0.768248103,0.752377307,0.454042879,0.82802455,0.787838743,1
0.49278339,0.818482225,0.747913838,0.75011901,0.446285238,0.823456972,0.768459528,1
0.507423963,0.788089307,0.723479143,0.745668192,0.438533808,0.813138952,0.743669964,1
0.519875577,0.753177613,0.695496623,0.739058514,0.430990367,0.797187583,0.71399881,1
0.529691368,0.714352407,0.664706112,0.730372097,0.423897334,0.775891074,0.680117439,1
0.536524174,0.672309842,0.6320004,0.719736749,0.417521642,0.749698494,0.642813207,1
0.540145069,0.627818106,0.598379499,0.707320998,0.412133858,0.719201787,0.602957906,1
0.540457086,0.581695204,0.564896749,0.693327539,0.407984959,0.685110876,0.561472982,1
0.537502753,0.53478388,0.532601284,0.677985869,0.405283432,0.648223192,0.519293351,1
0.531464131,0.487924631,0.502481899,0.661544849,0.404175222,0.60938934,0.477331706,1
0.522654377,0.441928222,0.475417087,0.644265765,0.404728541,0.5694769,0.436445076,1
0.511500613,0.397549228,0.452134928,0.626416214,0.406924841,0.529334478,0.397405263,1
0.498518909,0.355462141,0.433184847,0.608264863,0.410656497,0.48975815,0.360874451,1
0.484283175,0.316241261,0.418921638,0.590076988,0.415731045,0.451462359,0.327386974,1
0.469390443,0.280345359,0.409500741,0.572110638,0.421881246,0.415057074,0.297337837,1
0.454425162,0.248107664,0.404882974,0.554613305,0.428779859,0.381032583,0.270978167,1
0.439924994,0.219731504,0.404846651,0.537818999,0.436057784,0.349752709,0.248417434,1
0.42635035,0.195291532,0.409005174,0.521945711,0.443324215,0.3214565,0.229631883,1
0.414059711,0.174740276,0.416828623,0.507193232,0.450187563,0.296267769,0.214478377,1
