x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.687123661,0.424128689,0.40747083,0.303229288,0.635993019,0.4378566,0.312161758,1
0.692739281,0.45186151,0.41901293,0.305823399,0.634910477,0.442343291,0.328735182,1
0.699342601,0.482884454,0.432415439,0.311656858,0.633395668,0.449726026,0.348817888,1
0.706981187,0.516737089,0.447499862,0.320976142,0.631538372,0.460195615,0.372352587,1
0.71568112,0.55280471,0.464003232,0.333931967,0.629442391,0.473861099,0.399160803,1
0.725440081,0.590332332,0.481583177,0.350563983,0.627218252,0.490733654,0.428937365,1
0.736220827,0.628447089,0.499828242,0.370789644,0.624972916,0.510713953,0.461250025,1
0.747945737,0.666188206,0.518273189,0.394398324,0.622796666,0.533584002,0.495544675,1
0.760493063,0.702543185,0.536418526,0.421051503,0.620748008,0.559004265,0.531156378,1
0.773695503,0.736488378,0.553753034,0.450289473,0.618838161,0.586516552,0.567326136,1
0.787341525,0.767031722,0.569777704,0.481544661,0.617017347,0.615552776,0.603222949,1
0.801179734,0.793255098,0.584029272,0.514161122,0.615165393,0.645449333,0.63797041,1
0.814926345,0.814353719,0.596101569,0.547419343,0.613088987,0.675466489,0.670676782,1
0.828275579,0.829670101,0.605663116,0.580564994,0.610527273,0.704811915,0.700467196,1
0.840912478,0.838720586,0.612469797,0.612839944,0.607166442,0.732667262,0.72651648,1
0.852527371,0.841213017,0.616371931,0.64351362,0.602662805,0.75821658,0.74808097,1
0.862830967,0.837054819,0.617315605,0.671912735,0.596672715,0.78067527,0.764527685,1
0.871568951,0.826351477,0.615338619,0.697447563,0.5888868,0.7993183,0.77535934,1
0.878534911,0.80939603,0.610561838,0.719633229,0.579065328,0.813506454,0.780233872,1
0.883580443,0.786650681,0.603177054,0.73810491,0.567071183,0.822709462,0.778977444,1
0.886621422,0.758722007,0.593432658,0.752626318,0.552896763,0.826525034,0.771590272,1
0.887639637,0.726331394,0.581618433,0.763091359,0.53668125,0.824692969,0.758245002,1
0.886679394,0.690282448,0.568050657,0.769519314,0.51871511,0.817103786,0.739277803,1
0.883839199,0.65142716,0.553058447,0.772044343,0.499429611,0.803801598,0.715172749,1
0.879259323,0.610632551,0.536971916,0.770900409,0.479370683,0.784981276,0.686540419,1
0.87310664,0.568749455,0.520112374,0.766402991,0.459158689,0.76098029,0.654091953,1
0.865558648,0.526584835,0.502784465,0.758929023,0.439438264,0.732265809,0.618609995,1
0.856788701,0.484878749,0.485269915,0.748896514,0.420824652,0.699417851,0.580918083,1
0.846954248,0.444286643,0.467822501,0.736745111,0.403854224,0.663109305,0.541850028,1
0.836189269,0.405367311,0.450663855,0.722918641,0.38894647,0.624083636,0.502220771,1
0.824601398,0.368576467,0.433979893,0.707850366,0.376382806,0.583131061,0.46280001,1
0.812273473,0.334265602,0.417917844,0.691951315,0.366304371,0.541063962,0.424289639,1
0.799268586,0.302685539,0.402584018,0.675601772,0.358727488,0.498692377,0.387305793,1
0.785637237,0.273993944,0.388042558,0.659145681,0.353572368,0.456800493,0.352365951,1
0.771424931,0.248265903,0.374315457,0.642887523,0.350698558,0.416125105,0.319881252,1
0.756678759,0.225506579,0.36138414,0.627091041,0.349940139,0.377336965,0.290153883,1
0.741452026,0.205664845,0.349192786,0.611979169,0.351134592,0.341025828,0.263379164,1
0.725806619,0.188646849,0.337653411,0.597734571,0.354141452,0.307689783,0.239651727,1
0.70981348,0.174328566,0.326652406,0.584500321,0.358849557,0.277729161,0.218975055,1
0.693551867,0.162566621,0.316058053,0.572380465,0.365174139,0.251445031,0.201273554,1
0.67710819,0.15320683,0.305728445,0.561440391,0.373046666,0.229041886,0.1864063,1
0.660575066,0.14609013,0.295519334,0.55170719,0.382400874,0.210633834,0.174181632,1
0.644050928,0.141055839,0.285291583,0.543170319,0.39315801,0.196253415,0.164371822,1
0.62764024,0.137942607,0.274918003,0.535783016,0.405213366,0.185862084,0.156727141,1
0.611454101,0.136587788,0.264289443,0.529464814,0.418425176,0.179361452,0.150988794,1
0.595610917,0.136826124,0.253320079,0.524105406,0.432606376,0.176604498,0.146900294,1
0.580236825,0.138488576,0.241951831,0.519569868,0.447519668,0.177406051,0.144216998,1
0.5654657,0.141401921,0.230157781,0.515705124,0.462876691,0.181551984,0.142713652,1
0.55143874,0.145389518,0.21794437,0.51234735,0.478342466,0.188806711,0.142189911,1
0.538303702,0.150273458,0.205351987,0.509329933,0.493546212,0.198918699,0.142473877,1
0.526213764,0.155878069,0.192453614,0.506491483,0.508098948,0.21162397,0.143423803,1
0.515325817,0.162034487,0.179351363,0.50368338,0.521617112,0.226647751,0.14492813,1
0.505797836,0.168585748,0.166171048,0.500776329,0.53375003,0.243704735,0.146904106,1
0.49778491,0.175391718,0.153055286,0.497665443,0.544207924,0.262498588,0.149295212,1
0.491433596,0.182333182,0.14015583,0.494273528,0.552786543,0.282721467,0.152067663,1
0.486874571,0.189314561,0.127625922,0.490552338,0.559384745,0.304054283,0.155206233,1
0.484214082,0.196264901,0.115613347,0.486481803,0.564012382,0.3261683,0.158709641,1
0.483525136,0.203137064,0.104254615,0.482067418,0.56678754,0.348728421,0.16258575,1
0.484839715,0.209905271,0.093670398,0.477336135,0.567923889,0.37139822,0.166846765,1
0.488143253,0.216561414,0.083962092,0.472331258,0.567710349,0.393846465,0.171504653,1
0.493372286,0.223110714,0.075209293,0.467106868,0.566485906,0.415754625,0.176566932,1
0.500415702,0.229567359,0.067468067,0.461722251,0.564612535,0.436824635,0.182033001,1
0.509119418,0.235950628,0.060770093,0.456236729,0.562448722,0.456786139,0.187891117,1
0.519293864,0.242281776,0.055122855,0.450705205,0.560325635,0.475402489,0.194116132,1
0.530723248,0.24858169,0.050511048,0.445174627,0.558527599,0.49247495,0.200668032,1
0.543175462,0.254869175,0.046899183,0.439681562,0.557278249,0.507844794,0.207491351,1
0.556411426,0.261159616,0.044235171,0.43425103,0.556733525,0.521393249,0.214515428,1
0.570192804,0.267463839,0.042454583,0.428896639,0.556982104,0.533039533,0.221655516,1
0.584287191,0.273787038,0.04148527,0.423621987,0.558053,0.542737484,0.228814677,1
0.59847028,0.280127734,0.041252117,0.418423127,0.559928948,0.550471509,0.235886386,1
0.612524974,0.286476811,0.041681754,0.41329174,0.562563036,0.556252684,0.24275775,1
0.626237973,0.29281674,0.042706992,0.408218613,0.565895355,0.560115846,0.249313214,1
0.639394899,0.299121117,0.044270679,0.403196932,0.569866336,0.562118329,0.255438618,1
0.651775366,0.305354676,0.046328573,0.398224987,0.574424149,0.562340673,0.26102545,1
0.663149618,0.311473869,0.048850839,0.393307981,0.579524938,0.560889185,0.265975123,1
0.673278205,0.317428048,0.051821866,0.388458778,0.585126412,0.557899797,0.270203115,1
0.681915825,0.323161135,0.055238286,0.383697619,0.591176988,0.553542266,0.273642778,1
0.688819815,0.328613629,0.0591053,0.379050974,0.597603783,0.548023569,0.276248664,1
0.693762973,0.333724743,0.063431587,0.374549848,0.604302995,0.541589308,0.277999174,1
0.696549614,0.338434523,0.068223267,0.370227885,0.611135593,0.534522122,0.278898405,1
0.697033046,0.342685826,0.073477548,0.366119576,0.617929975,0.527136489,0.278977045,1
0.695132358,0.34642604,0.079176722,0.362258795,0.624491807,0.519769746,0.278292239,1
0.69084637,0.349608446,0.085283198,0.358677702,0.63061988,0.512769693,0.27692635,1
0.684263049,0.352193146,0.091736104,0.355405922,0.636125837,0.506479645,0.274984624,1
0.675563152,0.354147596,0.098449866,0.352469807,0.640855033,0.501222199,0.272591785,1
0.665017529,0.355446807,0.105314966,0.349891515,0.644705664,0.497283185,0.269887682,1
0.652978,0.35607336,0.112200877,0.347687696,0.647643524,0.494897331,0.267022128,1
0.63986226,0.356017325,0.118961019,0.345867652,0.649710268,0.494236965,0.264149155,1
0.626133734,0.355276151,0.125439347,0.344430995,0.651023842,0.495404779,0.261420936,1
0.612277797,0.353854562,0.13147811,0.343364996,0.651770635,0.498431143,0.258981662,1
0.59877615,0.351764486,0.136926267,0.342641924,0.652189968,0.503276048,0.256961684,1
0.58608133,0.349024959,0.141648023,0.34221679,0.652552523,0.509835247,0.255472229,1
0.574593341,0.345661999,0.145531013,0.342025894,0.653135122,0.517949875,0.254600968,1
0.564640177,0.341708363,0.148493671,0.341986562,0.654194726,0.527418576,0.254408691,1
0.556463575,0.337203206,0.150491338,0.341998328,0.655944419,0.53801108,0.254927286,1
0.550210835,0.332191679,0.15152073,0.341945687,0.658533605,0.549482156,0.256159134,1
0.545933024,0.326724544,0.151622487,0.341702407,0.662033787,0.561584975,0.258077968,1
0.543589484,0.320857813,0.150881671,0.341137213,0.666430508,0.574083007,0.260631159,1
0.543058214,0.314652362,0.149426179,0.340120591,0.671621364,0.586759781,0.263743295,1
0.544151339,0.308173386,0.147423093,0.338532346,0.6774198,0.599425935,0.267320842,1
0.546634542,0.301489631,0.145072946,0.336269447,0.683564397,0.611923205,0.271257635,1
0.55024896,0.2946724,0.142601858,0.333253634,0.689733556,0.624125152,0.275440848,1
0.554733876,0.287794515,0.140251566,0.329438115,0.695565589,0.635934668,0.279757107,1
0.559848393,0.280929476,0.138267534,0.324812662,0.700683985,0.647278619,0.284098378,1
0.565390304,0.274151113,0.136885669,0.319406405,0.704726918,0.658100236,0.288367283,1
0.571210438,0.267533882,0.136318541,0.313287751,0.707379028,0.668350166,0.292481527,1
0.577221078,0.261153752,0.136742311,0.306561048,0.70840239,0.677977292,0.296377208,1
0.583397611,0.255089285,0.138285717,0.299360019,0.707662944,0.686920489,0.300010813,1
0.589773392,0.249422321,0.141022262,0.291838339,0.705148721,0.695102442,0.303359845,1
0.596428654,0.244237753,0.14496636,0.284158205,0.700977089,0.702426408,0.306422066,1
0.603475033,0.239622206,0.15007367,0.276477976,0.695389757,0.708776464,0.309213489,1
0.61103773,0.235661807,0.156245496,0.268940104,0.688735962,0.714021313,0.31176529,1
0.619237398,0.232439491,0.163336873,0.261660466,0.681445761,0.718021255,0.31411991,1
0.628173715,0.230032316,0.17116781,0.254719978,0.673996365,0.720637518,0.316326663,1
0.637912093,0.228509054,0.179536965,0.248159045,0.666874898,0.721742869,0.318437178,1
0.648474562,0.227928053,0.188236842,0.241975088,0.660540859,0.721232332,0.320501029,1
0.659835326,0.22833517,0.197069316,0.236123087,0.655391268,0.719032877,0.322561858,1
0.671921131,0.229761574,0.205860215,0.230518945,0.65173092,0.715111097,0.324654276,1
0.684616173,0.232221401,0.214471671,0.225045326,0.649749669,0.709478136,0.326801746,1
0.697770898,0.235709561,0.222811226,0.21955959,0.649508163,0.702191377,0.329015579,1
0.711213694,0.24020019,0.230837087,0.213903329,0.650933,0.693352718,0.331295088,1
0.724764047,0.245646294,0.238559381,0.207912982,0.653821824,0.683103504,0.333628866,1
0.738245482,0.251980906,0.24603764,0.201430867,0.657858399,0.6716165,0.335997056,1
0.751496572,0.259119702,0.253375019,0.194315944,0.662637186,0.659085492,0.338374424,1
0.764378683,0.266964691,0.260709874,0.186453662,0.667696341,0.645713337,0.340733972,1
0.776779727,0.275408375,0.268205383,0.177764342,0.672557368,0.631699408,0.343050809,1
0.78861387,0.284337917,0.276037881,0.168209749,0.676768703,0.617227462,0.345305951,1
0.799817656,0.293639221,0.284384554,0.157797635,0.679949641,0.602454958,0.347489766,1
0.810343402,0.303201198,0.293411154,0.146584109,0.681830343,0.587504771,0.349604753,1
0.820150933,0.312920633,0.303260438,0.134673723,0.682283555,0.572460124,0.351667446,1
0.829198742,0.322707791,0.314042065,0.122217176,0.681344382,0.5573633,0.353709247,1
0.837435539,0.332492391,0.325824633,0.109406588,0.679215676,0.542218392,0.355776101,1
0.844793104,0.342228986,0.338630474,0.096468499,0.676258231,0.526997925,0.357926983,1
0.851181366,0.35190048,0.352433599,0.083654943,0.672966557,0.511652787,0.360231271,1
0.856486824,0.361518703,0.367160942,0.071233248,0.669932325,0.496124525,0.362765124,1
0.860575291,0.371121546,0.382696671,0.05947535,0.667798454,0.480358821,0.365607092,1
0.863299424,0.380766974,0.398889013,0.048647446,0.667207369,0.464318898,0.368833195,1
0.864510601,0.390524899,0.415558736,0.039000624,0.668747296,0.447997576,0.372511783,1
0.864073699,0.400468177,0.432508335,0.030762785,0.672900777,0.431426898,0.376698471,1
0.861882866,0.41066388,0.449531069,0.024131879,0.679999919,0.414684454,0.381431478,1
0.857876463,0.421165543,0.466419235,0.019270296,0.690192888,0.397895846,0.386727642,1
0.852049822,0.432006618,0.482971413,0.016300249,0.703425519,0.38123309,0.392579377,1
0.844464959,0.443195099,0.498998717,0.015300203,0.719440296,0.364909118,0.398952766,1
0.835256586,0.454709338,0.514330233,0.016302511,0.737792618,0.349168888,0.405786934,1
0.824633822,0.466495331,0.528817894,0.019292597,0.75788177,0.334277842,0.412994767,1
0.81287688,0.478466006,0.542340839,0.024209894,0.778992156,0.320508666,0.420464966,1
