x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),energy,movement
0.472397632,0.436478826,0.311483277,0.480536321,0.622712155,0.557318202,0.291623573,0
0.472809799,0.436738143,0.311322678,0.478803658,0.623347099,0.557188212,0.291594666,0
0.473343927,0.437089104,0.311303535,0.476848717,0.623893535,0.556998558,0.291545859,0
0.474015659,0.437536413,0.311440609,0.474692505,0.624339094,0.556741712,0.291473316,0
0.474836641,0.438081406,0.311741349,0.472361456,0.62468042,0.556411611,0.29137368,0
0.475812334,0.438721658,0.312205152,0.469885586,0.624924294,0.556004215,0.291244465,0
0.476939922,0.439450805,0.312823373,0.467296344,0.625087763,0.555518061,0.291084502,0
0.478206833,0.440258581,0.313580188,0.464624402,0.625197177,0.554954794,0.29089446,0
0.479590437,0.441131082,0.314454277,0.461897596,0.625286177,0.55431961,0.290677401,0
0.481059336,0.442051227,0.315421256,0.459139244,0.625392858,0.553621543,0.290439356,0
0.482576413,0.442999363,0.316456681,0.456367045,0.625556416,0.552873495,0.290189893,0
0.484103461,0.443953987,0.317539465,0.453592709,0.625813675,0.552091939,0.289942641,0
0.485606928,0.444892505,0.318655511,0.450822411,0.626195869,0.551296231,0.289715711,0
0.487064166,0.445792013,0.319801363,0.448058086,0.626726046,0.550507545,0.289531981,0
0.488469415,0.446630021,0.320987639,0.445299463,0.627417348,0.549747483,0.289419185,0
0.48983877,0.447385136,0.322241933,0.442546659,0.62827224,0.549036468,0.289409761,0
0.49121337,0.448037651,0.32361088,0.439803016,0.6292826,0.548392077,0.28954042,0
0.492660169,0.448570057,0.325161053,0.437077842,0.630430428,0.547827493,0.289851395,1
0.49426992,0.44896747,0.326978442,0.434388636,0.631688953,0.547350273,0.290385367,1
0.496152331,0.449218,0.329166325,0.431762432,0.633023918,0.546961611,0.291186055,1
0.498428799,0.449313087,0.331841417,0.429235932,0.634394922,0.546656259,0.292296499,1
0.501223368,0.449247837,0.335128355,0.426854211,0.635756739,0.546423183,0.29375706,1
0.504652753,0.449021397,0.339152719,0.424667935,0.637060516,0.546247004,0.29560322,1
0.508816281,0.448637355,0.344032979,0.422729179,0.638254725,0.546110154,0.297863226,1
0.513786532,0.448104154,0.34987191,0.421086125,0.63928573,0.545995635,0.300555696,1
0.519601373,0.447435445,0.356748168,0.419777072,0.640097788,0.54589014,0.303687281,1
0.526258002,0.446650306,0.364708692,0.41882429,0.640632322,0.545787266,0.307250482,1
0.533709562,0.445773229,0.373762595,0.418228317,0.640826356,0.545690444,0.311221753,1
0.541864798,0.444833786,0.383877008,0.417963291,0.640610125,0.545615226,0.315559981,1
0.550591099,0.443865901,0.394975238,0.417973838,0.639904057,0.545590546,0.320205456,1
0.559721008,0.442906692,0.406937399,0.418173946,0.638615558,0.545658666,0.325079409,1
0.569061994,0.441994882,0.419603527,0.418448087,0.636636271,0.545873576,0.330084198,1
0.578408868,0.441168829,0.432778962,0.418654727,0.633840556,0.546297761,0.335104192,1
0.587557801,0.440464298,0.446241616,0.418632162,0.630085914,0.546997378,0.340007386,1
0.596320521,0.439912146,0.459750583,0.418206467,0.625215821,0.548036039,0.344647766,0
0.604537034,0.439536126,0.473055505,0.417201155,0.619065147,0.549467544,0.348868417,0
0.612085242,0.439351068,0.485906129,0.415448034,0.611467975,0.551328093,0.352505358,0
0.618886104,0.439361643,0.498061496,0.41279864,0.602267396,0.553628618,0.355392048,0
0.624903454,0.439561952,0.509298283,0.4091356,0.591326636,0.556347965,0.357364531,1
0.630138258,0.439936101,0.519417848,0.404383287,0.578540822,0.559427689,0.358267125,1
0.634617733,0.440459906,0.52825166,0.398517132,0.563848687,0.562769185,0.357958569,1
0.638380359,0.441103779,0.535664897,0.391571029,0.547243603,0.566233795,0.356318514,1
0.641458303,0.44183675,0.541558138,0.383642323,0.528783397,0.56964631,0.353254208,1
0.643859078,0.442631452,0.545867167,0.374893988,0.508598431,0.572802113,0.348707193,1
0.645548414,0.443469769,0.548560988,0.365553788,0.486897392,0.575477849,0.342659805,1
0.646436267,0.444348745,0.549638243,0.355910405,0.463970104,0.577445261,0.335141214,1
0.646367529,0.445286292,0.549122316,0.34630672,0.44018667,0.578487506,0.326232716,1
0.645118528,0.446326172,0.547055654,0.337130582,0.415992176,0.578416973,0.316071927,1
0.642399987,0.447541759,0.543494176,0.328803495,0.391896447,0.577093446,0.304855552,1
